title,Oral Pathology Exam 1 (Spring 2019),oralpath,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
See attached image. Intro: Male of 9-years presents for evaluation painful oral lesion. HPI: Similar lesions have developed in the past. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. There are not other lesions present. Type the most appropriate clinical term for the findings in the attached image. Please use all capital letters.,ULCER|ULCERATION,,,,,,FILL,images/oralpath-exam1-spring-2019/fig1.jpeg
"See attached image. Intro: Female of 33-years presents for evaluation. HPI: Tingling, itching and pain last night of upper lip. Woke up this morning with changes on lip. She thinks this has happened before. MedHx: Denies. Meds: Denies. Allergies: Penicllin. SocHx: Denies. PhysEx: BP 110/72 right arm; HR 78 beats/min. Oral and pharyngeal lesions are absent. Type the most appropriate clinical term (ONE WORD) to replace the blank space in the following clinical description of the findings in the attached image: ""multiple ___________ in a background of erythema"". Please use all capital letters.",PUSTULES|PAPULES,,,,,,FILL,
"See attached image Intro: Male of 50-years presents for evaluation. HPI: Lingual finding identified three-weeks prior. MedHx: Denies. Meds: Denies. Allergies: NKDA. SocHx: Smoker for 30-years; 1.5 packs per day (45 pack/year history). PhysEx: BP 118/76 right arm; HR 69 beats/min. Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy. You have conducted your exam and have ruled out potential local etiologies (putative etiologies). Type the most appropriate clinical term (ONE WORD) for the finding in the attached image. Please use all capital letters.",LEUKOPLAKIA,,,,,,FILL,
Lingual varicosities are associated with deficiencies in systemic hemostasis.,True,False,,,,,B,
"A male of 37-years presents for comprehensive oral care. You identify bilateral opalescent, grey-white findings of the buccal mucosa. You suspect leukoedema and stretch the involved tissues; the grey-white opalescence disappears. This confirms a diagnosis of leukoedema. Which of the following represents the most appropriate next step in managing this finding?",Follow-up at two weeks to observe for resolution,Biopsy or referral for biopsy,Evaluate liver function via serum studies,Magnetic resonance imaging of the oral soft tissues to screen for metastatic disease,"Document this finding in the patient's chart, no further treatment required related to this finding",,E,
"Oral squamous cell carcinoma occurs at all of the following sites, EXCEPT one. Which one is the EXCEPTION?",Floor of mouth,Lateral tongue,Buccal mucosa,Hard palate,There are no EXCEPTIONS as this disease may occur on any of the oral soft tissues,,E,
"See attached image. Intro: Male of 50-years presents for evaluation. HPI: Lingual finding identified three-weeks prior. MedHx: Denies. Meds: Denies. Allergies: NKDA. SocHx: Smoker for 30-years; 1.5 packs per day (45 pack/year history). PhysEx: BP 118/76 right arm; HR 69 beats/min. Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy. You have conducted your exam and have ruled out potential local etiologies (putative etiologies). What is your next step in the management of this patient?",Biopsy,Re-evaluate in two-weeks,Resection,Magnetic resonance imaging of the oral soft tissues,Cone beam computed tomography of the oral soft tissues,Medical computed tomography of the oral soft tissues,A,images/oralpath-exam1-spring-2019/fig7.jpeg
"See attached image. Intro: Male of 50-years presents for evaluation. HPI: Lingual finding identified three-weeks prior. MedHx: Denies. Meds: Denies. Allergies: NKDA. SocHx: Smoker for 30-years; 1.5 packs per day (45 pack/year history). PhysEx: BP 118/76 right arm; HR 69 beats/min. Regional H&N: EOE: My regional head and neck examination demonstrated no extra-oral nodules, asymmetry, or other grossly visible signs of pathology. The examination was negative for clinically detectible cervical lymphadenopathy. You have conducted your exam and have ruled out potential local etiologies (putative etiologies). Which of the following should rank lowest on your differential diagnosis?",Frictional keratosis,Mild epithelial dysplasia,Moderate epithelial dysplasia,Carcinoma in-situ,Squamous cell carcinoma,,A,images/oralpath-exam1-spring-2019/fig8.jpeg
"See attached image. Intro: Female of 33-years presents for evaluation. HPI: Tingling, itching and pain last night of upper lip. Woke up this morning with changes on lip. She thinks this has happened before. MedHx: Denies. Meds: Denies. Allergies: Penicllin. SocHx: Denies. PhysEx: BP 110/72 right arm; HR 78 beats/min. Oral and pharyngeal lesions are absent. What is the most reasonable next step?",Clindamycin 600 mg STAT,Cytological scrapping,2 grams valacyclovir immediately and 2 grams valacyclovir 12 hours later,50% Hydrogen peroxide 50% warm saline rinse,Initiate highly active antiretroviral therapy (HAART) regimen,Brachytherapy,C,images/oralpath-exam1-spring-2019/fig9.jpeg
"See attached image. Intro: Female of 33-years presents for evaluation. HPI: Tingling, itching and pain last night of upper lip. Woke up this morning with changes on lip. She thinks this has happened before. MedHx: Denies. Meds: Denies. Allergies: Penicllin. SocHx: Denies. PhysEx: BP 110/72 right arm; HR 78 beats/min. Oral and pharyngeal lesions are absent. Which of the following should be at the top of your differential diagnosis?",Recurrent aphthae,Erythema multiforme,Oral and cutaneous lichen planus,Herpes labialis,Primary herpetic pharyngotonsillitis,Primary herpetic gingivostomatitis,D,images/oralpath-exam1-spring-2019/fig10.jpeg
