title,Periodontics II Midterm Exam (Spring 2023),perio2,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which is true regarding a Pyogenic Granuloma?,There is chronic Inflammatory infiltrate,They are asymptomatic,They tend to bleed on slight pressure,All of the above,,,D,
Recurrent Aphthous Stomatitis may present as:,Minor Aphthae that heal with scarring,Minor Aphthae that take longer than one month to heal,Vesicles that coalesce after several days,None of the above,,,D,
A patient moves their lower jaw to the left side and has contact on the left side. This contact is also known as:,A balancing side contact,A working side contact,a. and b.,None of the above,,,B,
Grade 3 Gingival Enlargement is when:,The gingiva covers ¾or more of the crown,The gingival enlargement is confined to the interdental papilla,There is no gingival overgrowth,None of the above,,,A,
A Gingival Abscess has which of the following characteristics?,It does not affect adjacent teeth,It can be rapidly expanding,It can lead to a sinus tract,All of the above,,,B,
Which of the following is true regarding a “Pregnancy Tumor”?,Usually protrudes from the interproximal space,They may regress after completion of the pregnancy,It is associated with Prevotella Intermedia and Prevotella Nigrescens,All of the above,,,D,
Which criteria help distinguish between a periodontal abscess and an endodontic abscess?,Vitality,Moderate Mobility,Caries,All of the above,,,D,
Occlusal Trauma is caused by Altered Passive Eruption:,True,False,,,,,B,
When evaluating radiographs for periodontal disease which of the following is true?,The bone level is normally 5mm apical to the CEJ,Mild bone loss is when there is 50% or greater bone loss,You can always tell if there is bone loss by looking at the radiographs,None of the above,,,D,
Which of the following factors affects the overall patient prognosis?,Age of the patient,Stress,Patient cooperation,All of the above,,,D,
Which of the following factors of root anatomy contribute to a better tooth prognosis?,Short tapered roots have a better prognosis than long straight roots,Convergent roots have a better prognosis than divergent roots,Maxillary Lateral Incisors more often have palatal grooves than Maxillary Central Incisors,Maxillary Molars have more enamel projections than Mandibular Molars,,,C,
Hopeless teeth generally have which of the following characteristics?,They have minimal mobility,They have a periapical lucency with no attachment loss,They have decay which extends below the osseous crest,All of the above,,,C,
"Which prognosis had the following definition? “Inadequate attachment to maintain the tooth in health, comfort, and function.”",Poor,Hopeless,Guarded,Fair,,,B,
Which of the following are part of “Initial Preparation?”,Caries Control,Oral Hygiene Instruction,Scaling and Root Planing,All of the above,,,D,
When determining success of periodontal therapy which of the following criteria indicate success of treatment?,Increase in probing depth,Decrease in occlusal stability,Reduction or absence of bleeding on probing,All of the above,,,C,
The goal of periodontal therapy includes:,Resolving inflammation,Arresting disease progression,Creating a maintainable environment,Altering or eliminating periodontal pathogens,All of the above,,E,
What is true regarding a re-evaluation visit?,Is used to identify root caries and defective restorations,The recommended time period after Scaling/Root Planing is 4-6 weeks,Is used to determine whether additional periodontal procedures are required,"a, b, and c.",,,D,
Which statement is true about drug-induced gingival enlargement?,Oral hygiene prevents overgrowth,Spontaneous disappearance occurs within a few months after discontinuing the drug,Genetic predisposition is not a suspected factor,When surgically removed it does not recur,,,B,
The initial manifestations of Wegener's granulomatosis include:,Oral mucosal ulceration,Gingival Enlargement,Abnormal tooth mobility,Delayed healing response,All of the above,,E,
Enlargement associated with systemic diseases or conditions include all of the following EXCEPT:,Pregnancy,Puberty,Vitamin C deficiency,Vitamin D deficiency,Plasma cell gingivitis,,D,
A young child who has recently had a seizure presents with gingival enlargement. The drug-induced enlargement is most likely due to which medication?,Cyclosporin,Dilantin,Nifedipine,Calcium channel blocker,,,B,
The earliest signs of periodontal disease should be detected:,Radiographically by fuzziness and breaks in the continuity of the lamina dura,Radiographically by wedge-shaped radiolucent areas in the interdental septum,a. and b.,Clinically,,,D,
Bone loss in the furcation area as a rule is:,Less than it appears in the radiographs,Greater than it appears in the radiographs,Greater in the maxilla but less in the mandible,Less in the maxilla but greater in the mandible,,,B,
The distance from the CEJ to the alveolar crest is typically how many mm?,3mm,5mm,6mm,7mm,,,A,
Descriptions of patterns of bone loss include:,Horizontal,Vertical,Angular,Stepped,All of the above,"a, b, and c",F,
Which of the following is most important in determining the prognosis for a tooth?,Probing pocket depth,Bleeding on probing,Determining the level of attachment,Assessing the width of keratinized gingiva,,,C,
"You have two patients, both of whom are in good physical health and are compliant with treatment recommendations. One patient is 45 years old while the other patient is 70 years old. Both have generalized loss of attachment ranging from 30% to 50%. Which patient has the better periodontal prognosis?",The 45 year old patient,The 70 year old patient,They have an equal prognosis,,,,B,
Which of the following indicates a good prognosis for a tooth?,Short tapered roots,Large crowns,Cervical enamel projections,None of the above,,,D,
The embedding of new periodontal ligament fibers into new cementum and the attachment of the gingival epithelium to a previously diseased area is called:,Repair,New Attachment,Reattachment,Epithelial adaptation,,,B,
"Select the term that refers to repair in areas of the root not previously exposed to the pocket, such as after traumatic tears in the cementum, tooth fractures, or periapical lesions:",Repair,Reattachment,Epithelial adaptation,New Attachment,,,B,
Teeth that are so mobile that function becomes painful:,Should be treated endodontically,Should be extracted,"Should be scaled and root planed, and re-evaluated",a and c,,,B,
What is true regarding the radiographic landmark called “Lamina Dura?”,It appears as a continuous white line,It contains foramina which allows nerves to pass between bone and Periodontal Ligament,It may be evident when there is increased mobility and /or increased occlusal loading,"a, b, and c",a and b,,D,
Which of the following are objectives of surgical pocket reduction?,To restore periodontal architecture to enhance plaque removal,Improve access to root surfaces to facilitate dental procedures,To reduce pocket depth to improve plaque removal,All of the above,,,D,
Reversibility of traumatic lesions after the forces have been relieved can be impaired by:,Systemic factors such as vitamin deficiencies,Gingival inflammation,Degenerative changes in the dental pulp,All of the above,,,B,
The most common clinical sign of trauma from occlusion is:,Pain in the involved tooth,Dental attrition,Tooth mobility,Gingival recession,,,C,
