title,Oral Pathology Exam 2 (Spring 2022),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following tissues can result in a neoplasm?,Skeletal muscle,Smooth muscle,Nerve,Fibrous connective tissue,All options can result in a neoplasm,E,
Which of the following is the most common tumor of the oral cavity?,Hemangioma,Fibroma,Rhabdomyoma,Leiomyoma,Lipoma,B,
Which is true of the following statements: Statement 1: Retrocuspid papilla are identical to giant cell fibroma microscopically Statement 2: Retrocuspid papilla require biopsy and excision,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,C,
Which patient is most likely to present with an epulis fissuratum and/or inflammatory papillary hyperplasia?,6-year-old with mixed dentition and a carious #A,79-year-old with a 20 year old denture without tissue retention,90-year-old with implant-supported prosthesis,56-year-old smoker with a stable fixed partial denture (bridge),35-year-old oral pathologist,B,
Which of the following can occur in locations other than the gingiva?,Pyogenic granuloma,Peripheral ossifying fibroma,Peripheral giant cell granuloma,All of the options occur exclusively on the gingiva,,A,
What is the recurrence rate of a peripheral ossifying fibroma?,0%,15%,50%,75%,100%,B,
Which of the following is a component of neurofibromatosis type 1?,Schwannoma,Café au lait macules,Medullary thyroid carcinoma,Mucosal neuroma,All of the options are components of neurofibromatosis type 1,B,
"Choose the best diagnosis given the following clinical scenario: A 9 month old male presents with a new finding of a mass of the maxilla. The occlusal radiograph shows tooth # E “floating in air, displaced very anteriorly by the mass. There is a “sunray” appearance. The child has elevated VMA (vanillylmandelic acid). The mass appears pigmented.",Congenital granular cell tumor,Granular cell tumor,Melanotic neuroectodermal tumor of infancy,Melanoma,Café au lait macule,C,
A soft tissue nodule emanating from periapical pathology is best described as:,Parulis,Abscess,Periapical granuloma,Dentigerous cyst,Fibroma,A,
What is the first step in biopsying a radiolucency of the jaw?,Osteotomy,Excision of radiolucency,Use of reciprocating saw for cortical bone removal,Aspiration,,D,
Which of the following will respond to treatment with propranolol?,Congenital hemangioma,Lymphangioma,Infantile hemangioma,Low flow venous malformation,High flow arterial malformation,C,
“Port wine” stain is associated with which syndrome:,Sturge-Weber,Neurofibromatosis type 1,Neurofibromatosis type 2,MEN2B,PHACE,A,
Which is true of the following statements: Statement 1: Traumatic neuromas occur following transection of a nerve bundle and the reactive proliferative response thereof Statement 2: Approximately one third of traumatic neuromas are painful,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which tissue will give rise to an angioleiomyoma?,Endothelium,Vascular smooth muscle,Skeletal muscle,Fibrous connective tissue,Salivary gland,B,
Which of the following is the most common sarcoma of childhood and adolescence?,Angiosarcoma,Kaposi sarcoma,Leiomyosarcoma,Fibrosarcoma,Rhabdomyosarcoma,E,
What is the most common location of soft tissue metastasis to the oral cavity?,Buccal mucosa,Tongue,Gingiva,Labial mucosa,Soft palate,C,
A Schirmer test evaluates which subjective finding:,Oral dryness,Ocular dryness,Circulating autoantibodies,Cellular atypia,None of these options,B,
True or False: Elevated SS-A or SS-B is sufficient for a Sjogren Syndrome diagnosis,True,False,,,,B,
Which organization sets the diagnostic criteria for Sjogren Syndrome?,The American College of Rheumatology,The National Institutes of Health,The Center for Disease Control,The National Sjogrens Foundation,None of the options,A,
Where does a ranula occur?,Labial mucosa,Hard palate,Soft palate,Floor of mouth,Buccal mucosa,D,
"Which is true of the following statements: Statement 1: Acute sialadenitis may occur subsequent to surgery Statement 2: The bacteria of acute sialadenitis often produce penicillinase, rendering penicillin ineffective",Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
"A patient that reports “a piece of my palate fell off” after two weeks of a painful swelling, with a sharply demarcated ulcer on clinical exam. What is the most likely diagnosis?",Sialosis,Chronic sialadenitis,Mucocele,Pleomorphic adenoma,Necrotizing sialometaplasia,E,
Swelling of the submandibular gland with pain that occurs only before mealtime is suspicious for which pathology?,Plunging ranula,Sialolith,Cystadenoma,Polymorphous adenocarcinoma,Pleomorphic adenoma,B,
True or False: The feeding gland must be removed during mucocele excision to avoid recurrence.,True,False,,,,A,
Which of the following can cause sialorrhea?,Lymhpoma,Graft vs. Host Disease,Heavy metal poisoning,Sarcoidosis,Hepatitis C,C,
Which of the following is the most common salivary gland neoplasm?,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Monomorphic adenoma,Pleomorphic adenoma,Polymorphous adenocarcinoma,D,
Which is true of the following statements: Statement 1: Warthin tumors are always unilateral Statement 2: Warthin tumor is associated with smoking,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which of the following is the most common salivary gland neoplasm of the retromolar pad?,Mucocele,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Monomorphic adenoma,Pleomorphic adenoma,B,
Which of the following is associated with pain?,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Monomorphic adenoma,Pleomorphic adenoma,Warthin tumor,B,
Which of the following best characterizes the 5-year survival rate of a low-grade mucoepidermoid carcinoma:,<10%,20-25%,30-50%,50-75%,>90,E,
A woman of 25 years presents to your office for a new patient exam. The patient is asymptomatic though has had difficulty speaking recently. All teeth are vital. There is no evidence of caries.,Describe this lesion:,Name five specific diagnoses for the differential diagnosis:,What are your next steps:,,,FILL,images/oralpath-exam2-spring-2022/fig31.jpeg
