title,Pain & Anxiety Control Quiz 2 (Spring 2018),painanx,quiz
question,option_a,option_b,option_c,option_d,correct,image
"A 35 year old healthy male has a carious, non-restorable tooth #31, requiring extraction. Following a full review of his diagnosis, planned treatment and informed consent, you proceed to provide local anesthesia on the right side for pain management. Which combination of injections should provide adequate anesthesia for this procedure?","Posterior superior alveolar nerve block, mental nerve block and buccal nerve block and infiltration.",Infiltration mandibular right second molar on the buccal and the lingual.,Inferior alveolar nerve block and mental nerve block,"Inferior alveolar nerve block, lingual nerve block, buccal nerve block and infiltration",D,
"You perform all of the correct local anesthetic injections to anesthetize tooth #31 for extraction. After 5 minutes, the patient's right lip and chin are totally numb. You proceed to elevate the tooth prior to placement of a forceps, however, the patient jumps immediately indicating that this was painful. Although you repeat the previous injections, the patient is still not numb enough for the extraction. What nerve is most likely providing accessory sensory innervation to #31?",Mental nerve,Mylohyoid nerve,Buccal nerve,Incisive nerve,B,
"The initial anatomic landmark which is palpated, for assessing the correct position to insert the needle prior to performance of an inferior alveolar nerve block is which of the following:",Coronoid notch,Sigmoid notch,Mylohyoid ridge,Gonial notch,A,
"A 58 year old male with coronary artery disease and a history of angina, requires removal of the mandibular left first molar. You deliver a total of 2 cartridges of 3% Mepivacaine after performing an inferior alveolar nerve bock, buccal gingival infiltration and lingual nerve block. The patient is adequately anesthetized and you proceed to successfully remove #19. How much Mepivacaine did this patient receive?",54 mg,36 mg,72 mg,108 mg,D,
"An 85 year old female requires removal of periodontally hopeless teeth #'s 22, 23, 24, 25, 26 and 27. You successfully perform bilateral mental nerve blocks as well as lingual gingival infiltration giving a total of Articaine 144 mg with Epinephrine 0.018 mg. What anatomic areas have you anesthetized?","Lower lip (right and left), teeth #'s 22 - 27, lingual gingiva #'s 22 - 27, and the anterior tongue (right and left).","Lower lip (right and left), teeth #'s 22 - 27, lingual gingiva #'s 22 - 27, and the skin of the chin (right and left).","Buccal mucosa (right and left), teeth #'s 22-27 and adjacent buccal gingiva.","Anterior tongue (right and left), teeth #'s 22-27 and skin of the chin (right and left).",B,
"An 85 year old female requires removal of a mandibular right lateral incisor due to severe periodontal disease. She has a history of coronary artery disease and has been hospitalized for myocardial infarction in 1999 &2005. Subsequently she underwent the placement of two cardiac stents in 2009. Since that time, the patient has been seeing her cardiologist regularly, has not had any cardiac symptoms (eg. no angina) and has been on the same antihypertensive and statin lowering medications as well as Aspirin 81 mg daily for many years. You have written a letter to her cardiologist, indicating your knowledge of her cardiac condition and requesting recommendations and clearance for performing the extraction. The cardiologist has written back to you indicating that there are no contraindications to the proposed oral surgery and that you should minimize the patient's exposure to Epinephrine. Which local anesthetic injections are required to perform the surgical extraction of tooth #26?",Anterior superior alveolar nerve block and lingual infiltration at site #26.,Inferior alveolar nerve block and nasopalatine nerve block.,Buccal infiltration and lingual infiltration at site #26.,Right and Left Mental nerve blocks.,C,
"An 85 year old female requires removal of a mandibular right lateral incisor due to severe periodontal disease. She has a history of coronary artery disease and has been hospitalized for myocardial infarction in 1999 &2005. Subsequently she underwent the placement of two cardiac stents in 2009. Since that time, the patient has been seeing her cardiologist regularly, has not had any cardiac symptoms (eg. no angina) and has been on the same antihypertensive and statin lowering medications as well as Aspirin 81 mg daily for many years. You have written a letter to her cardiologist, indicating your knowledge of her cardiac condition and requesting recommendations and clearance for performing the extraction. The cardiologist has written back to you indicating that there are no contraindications to the proposed oral surgery and that you should minimize the patient's exposure to Epinephrine. What is your preferred initial local anesthestic of choice in this patient?",3% Mepivacaine,"4% Articaine with Epinephrine 1:200,000","2% Lidocaine with Epinephrine 1:100,000","0.5% Bupivacaine with Epinephrine 1:200,000",A,
"An 85 year old female requires removal of a mandibular right lateral incisor due to severe periodontal disease. She has a history of coronary artery disease and has been hospitalized for myocardial infarction in 1999 &2005. Subsequently she underwent the placement of two cardiac stents in 2009. Since that time, the patient has been seeing her cardiologist regularly, has not had any cardiac symptoms (eg. no angina) and has been on the same antihypertensive and statin lowering medications as well as Aspirin 81 mg daily for many years. You have written a letter to her cardiologist, indicating your knowledge of her cardiac condition and requesting recommendations and clearance for performing the extraction. The cardiologist has written back to you indicating that there are no contraindications to the proposed oral surgery and that you should minimize the patient's exposure to Epinephrine. You proceed to inject two cartridges of your preferred local anesthetic. What volume of medication have you administered?",1.8 ml,3.6 ml,36 ml,72 ml,B,
"An 85 year old female requires removal of a mandibular right lateral incisor due to severe periodontal disease. She has a history of coronary artery disease and has been hospitalized for myocardial infarction in 1999 &2005. Subsequently she underwent the placement of two cardiac stents in 2009. Since that time, the patient has been seeing her cardiologist regularly, has not had any cardiac symptoms (eg. no angina) and has been on the same antihypertensive and statin lowering medications as well as Aspirin 81 mg daily for many years. You have written a letter to her cardiologist, indicating your knowledge of her cardiac condition and requesting recommendations and clearance for performing the extraction. The cardiologist has written back to you indicating that there are no contraindications to the proposed oral surgery and that you should minimize the patient's exposure to Epinephrine. Following the administration of local anesthesia you test to see if the patient is adequately anesthetized. You find that the patient is not comfortable and you cannot proceed. Because site #26 has severe periodontal disease, the soft tissues appear red and inflamed. You decide that the local anesthetic administered should have some Epinephrine in it to prevent the rapid uptake of the local anesthetic into the blood stream. The maximum dose of Epinephrine you should administer to this patient is 0.04 mg.",True,False,,,A,
"An 85 year old female requires removal of a mandibular right lateral incisor due to severe periodontal disease. She has a history of coronary artery disease and has been hospitalized for myocardial infarction in 1999 &2005. Subsequently she underwent the placement of two cardiac stents in 2009. Since that time, the patient has been seeing her cardiologist regularly, has not had any cardiac symptoms (eg. no angina) and has been on the same antihypertensive and statin lowering medications as well as Aspirin 81 mg daily for many years. You have written a letter to her cardiologist, indicating your knowledge of her cardiac condition and requesting recommendations and clearance for performing the extraction. The cardiologist has written back to you indicating that there are no contraindications to the proposed oral surgery and that you should minimize the patient's exposure to Epinephrine. Your oral surgery assistant informs you that there are no more cartridges of local anesthetic containing Epinephrine in your office. You proceed to deliver more local anesthetic without Epinephrine, but the patient is very uncomfortable as you extract tooth #26. The patient's blood pressure escalates to 170/100 (from preop BP of 130/75). What is the cause for the elevation in the blood pressure?",Pain during the extraction,Increase in production of endogenous catecholamines,Anxiety due to the pain associated with the extraction,All of the above are correct.,D,
