title,Periodontics I Quiz 2 (Fall 2017),perio1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is TRUE?,"An informed consent form must be signed by the dentist, the patient/guardian, and a witness. The order in which they actually sign the form is not significant.","The blanks (diagnosis, procedure) on a consent form can be filled out after the patient signs the form.",The dentist may choose to delegate the responsibility for obtaining consent to any responsible staff member that has been thoroughly trained in how to obtain consent from a patient.,The risks involved in a procedure should not be minimized or downplayed in order to convince a patient to agree to the procedure.,Using technical language is the only precise way to describe a procedure so that the patient truly understands everything that is involved in doing that procedure.,D,
"All of the following topics must be included in an informed consent discussion, EXCEPT:",The benefits/intended goals of the procedure.,The side effects/risks of the procedure.,Any alternative treatment options.,The likelihood of success of the procedure being performed.,"The fact that ""Doing nothing"" is NOT an option.",E,
"Statement 1: Optimized linear instrument movements of Piezon are clearly aligned with the tooth surfaces for maximum abrasion. Statement 2: When Piezon Technology is operated using the precise linear technique, it is almost silent - taking away the fear associated with past procedures.","The first statement is true, the second is false",Both statements are true,"The first statement is false, the second is true",Both statements are false,,C,
What is the Piezo tip PS used for?,To remove moderate to heavy supragingival deposits,To remove moderate supragingival or subgingival deposits,To remove light supragingival or subgingival deposits,To remove heavy supragingival or subgingival deposits.,,C,
Naber's probe can enter between Buccal and Palatal roots on tooth #12 up to 3 mm. What furcation classification is that?,Class 1,Class 2,Class 3,Class 4,,B,
Statement 1: Air-flow therapy is a procedure which uses air and water pressure to deliver a controlled stream of specially processed powders in a slurry through the handpiece nozzle. Statement 2: Air-flow therapy is used to remove supra- and subgingival plaque and biofilm and stains and for teeth polishing.,"First statement is true, second is false.",Both statements are true.,"First statement is false, second is true.",Both statements are false.,,B,
Which consents should be signed by a new patient in the clinic?,"Patient Informed consent, HIPAA, Records Release consent","Email-Text Communication consent, HIPAA, Patient Informed consent","HIPAA, Email-Text communication consent, Anesthesia consent","Records Release consent, Anesthesia consent, HIPAA",,B,
An otherwise healthy patient presents to your office with generalized gingival recession with no evidence of radiographic bone loss or caries. Which of the following is the likely etiology of the patient's recession?,Occlusal trauma,Necrotizing ulcerative gingivitis (NUG),Toothbrush abrasion,Diabetes,,C,
Each of the following is a clinical sign of gingivitis EXCEPT one. Which is the EXCEPTION?,Swollen tissues,Erythema,Gingival stippling,Bleeding on probing,,C,
Which of the following describes how the width of attached gingiva is measured? The width is the distance from the,Base of the sulcus/pocket to the mucogingival junction,Free gingival margin to the base of the sulcus/pocket,Cemento-enamel junction to the mucogingival junction,Cemento-enamel junction to the base of the sulcus/pocket,,A,
Which of the following terms describes the distance from the CEJ to the depth of the gingival sulcus/pocket?,Gingival pocket depth,Gingival recession,Clinical attachment level,Alveolar bone loss,,C,
Which of the following is most significant in regard to the prognosis of a periodontally involved tooth?,Pocket depth,Anatomical crown length,Attachment loss,Bleeding upon probing,,C,
What does a PSR index of 3 mean?,Pockets of less than 3.5 mm with bleeding present in this quadrant,Pockets of equal or more than 3.5 mm present in this sextant,Pockets of less than 3.5 mm with calculus present in this sextant,Pockets of equal or more than 3.5 mm present in this quadrant,,B,
Which statement(s) is(are) correct regarding instrument sharpening? 1) A wire edge is produced when the direction of the sharpening stroke is away from rather than into or toward the cutting edge. 2) Oil should be used for synthetic stones and water for natural stones. 3) Sharpen instruments at the first sign of dullness. 4) The angle between the face of the blade and the stone is kept at 100 to 110 degrees. 5) The technique to sharpen Gracey curettes is essentially the same for Universal curettes.,1,"1, 2, 3","2, 5","1, 3, 4, 5",,D,
