title,Complete Dentures Quiz 3 (Fall 2017),cd,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What processing error can cause a denture tooth to break off a denture when a patient is wearing the denture?,Collapsed bite,Cross bite,Teeth not placed on the residual ridge,Incomplete removal of separating material,,D,
The number of teeth required to fabricate a Full Upper Denture is,2 premolars and 1 molar,1 premolar and 1 molar,1 premolar and 2 molars,None of these,,D,
A type of device used to process a denture is called:,Face bow,Centrifuge machine,Burn out oven,Articulator,Split ring flask,E,
What is a type of material that is used on the inner surface of a flask to prevent stone from attaching to a cast,Poly vinyl Siloxane,Alcohol,Plaster,Vaseline,Methyl methacrylate,D,
The lower ring of a processing flask is used to,Invest the denture teeth,Melt the wax,Release the triad,Invest the lower cast,,D,
What part of the completed processing flask is the denture set up embedded in?,Lower half stone,Stone Cap,Lower arch,Upper half stone,,D,
The flat area that represents the border of a master model is called,Retromolar pad,Frenum,Investment,Tuberosity,Land area,E,
What is the term that describes the technique where small retentive grooves are placed in the undersurface of the teeth?,Provisional,Reciprocation,Reline,Jig,Diatorics,E,
What residue left on the underside of the teeth can lead to teeth being dislodged from a denture?,Vaseline,Water,Plaster,Wax,,D,
What softens the wax in a flask in the processing step?,Wax solvent,Detergent,Separator,Boiling water,,D,
What is the function of the triad material once the wax has been softened in processing?,Maintains the space for the teeth,Stabilizes the lower cast,Aligns the flask,Has no function,Protects the occlusion,D,
Tin foil medium is,An etchant,A type of solvent,A type of Bonding agent,A separator,,D,
