title,Oral Pathology Exam 3 (Spring 2019),oralpath,exam3
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
A biopsy specimen from which entity is most likely to show apple-green birefringence when stained with Congo red and viewed under polarized light?,Calcifying epithelial odontogenic tumor,Dentigerous cyst,Calcifying odontogenic cyst,Osteoma,Osteosarcoma,Adenomatoid odontogenic tumor,A,images/oralpath-exam3-spring-2019/fig1.jpeg
See attached image: Intro: A female of 73-years presents for comprehensive dental care. HPI: N/A. MedHx: Unknown. Meds: Unknown. Allergies: Denies. SocHx: Unknown. PhysEx: BP: 155/92. HR: 82/min. Resp: 17/min. Provide a 3-entity differential diagnosis for the radiographic abnormality indicated by the arrow.,ODONTOGENIC KERATOCYST|AMELOBLASTOMA|CENTRAL GIANT CELL GRANULOMA,ODONTOGENIC KERATOCYST|AMELOBLASTOMA|CENTRAL GIANT CELL GRANULOMA,ODONTOGENIC KERATOCYST|AMELOBLASTOMA|CENTRAL GIANT CELL GRANULOMA,,,,FILL,
See attached image: Intro: A female of 73-years presents for comprehensive dental care. HPI: N/A. MedHx: Unknown. Meds: Unknown. Allergies: Denies. SocHx: Unknown. PhysEx: BP: 155/92. HR: 82/min. Resp: 17/min. Question: Which descriptive term is most appropriate for the abnormality indicated by the arrow?,Radiolucent,Radiopaque,Mixed radiolucent-radiopaque,,,,A,images/oralpath-exam3-spring-2019/fig3.jpeg
See attached image: Intro: A female of 73-years presents for comprehensive dental care. HPI: N/A. MedHx: Unknown. Meds: Unknown. Allergies: Denies. SocHx: Unknown. PhysEx: BP: 155/92. HR: 82/min. Resp: 17/min. Question: Which descriptive term is most appropriate for the abnormality indicated by the arrow?,Multilocular,Unilocular,Unilobular,Multilobular,,,A,images/oralpath-exam3-spring-2019/fig4.jpeg
"Clinical examination demonstrates that teeth #s 23, 24, 25 and 26 have vital pulp tissues.  All of the following are possible diagnoses for the periapical radiolucency in the anterior mandible, EXCEPT one.  Which one is the EXCEPTION?",Periapical granuloma,Odontogenic keratocyst,Ameloblastoma,Central giant cell granuloma,Metastatic malignancy,,A,
Which of the following represents the most appropriate treatment for acute apical abscess?,Scaling and root planing,Sealant,Chlorhexidine rinse,Establish drainage,Amalgam restoration in enamel only,,D,
See attached image: What is the diagnosis? Correct term:,AMELOBLASTOMA,,,,,,FILL,
See attached image: Intro: A male of 20-years presents for comprehensive dental care. HPI: N/A. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/70. HR: 77/min. Resp: 16/min. Question: What is the most appropriate next step for this patient? Correct Term:,ASPIRATION,,,,,,FILL,
See attached image: Intro: A male of 20-years presents for comprehensive dental care. HPI: N/A. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/70. HR: 77/min. Resp: 16/min. Question: Provide a 3-entity differential diagnosis for the radiographic abnormality indicated by the arrow.,DENTIGEROUS CYST|ODONTOGENIC KERATOCYST|AMELOBLASTOMA,DENTIGEROUS CYST|ODONTOGENIC KERATOCYST|AMELOBLASTOMA,DENTIGEROUS CYST|ODONTOGENIC KERATOCYST|AMELOBLASTOMA,,,,FILL,
See attached image: Intro: A male of 20-years presents for comprehensive dental care. HPI: N/A. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/70. HR: 77/min. Resp: 16/min. Question: Provide an approximate measurement for the abnormality in centimeters. Correct measurement:,2.0 x 1.5,,,,,,FILL,
Condensing osteitis may occur in association with a reversible pulpitis.,True,False,,,,,A,
"All of the following are features of gnathic (jaw) osteosarcoma, EXCEPT one. Which one is the EXCEPTION?",Pain and paresthesia,Asymmetric widening of the PDL space on radiography,Uncommon recurrence,Possible soft tissue mass,May cause mobility of the teeth,,C,
Which entity is most likely to demonstrate scalloping between tooth roots on radiography?,Traumatic bone cyst,Aneurysmal bone cyst,Ameloblastic fibroma,Ameloblastic fibro-odontoma,Central giant cell granuloma,Calcifying epithelial odontogenic tumor,A,
Which of the following is most likely to be diagnosed in an adult patient?,Traumatic bone cyst,Aneurysmal bone cyst,Ameloblastic fibroma,Ameloblastic fibro-odontoma,Odontoma,Calcifying epithelial odontogenic tumor,F,
"Biopsy specimens from all of the following are likely to contain multi nucleated giant cells, EXCEPT one. Which one is the EXCEPTION?",Brown tumor,Cherubism,Traumatic bone cyst,Aneurysmal bone cyst,Central giant cell granuloma,,C,
What is the most common location for the Stafne defect?,Posterior maxilla,Posterior mandible,Anterior mandible,Premolar region of the maxilla,Premolar region of the mandible,Anterior maxilla,B,
