title,Pathomedicine Exam 3 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is an example of a benign neoplasm?,Melanoma,Choristoma,Hamartoma,Lymphoma,Papilloma,E,
Please select the statement(s) that reflect(s) the current understanding of neoplasia,Hyperplasia and metaplasia are classified as neoplasia,A neoplasm consists of parenchyma and stroma,The tumor parenchyma grows uncontrollably,"A, B, and C",B and C only,E,
An adenocarcinoma is,A malignant neoplasm of adenoids,A malignant neoplasm of two cell lineages,A benign neoplasm of two cell lineages,A malignant neoplasm of glandular epithelium,Any malignant epithelial neoplasm,D,
A benign neoplasm of lymphoid cells,Is called a lymphoma,Is called lymphadenoma,Does not exist,Occurs in lymph nodes,Occurs in the blood stream,C,
Most breast cancers are,Adenosarcomas,Squamous cell carcinomas,Leiomyosarcomas,Adenocarcinomas,Teratomas,D,
Statement 1. Mutations in proto-oncogenes can produce oncogenes. Statement 2. Genomic instability contributes to the generation of heterogeneous neoplastic cell populations that have different properties.,Both statements are true.,Both statements are false.,"Statement 1 is true, but statement 2 is false.","Statement 1 is false, but statement 2 is true.",,A,
"Hallmarks of cancer, i.e. malignant phenotype of a cell of any lineage, include at least six characteristics. From the list below, please select applicable characteristic(s).",Production of growth hormone,Unlimited replicative potential,Inability to induce inflammation,High sensitivity to signals that inhibit growth,All listed characteristics apply,B,
"Your 60-year-old male dental patient has a history of a high-grade prostate adenocarcinoma with lymph node metastases. The patient was diagnosed and treated with surgery and chemotherapy within the past year. All of the following are true regarding the patient and his treatment, EXCEPT one. Select the EXCEPTION.",The patient has a poorly differentiated cancer of advanced stage,The patient could develop metastases to the jaws,The cancer developed from stratified squamous epithelium,The patient may require further chemotherapy,The cancer developed from glandular epithelium,C,
Which of the following statements regarding oral epithelial dysplasia is FALSE?,Similar changes in the epithelium of the uterine cervix are termed “cervical intraepithelial neoplasia” (CIN),"In the epithelium of the skin, such changes are termed “actinic keratosis”",Oral epithelial dysplasia is a cellular adaptation,Such a lesion is a precursor to squamous cell carcinoma,The cellular morphology is similar to that seen in carcinoma,C,images/patho-legacy-fall-2017-3/fig9.jpeg
"A 44-year-old female presents with facial asymmetry due to a mass of the right mandible. She complains of a tingling sensation in the chin and lower lip on the right for the past month. There is an ulceration of the mucosa overlying the mass, as well as reduced sensation to touch (hypoesthesia) in the skin of the chin and lower lip on the right side. Which of the following statements is the BEST interpretation of the signs and symptoms?",This is a neoplasm that is impinging on the inferior alveolar nerve and is causing the destruction of the mucosal surface epithelium,The ulceration of the surface mucosa is consistent with a benign neoplasm,The hypoesthesia is a systemic symptom,Lack of pain is a sign that means the lesion is not destructive,,A,
"Statement 1: In adults, the most common cancers are sarcomas. Statement 2: In children, carcinomas are more common than sarcomas.",Both statements are true.,Both statements are false.,"Statement 1 is true, but statement 2 is false.","Statement 1 is false, but statement 2 is true.",,B,images/patho-legacy-fall-2017-3/fig11.jpeg
Gastric adenocarcinoma is,Caused by Epstein-Barr virus infection,Due to infection with high-risk type of HPV,Associated with Helicobacter pylori infection,Caused by HIV infection of epithelial cells,Associated with the parasite shistosoma,C,
"Of the following characteristics, which one IS NOT a property of initiators of chemical carcinogenesis?",Cause the cell to proliferate,React rapidly with host DNA,Cause irreversible effects on DNA,Cause additive effects on DNA,Can cause mutations with a single dose,A,images/patho-legacy-fall-2017-3/fig13.jpeg
Promoters of carcinogenesis are very effective in promoting cancer development (image),When introduced after the initiator,If they stimulate cells to divide,If introduced repeatedly,When they inhibit differentiation,All of the above,E,
"A B cell is infected by Epstein Barr virus (EBV), which causes the immortalization and transformation of the B cell. Subsequently, a translocation of host gene MYC in this B cell from its normal position on chromosome 8 to chromosome 14 has resulted in uncontrolled activation of MYC with stimulation of abnormal, self-sufficient B cell proliferation. What is the best description of MYC gene?",An oncogene provided by the EBV genome,A tumor suppressor gene,An oncogene that was previously a protooncogene,A gene that inhibits apoptosis,,C,
p53 is important for,Suppressing tumor growth,Monitoring checkpoints,Stopping cell cycle progression in damaged cells,Inducing apoptosis in badly damaged cells,All of the above,E,
"A 65-year-old male presents for colonoscopy, which includes biopsies of the sigmoid (a portion of the large intestine). A comparison of two lesions (A and B) found in the process reveals contrasting features. Which of the two lesions is likely to metastasize?",Lesion A,Lesion B,,,,B,images/patho-legacy-fall-2017-3/fig17.jpeg
"A 68-year-old male with a history of blood in the stools undergoes colonoscopy, which reveals a lesion in the sigmoid. Given the history, this patient is likely to have a systemic problem due to the lesion. Which systemic problem would be representative of the history provided, and be detectable by additional testing?",Leukemia,Anemia,Melanoma,Abdominal pain,Dizziness,B,images/patho-legacy-fall-2017-3/fig18.jpeg
A malignant neoplasm of fatty tissue is called a,Lipoma,Leiomyosarcoma,Lipocarcinoma,Liposarcoma,Lipoadenoma,D,
A well-differentiated and slow-growing neoplasm is always benign.,True,False,,,,B,
"Conditions that are considered premalignant, i.e. have increased potential to become malignant neoplasms, include",Epithelial dysplasia,Cervical intraepithelial neoplasia,Adenoma of the colon,Glandular metaplasia of the esophagus,All of the above,E,
Which of the following characteristics most reliably separates malignant neoplasia from benign?,Poor differentiation of tumor cells,Infiltration of adjacent tissues,Rapid growth,Metastasis,Pain,D,
Hypersensitivity reactions (the four types) are classified on the basis of,Involvement of innate vs. adaptive immunity,The location and type of involved tissue,The mechanism of tissue damage,Antibody types,Production of cytokines,C,
Which hypersensitivity reaction does NOT depend on antibodies?,Allergic rhinitis,Reaction to penicillin,Allergic angioedema,Reaction to PPD,Anaphylaxis,D,
"The development of a hypersensitivity reaction to external antigens requires all of the following, EXCEPT",Repeated supply of antigen,Adaptive immune response,Secondary lymphoid organs,Antigen presenting cells,Destructive/dangerous antigen,E,
Mast cell activation in hypersensitivity reactions is caused by crosslinking mast cell Fc-epsilon receptors by,IgG bound to antigen on cell surfaces,IgE bound to soluble antigen,IgA bound to antigen in saliva,IgE bound to neutrophils,IgG bound to blood vessels,B,
Mast cell activation in an allergic reaction,Results in immediate and late phase responses,Causes release of histamine starting five-seven days after stimulus,Induces lymphocytosis,Leads to abscess formation,Causes tissue fibrosis,A,
