title,GDA Quiz 1 (Summer 2020),gda,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Approximately how many cells are included in the morula?,32,8,16,64,,C,
"Which of the following stages of lung maturation is defined by occurrence from 26 weeks to birth, start of the development of surfactant and difficulty of fetal survival due to respiratory distress?",Pseudoglandular Stage,Canilicular Stage,Terminal Sac Stage,Alveolar Stage,,C,
Which of the following is NOT true about Spina Bifida Occulta?,Abnormality of the spinal cord occurs in the medial plane,Spina Bifida Occulta often presents with no symptoms,"The only identifying mark may be a dimple, birthmark or tuft of hair",Varying severe neurological effects such as anesthesia are common,,D,
The endoderm gives rise to which of the following?,Lining of the respiratory tract,Skeletal muscles,Connective tissue,Blood cells,Central nervous system,A,
"What specific step in the fertilization process causes a biochemical reaction that stops polyspermy, or the fertilization of the ovum by multiple sperm?",Release of hyaluronidase by the acrosome of the sperm,Formation of the female pronucleus,Cortical reaction,Formation of the ootid,,C,
Where does fertilization of the ovum by the sperm take place?,Ovary,Endometrial lining of uterus,Ampulla of the uterine tube,None of the above,,C,
Which is the following types of cells are the only haploid (n) cells in the body?,Stem cells,Neural crest cells,Gametes,Dermal cells,,C,
"A sperm can survive in the female genital tract for 12 hours, while the oocytes will survive for 24 hours.",True,False,,,,B,
Which of the following does not increase the risk for an ectopic pregnancy?,Smoking,IVF treatments,Previous tubal surgery,Conceiving twins,Infection,D,
What supplement should pregnant women or women who plan to become pregnant take to help prevent neural tube defects?,Calcium,Folic acid,Iron,Vitamin A,,B,
How many chromosomes are in a haploid cell?,23,26,43,46,,A,
Which germ layer is a precursor for muscle cells?,Endoderm,Ectoderm,Mesoderm,,,C,
The esophagus is a derivative of which part of the developing gastrointestinal system?,Foregut,Midgut,Hindgut,,,A,
Which set of kidneys only have an adult derivative in the male?,Pronephric,Mesonephric,Metanephric,,,B,
