title,Preclinical Pediatric Dentistry Exam 1 (Spring 2018),pedo,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements is true:,Contact areas between primary molars tend to be broad.,Enamel rods of primary molars in gingival 1/3 extend occlusally.,Occlusal tables of primary molars tend to be narrower than that of permanent molars.,All of the above,,D,
"In general, a tooth that is expected to exfoliate within ____ months may be extracted to encourage eruption of the succedaneous tooth.",6,8,10,12,,A,
Which sequence describes the correct procedure for a Conservative Adhesive Restoration (CAR):,"Pumice, etch, sealant, bonding agent, composite","Pumice, etch, bonding agent, composite, sealant","Pumice, composite, etch, bonding agent, sealant","Etch, sealant, pumice, bonding agent, composite",,B,
Which statement is true regarding Cavernous Sinus Thrombosis and Ludwig's Angina?,They both pose life-threatening complications that can result from an untreated dental abscess.,They tend only to effect males 10 years of age or younger.,They were both finalists in the 2017 Battle of the Bands.,,,A,
Which of the following is a function of a primary tooth?,Mastication,Space maintenance,Esthetics,All of the above,,D,
Which of the following is a not a contraindication of sealant application:,A fully erupted tooth with well coalesced and self cleansing pits and fissures,A tooth with deep fissure soon to exfoliate,A tooth with an initial carious lesion,None of the above,,C,
Direct Pulp Capping of a primary tooth is contraindicated in which circumstance?,Small mechanical pulp exposure,Small traumatic pulp exposure,Small carious pulp exposure,None of the above,,C,
A tooth exhibiting intermittent discomfort provoked by temperature extremes has a clinical diagnosis of:,normal pulp,reversible pulpitis,irreversible pulpits,necrotic pulp,,B,
Pit and fissure caries can occur in which location?,Occlusal surfaces of maxillay and mandibular molars,Lingual surfaces of maxillary molars,Buccal surfaces of mandibular molars,Lingual surfaces of maxillary incisors.,All of the above,E,
Success of sealant retention is directly related to:,the maintenance of a dry field.,tooth selection,age of patient,depth of pits and fissures,,A,
"Ideally, the width of a class III composite preparation of a primary anterior tooth is ____________ mesio-distal dimension of the facial or lingual surface:",half the,three quarters of the,the entire,,,A,
"Ideally, the height of a class III composite restoration of a primary anterior tooth is limited to the __________ third of the facial or lingual surface in the inciso-gingival dimension.",gingival,incisal,middle,,,C,
Which recipe is correct for the formulation of one-fifth dilution of formocresol solution:,1 Part Buckley's formocresol + 1 part distilled water + 3 parts glycerin,1 Parts Buckley's formocresol + 1 part distilled water + 1 parts glycerin + 1 part tricresol + 1 formaldehyde,1 Part Buckley's formocresol + 3 part distilled water + 1 parts glycerin,1 Part Buckley's formocresol + 1 part distilled water + 1 parts glycerin + 2 parts mineral trioxide aggregate,,A,
Overall success of vital pulp therapy depends on:,Effective control of infection,Complete removal of inflamed coronal pulp tissue,Appropriate wound dressing,An effective coronal seal during and after treatment,All of the above,E,
Which of the following is a contraindication to pulpotomy in a primary tooth?,a tooth where a coronal seal would be inadequate or unobtainable,a tooth with bone overlying the crown of the permanent successor tooth,a tooth with a small carious pulp exposure,a tooth with history of pain,,A,
"Once the coronal pulp tissue have been amputated during a pulpotomy procedure, significant bleeding beyond 2-5 minutes of light pressure with a moistened cotton pellet indicates:",Inflammation of the radicular pulp,A pulpectomy or extraction should be considered,Both A and B,None of the above,,C,
"Because Gutta percha is not resorbable, it should not be used to fill roots of primary teeth under any circumstances ?",True,False,,,,B,
"During a pulpectomy procedure of a primary tooth, a significantly greater chance of failure occurs with _______________ of ZOE than with filling just to the apex or slightly _______________.","underfilling, overfilling","overfilling, underfilling",,,,B,
"During a pulpectomy procedure of a primary tooth, it is advisable to shorten the working length to ____mm short of the radiographic length.",2-3,3-5,0-1,,,A,
It has been suggested that the BPA present in some sealants may have estrogen like effects. The sealant guideline panel recommends sealants should be avoided in patients with familial history of ovarian cancer.,The first statement is correct. The second statement is incorrect.,The first statement is incorrect. The second statement is correct.,Both statements are correct.,Both statements are incorrect.,,A,
A child complaining of a toothache at night when lying in bed trying to fall asleep has a clinical diagnosis of:,normal pulp,reversible pulpitis,irreversible pulpits,necrotic pulp,,C,
A primary tooth that has does not bleed when the pulp chamber or canals are instrumented has a clinical diagnosis of:,normal pulp,reversible pulpitis,irreversible pulpits,necrotic pulp,,D,
There has been a decline in prevalence of caries in adolescents and children. The decline of smooth surface caries is occurring at a greater pace than that of occlusal surface caries.,The first statement is correct. The second statement is incorrect.,The first statement is incorrect. The second statement is correct.,Both statements are correct.,Both statements are incorrect.,,C,
"According to those who attended the formal, what is the consensus?",It was an awesome experience that I will always remember!,It was an exhibition of fabulous people wearing fabulous clothes!,Can't wait for the next one!,all of the above,,D,
Which of the following is not considered a vital pulp therapy for primary teeth:,Protective Base,Indirect Pulp Treatment (IPT),Direct Pulp Treatment (DPC),Pulpotomy,Pulpectomy,E,
Occlusal surfaces constitute the most caries susceptible sites for children. This is true because:,Enamel is thinnest at base of fissures,Fissures can often be quite deep and tortuous trapping food and debris which in turn causes demineralization,Fissures are difficult to mechanically clean,All of the above,,D,
"In general, a ___ second acid etch is adequate for sealant retention.",15,20,30,60,,B,
Which of the following is not necessarily a sign of a poor sealant:,one that is easily removed by explorer,one that interferes with occlusion immediately after placement,one that has only 1-2 bubbles,one that has 80-90% of all detectable pits and fissures,,B,
"Among the following list, which are alternative names for the Conservative Adhesive Restoration (CAR): Preventative Resin Restoration (PRR), Preventative Composite Restoration (PCR), Conservative Resin Restoration (CRR), Conservative Composite Restoration (CCR)",PRR and PCR,PCR and CRR,CRR and CCR,PRR and CCR,,A,
With respect to a pulpotomy procedure:which of the following is not an alternative to formocresol?,MTA,Laser,Sodium hypochlorite,Ferric sulfate,,C,
