title,Oral Radiology Midterm Exam (Fall 2018),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
Why do we use radiology in dentistry?,It can replace the clinical exam,To make sure we have records of our patient to submit to insurance carriers,Radiographs can visualize internal structures which cannot otherwise be visualized non-surgically,We probably shouldn't,C,
Increasing the exposure time (s) will:,"Increase the number of photons generated, but not their mean energy nor their maximal energy","Increase the number of photons generated and their mean energy, but not their maximal energy","Increase the number of photons generated, their mean energy, and their maximal energy",Decrease the number of photons generated but increase their mean energy and their maximal energy,A,
"When the tube current (mA) is doubled, the number of photons generated at all energies in the x-ray emission spectrum is:","The same, and the range of photon energies is unchanged","The same, but the range of photon energies increases","Doubled, but the range of photon energies is unchanged","Doubled, and the range of photon energies increases",C,
The area of the patient being exposed by the x-ray beam may be modified by altering the:,Exposure duration (s),Exposure rate (mA),Collimator shape (circle vs. rectangle),Exposure intensity (kVp),C,
Which of the following describes a type of interaction where an x-ray photon hits an inner electron?,Coherent scatter,Photoelectric absorption,Compton scatter,Characteristic radiation,B,
The high voltage transformer is used to create a buildup of _______ at the cathode. These are then shot at the anode to produce _______.,X-rays; radiographs,X-rays; electrons,Electrons; x-rays,Electrons; radiographs,C,
Which of the following describes a type of interaction of electrons with the tungsten target?,Coherent scatter,Photoelectric absorption,Compton scatter,Characteristic radiation,D,
X-rays are considered a form of?,Particulate radiation,Electromagnetic radiation,Gamma radiation,Cosmic radiation,B,
"___________________ will increase penumbra, or unsharpness.",Decreasing the distance between the object and image receptor,Increasing the distance between the focal spot and object,Decreasing the distance between the focal spot and object,Decreasing the focal effective focal spot size,C,
PSP has a larger detector latitude than a CCD/CMOS,True,False,,,A,
Spatial resolution is best defined as the:,Size of a radiograph,Capacity to distinguish shades of grey,Capacity to distinguish small details,File size of a digital radiograph,C,
"If the x-ray source is aimed straight at the image receptor, and the object being imaged is at an angle (not parallel to the image receptor), you should expect:",Foreshortening,Elongation,Eggshell effect,Upside-down image,A,
"If a tall, broad, and muscular football player presents for dental radiographs, which of the following adjustments to the x-ray exposure settings would make the most sense?",Consider using film instead of digital image receptors,Consider taking more radiographs,Consider decreasing the exposure time,Consider increasing the kVp,D,
"If you were to replace a long collimator with a short collimator (and thereby decrease the distance between the x-ray source and the patient) and kept all other exposure factors the same, the dose to the patient ________.",Increases,Decreases,Remains the same,There is no correlation between distance and patient dose,A,
Contrast resolution (bit depth) is best defined as the:,Size of a radiograph,Capacity to distinguish shades of grey,Capacity to distinguish small details,File size of a digital radiograph,B,
Image sharpness is improved by ____________ the distance between the focal spot and object and __________ the distance between the object and image receptor.,Increasing; increasing,Increasing; decreasing,Decreasing; increasing,Decreasing; decreasing,B,
Which of the following statements is NOT true regarding leaded aprons in dental radiography?,The NCRP and ADA have concluded that leaded aprons are unnecessary.,Many patients feel more comfortable wearing a leaded apron.,"Leaded aprons, if used incorrectly, can get in the way of the radiograph.",Leaded aprons are usually placed in direct path of the x-rays.,D,
Which of the following statements is true regarding digital image processing?,Most digital images are processed or enhanced in some way before you even see the image.,Digital systems are incapable of image enhancements or image processing.,Image enhancements are much more commonly utilized with film systems than with digital systems.,The goal of digital image processing is to introduce a large amount of noise to the image.,A,
Which of the following is NOT the name of a digital image enhancement?,Smooth,Sharpen,Pixelize,Colorize,C,
Each pixel is isolated from its neighboring pixels and is directly connected to a transistor when the ______________ is used as a digital image receptor.,Charge-coupled device (CCD),Complementary metal oxide semiconductor (CMOS),Flat panel detector,Photostimulable phosphor (PSP),B,
"The fewer x-rays hit the image receptor, the _______ that part of the image is.",Brighter,Darker,Lower mA,Higher kVp,A,
"The image receptor type that requires developer, fixer, and rinsing prior to viewing is the:",Charge-coupled device (CCD),Film,Complementary metal oxide semiconductor (CMOS),Photostimulable phosphor (PSP) plate,B,
One advantage of digital imaging versus film imaging is that digital:,Imaging does not require computers to process,Systems can usually adjust brightness and contrast,Components are inexpensive to replace,Systems look the same on any monitor,B,
Electrons travel from the _________ to the __________ where x-rays are produced.,Anode; image receptor,Anode; cathode,Cathode; anode,Cathode; image receptor,C,
___% of the kinetic energy of electrons produced at the filament is converted to heat at the tungsten target (anode).,10,50,90,99,D,
Which of the following is NOT a guiding principle of radiation protection?,Justification,Optimization,Dose limitation,Treatment,D,
The principle of ALARA means that we should:,Expose every patient to the same amount of radiation to be fair,Expose each patient to as little radiation as is reasonably achievable,Never expose a pregnant patient to x-rays,Never expose a child to x-rays,B,
How does the amount of background radiation from space and various terrestrial sources compare to the amount of man-made radiation in the United States?,There is more background radiation than man-made radiation,There is less background radiation than man-made radiation,There are roughly equal amounts of background radiation and man-made radiation,Nobody knows….,C,
Why are we typically NOT worried about deterministic effects in dental radiology?,Deterministic effects always have a probability to occur at any dose,They are the same as stochastic effects,It has already been determined whether or not they will occur,Dental doses are below any known deterministic threshold,D,
The period of apparent well-being after receiving doses greater than 2 Gy is known as the ______________.,Hematopoetic syndrome,Prodromal period,Latent period,Gastrointestinal syndrome,C,
Direct effects of x-rays to biological molecules typically cause the formation of ___________.,Free radicals,Alpha particles,Stable enantiomers,Water molecules,A,
Which of the following type of cells has the least radiosensitivity?,Stem cells,Basal cells of oral mucous membranes,Salivary gland cells,Nerve tissue,D,
"The primary cause of radiation-induced cell death, heritable (genetic) mutations, and cancer formation (carcinogenesis) is damage to a cell's:",Protein,Lipid,Carbohydrate,DNA,D,
The “L” in the acronym SLOB stands for:,Lovely,Left,Lingual,Lacrimogenic,C,
Which of the following is a recommended technique to inhibit gagging during an intraoral radiographic examination?,Have the patient keep his/her eyes wide open,Radiographs should not be attempted on somebody with a history of gagging,Use a slightly larger image receptor,Tell the patient it will only be in their mouth for 45 seconds,A,
Which of the following is NOT an indication for an occlusal radiograph?,Localize supernumerary teeth in the buccal-lingual dimension,Localize foreign bodies and salivary gland stones,Interproximal caries detection,Evaluate patients with trismus (limited jaw opening),C,
The molar periapical projection should include the _________ half of the __________.,Distal; canines,Mesial; canines,Distal; second premolars,Mesial; second premolars,C,
Which of the following types of intraoral radiographs is ideal for evaluating interproximal caries and periodontal bone height of the posterior dentition?,Occlusal,Periapical,Bitewing,Panoramic,C,
"At Touro, we use the XCP instruments to hold the image receptor parallel to the tooth and directly facing the x-ray source. This technique is known as the _________ technique.",Bisecting angle,Paralleling,Occlusal,Panoramic,B,
"When the bisecting technique is used, the receptor is positioned:",At the midline of the palate for a maxillary projection,As close as possible to the lingual surface of the teeth,Parallel to the long axis of the tooth,Perpendicular to the long axis of the tooth,B,
"A full-mouth series (FMS, FMX) of radiographs does not contain _________________ radiographs.",Anterior periapical,Bitewing,Occlusal,Posterior periapical,C,
"Which of the following intraoral projections should show all of a tooth, including the crown, root, and surrounding bone?",Periapical projection,Bitewing projection,CBCT projection,Panoramic projection,A,
Which of the following is the MAJOR error depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,D,images/oralrad-midterm-fall-2018/fig43.jpeg
Which of the following is the MAJOR error depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,A,images/oralrad-midterm-fall-2018/fig44.jpeg
Which of the following is the MAJOR error depicted in this radiograph?,Overexposure,Vertical misangulation,Double image,Cone cut,C,images/oralrad-midterm-fall-2018/fig45.jpeg
Which of the following theories states that very small doses of radiation are actually beneficial to the patient and in fact reduce the probability of getting cancer?,Linear no-threshold model,Hormetic model (Hormesis),Threshold model,Myers model,B,
"According to the ADA guidelines, assuming the same caries risk, adults require radiographic examinations _________ than children and adolescents.",More frequently,Less frequently,[There is no correlation between age and frequency of radiographic examination],Just as frequently as,B,
"A 27-year-old male patient presents to your clinic for an initial examination. He reports he just moved to New York from Washington, so he needs a new dentist. The patient reports he had four radiographs taken one year ago at his previous dentist but does not remember which type. You call the patient's previous dental office, and the previous office says they will mail you all of his radiographs as soon as possible. On intraoral examination, the patient's dentition has gross carious decay and multiple failing restorations. The gingiva looks red and inflamed. What radiographs should you take at today's dental appointment?",Bitewing radiographs only since you should take bitewings every 6 months,Full mouth series because of the patient's high-risk category,No radiographs today; wait for the previous radiographs to arrive by mail to decide if new radiographs are needed,Periapical radiographs only since you should take periapicals every 6 months,B,
