title,Orthodontics Final Exam (Spring 2019),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is not a possible class 2 skeletal pattern?,"Maxilla protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
Which of the following is a typical class 3 skeletal pattern?,"Maxilla Protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
Adaptive growth response in class 2 correction pertains to:,Maxillary changes,Mandibular symphysis changes,Condylar changes,Sutural changes,C,
Which is true of pseudo Class 3?,patient cannot bite edge to edge,Patient can bite edge to edge,Is related to significant mandibular bone growth,Does not have a CO/CR shift,B,
"The concept of ""meet to eat"" suggests that:",There is a natural dental compensation for a skeletal discrepancy,Dental compensations occur only in class I cases,Class III cases will show proclination of lower incisors,Class II cases will show retroclination of lower incisors,A,
Anterior crossbite of one tooth:,Is a rare occurence,Should be observed and followed,Should be treated as soon as possible,Has no effect on the opposing dentition,C,
Which of the following is true of the curve of Spee?,Adds to crowding,Can affect the Overbite,is levelled to achieve a flatter occlusal plane,all of the above,D,
Which is NOT a typical approach to deal with crowding?,Extraction of bicuspids,Slenderization (IPR) of teeth,Utilization of e-space,Extraction of molars,D,
Which of the following statements regarding facial balance is false?,Extraction of four bicuspids can reduce facial fullness,Facial balance is not an important factor in treatment planning,Incisor proclination can increase facial fullness,Slenderization of teeth alone may not improve facial fullness,B,
Which of the following applies to class II div 2?,Overjet is moderate to severe,Frequently presents with an openbite,Upper lateral incisors are flared,Upper central incisors are flared,C,
"In a typical class 2 subdivision left case, one would find:",Mandibular midline coincident with maxillary midline,Mandibular midline to the right of the maxillary midline,Mandibular midline to the left of the maxillary midline,Both upper and lower midlines to the left,C,
"In a class 2 case with maxillary protrusion and the mandible in good position, extraction of upper bicuspids will:",not affect lip fullness,reduce lip fullness,increase lip incompetence,have no effect on lip incompetence,B,
An adult non -grower will respond to typical orthodontic forces,True,False,,,B,
Which is not true of class 2 division 1?,Overjet is more than 2.5-3 mm,Upper central incisors are retroclined,,,B,
Which of the following is false?,Growth of the mandible can continue beyond maxillary growth,Genetics plays a role in growth of the mandible,Growth of the mandible stops sooner in boys than in girls,Growth of the mandible can continue into the twenties,C,
Camouflage treatment in a class 3 malocclusion involves:,upper and lower incisor retroclination,upper and lower incisor proclination,upper incisor proclination; lower incisor retroclination,upper incisor retroclination; lower incisor proclination,C,
Anterior crossbite of one or more teeth can cause lower incisors to move labially off the bone,True,False,,,A,
Periodontal therapy is an important adjunct when treating an anterior crossbite of one or two teeth,True,False,,,B,
A reverse headgear is used in class 2 correction,True,False,,,B,
Which is true of impacted canines?,Only present in the Maxilla,Are always on the lingual side of the arch,Are best diagnosed using the “slob” rule,Are usually treated with canine exposure,D,
Which are helpful tools in diagnosing possible maxillary canine impaction?,Palpation of the ridge to feel for the unerupted canine,Baseline panoramic film at age 9,Looking for splayed maxillary laterals,all of the above,D,
Correction of impacted mandibular canines involves the same considerations as impacted maxillary canines,True,False,,,B,
"Posterior crossbite ""with a shift"" refers to a shift of ?",The Mandible forward,The mandibular midline to the side of the crossbite,The mandibular midline to the opposite side of the crossbite,The Maxillary midline,B,
Surgically assisted Rapid palatal expansion is indicated in,Adolescent boys,Girls aged 10-12,Adults,All children under 9,C,
Growth in a positive direction and cooperation are the primary factors in the success of an orthodontic case,True,False,,,A,
Which of the following is not a fixed retainer?,Gold Chain,Lingual titanium bar,Essix Retainer,Flat titanium wire,C,
Which of the following is not part of a traditional Hawley retainer:,Clasps on the molars,Labial bow canine-to-canine for adjustment,Acrylic palate,clasps on the bicuspids,D,
Diastema closure is usually stable and rarely requires fixed retention,True,False,,,B,
"In spacing cases, an orthodontist should:",Close spaces anterior and posterior to the bicuspids,Never extract bicuspids,Consider extracting bicuspids,Leave spaces distal to the bicuspids,A,
A Class 2 subdivision right case will have?,"class 2 on the left, class 1 on the right","class 2 on the right, class 1 on the left",class 2 on both sides,"Class 2 on the right, class 3 on the left",B,
Which best describes the malocclusion?,Class II Subdivision Left,Class II,Class III,Class II subdivision Right,B,images/ortho-final-spring-2019/fig31.jpg
"The overjet, at 2.5 mm, is considered:",Normal,Mild,Moderate,Severe,A,images/ortho-final-spring-2019/fig32.jpg
The overbite is considered:,Openbite,Normal,Moderate,Deep,C,images/ortho-final-spring-2019/fig33.jpg
The crossbite in this case is:,Unilateral crossbite with a midline shift to the left,Unilateral crossbite with a midline shift to the right,Bilateral posterior crossbite,There is no crossbite,D,images/ortho-final-spring-2019/fig34.jpg
Incisor angulation would best be described as :,"Maxillary teeth proclined, Mandibular teeth Retroclined",Maxillary and Mandibular teeth proclined,Maxillary and Mandibular teeth retroclined,"Maxillary teeth retroclined, Mandibular teeth proclined",C,images/ortho-final-spring-2019/fig35.jpg
Lower arch alignment would best be described as :,Uncrowded,Mild crowding,Severe crowding,Moderate spacing,B,images/ortho-final-spring-2019/fig36.jpg
Upper arch alignment would best be described as :,Uncrowded,Mild crowding,Moderate crowding,Mild spacing,C,images/ortho-final-spring-2019/fig37.jpg
E-line measurement shows the face to be:,Balanced for Caucasian,Full for Caucasian,Flat for Caucasian,None of the above,C,images/ortho-final-spring-2019/fig38.jpg
Crowding in this case might best be treated with bicuspid extraction,True,False,,,B,images/ortho-final-spring-2019/fig39.jpg
Use of the e-space will help alleviate crowding in this case,True,False,,,A,images/ortho-final-spring-2019/fig40.jpg
