title,Oral & Maxillofacial Surgery Final Exam (Spring 2020),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Consider the following statements: I. An unerupted tooth is a tooth whose crown has not come through the gingival tissue into the oral cavity. II. An impacted tooth is a tooth that has not erupted into the oral cavity within normal range of expected time. III. All Impacted teeth must be surgically exposed or removed. IV. All unerupted teeth must be surgically exposed or removed. Which of the following choices is correct?,"I, II, III, and IV are all TRUE.","I, II, III, and IV are all FALSE.",I and IV are TRUE and II and III are FALSE.,"I, II and IV are TRUE and III is FALSE.",I and II are TRUE and III and IV are FALSE.,,,E,
Which of the following statements regarding factors associated with tooth impaction are FALSE?,Systemic factors can result in the impaction of multiple teeth.,Cleidocranial dysplasia can be a factor associated with tooth impaction.,Local factors may result in tooth impaction.,Odontogenic cysts or tumors can result in tooth impaction.,"If a tooth is impacted due to systemic factors, it cannot be extracted.",,,E,
Which of the following endings to the following sentence is most accurate? If an impacted tooth remains asymptomatic and does not develop pathology by the time a patient reaches the age of 35…,…it will never need to be extracted.,"…it should be removed as soon as possible since, as the patient gets older, the extraction and recovery become more difficult.","…continued observation is indicated since, as the patient gets older, the extraction and recovery become easier.",…it should be followed clinically and radiographically to see if it becomes problematic.,"……it should be removed as soon as possible since, as the patient gets older, extraction would be accompanied by increased risk of complications.",,,D,
Which of the following statements regarding the Pell and Gregory classification system is TRUE?,It is useful because it gives an indication as to the anticipated difficulty of the extraction.,The classification is utilized by insurance companies to determine what the fee should be.,"1, 2, and 3 classifications are based on the depth of the third molar relative to the adjacent second molar.","A, B, and C classifications are based on the buccolingual diameter of the third molar.",It is useful in describing the position of any tooth that is impacted.,,,A,
Which of the following statements about the prognostic value of panoramic radiography of inferior alveolar nerve damage after mandibular third molar removal is FALSE?,Interruption of the superior cortical border of the Inferior Alveolar Canal is indicative of increased risk.,Deflection of the Inferior Alveolar Canal is indicative of increased risk.,Narrowing of the Inferior Alveolar Canal is indicative of increased risk.,Darkening of the tooth root where it overlies the Inferior Alveolar Canal is indicative of decreased risk.,,,,D,
Which of the following statements regarding the use of CBCT’s prior to third molar extractions is TRUE?,CBCT is required prior to extraction of all mandibular third molars.,CBCT is required prior to extraction of all maxillary third molars.,CBCT is required prior to extraction of all maxillary and mandibular third molars.,CBCT is never useful prior to extraction of any third molars.,All of the statements other than this one are NOT TRUE.,,,E,
Which of the following statements regarding flap design for the extraction of mandibular third molars is TRUE?,The flap should be a full-thickness flap and it should flare to the buccal in the area posterior to the adjacent second molar.,The flap should be a split-thickness flap and it should flare to the lingual in the area posterior to the adjacent second molar.,The flap should be a split-thickness flap and it should flare to the buccal in the area posterior to the adjacent second molar.,The flap should be a full-thickness flap and it should flare to the lingual in the area posterior to the adjacent second molar.,The flap should only extend onto the palate to afford access to an extremely deeply impacted third molar.,,,A,
Consider the following image and scenario: You are extracting the mandibular right third molar. Which of the following statements is TRUE?,It is unlikely that you will need to remove any bone when performing this extraction.,Lingual bone should be removed for access to the crown.,Buccal bone should be removed for access to the crown.,The second molar must be removed to gain access to the third molar.,Both buccal and lingual bone should be removed for access to the crown.,,,C,images/omfs-final-spring-2020/fig8.jpeg
You have made the decision to section this tooth to accomplish the extraction. Which of the following statements is TRUE?,"Since you are also doing an occlusal restoration on the adjacent second molar, you use your regular highspeed handpiece to simplify instrumentation.","To avoid damaging the buccal nerve, you do not cut completely through the buccal surface of the tooth.","To avoid damaging the lingual nerve, you do not cut completely through the lingual surface of the tooth.","If you are really good at extracting teeth you should be able to extract this tooth in one piece, without the need for sectioning.",You cut completely through the tooth from buccal to lingual to remove the crown.,,,C,
Which of the following statements regarding the removal of impacted mandibular third molars is TRUE?,Mesioangular positioned teeth are generally the most difficult to extract.,Vertically positioned teeth are generally the most difficult to extract.,Horizontally positioned teeth are generally the most difficult to extract.,Distoangular positioned teeth are generally the most difficult to extract.,The difficulty of an extraction is not influenced by the position of the tooth.,,,D,
