title,Periodontics II Quiz 2 (Fall 2017),perio2,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is true regarding Gingival Curettage?,It is a procedure that is a definitive way to treat periodontal disease,The results of Gingival Curettage are superior to scaling and root planning,It is a procedure to remove tissue debris and granulation tissue,None of the above,C,
Features of a Replaced Flap include the following:,A Full thickness flap is elevated,The flap is elevated past the mucogingival junction,There are four incisions made,The internal bevel incision is made less than 0.5mm from the gingival margin,A,
What is the rate of epithelial migration after a periodontal surgical procedure is performed?,1.0mm per day in every direction,0.5mm per day in every direction,1.5mm per day in every direction,None of the above,B,
Which of the following are reasons that you would perform a Replace Flap?,To ensure healing with New attachment,To reduce/treat infrabony pockets,To preserve esthetics in the anterior region,All of the above,C,
In the Gargiulo article about “Biologic Width” what was the average width of the Connective Tissue Attachment?,1.07mm,0.97mm,2.04mm,0.69mm,A,
Which of the following occurs when the “Biologic Width” is violated?,Loss of alveolar bone,Chronic gingival inflammation,Chronic Pain,All of the above,D,
What would be a contraindication to performing Crown Lengthening?,Having an adequate zone of attached gingiva,Gingival Overgrowth,Pockets extending beyond the Mucogingival Line,Pockets greater than 3mm,C,
Which of the following is an indication for Gingivectomy?,Infrabony Defect,Acutely inflamed tissue,Inadequate zone attached gingiva,None of the above,D,
Healing of a Gingivectomy has the following characteristics:,The site heals by primary intention,Epithelialization usually takes 4-5 weeks,The connective tissue healing occurs prior to epithelialization,Healing is slower than that of a flap procedure,D,
When performing a Gingivectomy which of the following incisions is used?,Inverse Bevel incision,External Bevel incision,Sulcular incision,None of the above,B,
