title,Oral Diagnosis & Oral Medicine Final Exam (Summer 2022),oralmed,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"True or False: Per your reading, the authors suggested that a preoperative BP reading less than 180 mm Hg without angina pectoris or acute congestive heart failure signs and symptoms does not warrant cancelling a dental procedure.",True,False,,,,A,
"True or False: Vital, asymptomatic teeth with periapical radiolucencies must be treating endodontically",True,False,,,,B,
Leukoplakias (other than linea alba and alveolar ridge keratoses) should be biopsied,True,False,,,,A,
True or False: soft tissue papules and nodules in children should be biopsied,True,False,,,,A,
True or False: Burning Mouth Syndrome requires a biopsy for diagnosis,True,False,,,,B,
Burning Mouth Syndrome is most likely:,A peripheral neuropathy,A vitamin deficiency,A hormone imbalance,An inflammatory condition,,A,
Which is true of mucosal melanoma:,Occur most commonly on the tongue,The second most common intraoral malignancy,All melanomas have a BRAF gene mutation,Mucosal melanomas are more aggressive than their cutaneous counterpart,,D,
Why does a blue nevus appear blue?,The Tyndall effect,The Yancoskie effect,The Roth effect,Blue nevi don't appear blue,,A,
What is the most common pigmented lesion of the oral cavity?,Melanotic macule,Melanocytic nevus,Blue nevus,Melanoma,,A,
True or False: Most patients with Behcet syndrome will have gingival ulcerations along with aphthous ulcerations.,True,False,,,,A,
True or False: An aphthous ulcer will exhibit a white halo surrounding the fibropurulent membrane,True,False,,,,B,
"A patient presents with a white plaque at the height of the posterior mandibular alveolar ridge where the patient is edentulous. According to the lecture, what is your treatment of choice?","Monitor, biopsying with changes in symptoms or appearance",Biopsy immediately,Radiation therapy,Extract the remaining teeth,,A,
What is a leukoplakia?,A white plaque,A synonym for lichen planus,A dysplastic lesion,An inflammatory lesion,,A,
When is emesis most common in pregnancy?,Weeks 0-4,Weeks 4-8,The second trimester,The third trimester,,B,
Which of the following medications may cause palatal discoloration?,Minocycline,Acetaminophen,Lidocaine,Trazadone,Gabapentin,A,
True or false: Patients with Burning Mouth Syndrome should be prescribed 1000 mg of gabapentin,True,False,,,,B,
Which of the following oral sensations can be affected in Burning Mouth Syndrome?,Taste,Texture,Pain,All of the options can be altered,,D,
True or False: All expecting mothers should have a prophylaxis (cleaning) during pregnancy,True,False,,,,A,
Which of the following decreases during pregnancy?,Blood volume,Hematocrit,RBC volume,Cardiac output,,B,
Which of the following inflammatory mediators did your reading directly attribute to allergic/pseudoallergic reactions to NSAIDS?,Leukotrienes,Cyclooxegenase,Arachadonic acid,Prostaglandins,,A,
Which antibiotic has the highest odds ratio risk for C. difficile infection?,Clindamycin,Cephalosporin,Penicillin,,,A,
How is methemoglobinemia managed?,Methylene blue,Toludene blue,Acetaminophen blue,Rhapsody in blue,,A,
Which of the following options should be performed if a patient has a grand mal seizure in the chair:,Remove instruments from the mouth,Clear the area arund the patient,Place patient on their side,All of the options should be performed during a grand mal seizure,,D,
Which of the following is a characteristic of a simple partial seizure?,Altered consciousness,Memory loss,Responsive,None of the options are characteristic of simple partial seizures,,C,
"What percentage of strokes is preventable, according to the CDC?",0%,25%,50%,80%,100%,D,
Which of the following is a characteristic of Bell's Palsy,Upper face usually not affected,Limb weakness,Aphasia,Onset within seconds,Difficulty closing the eye on the affected side.,E,
True or false: Hemorrhagic strokes are the most common types of stroke?,True,False,,,,B,
Which of the following is a risk factor for a cerebrovascular accident?,All of the options are risk factors,Obesity,Diabetes mellitus,High cholesterol,Uncontrolled hypertension,A,
"According to the assigned reading, in which of the following scenarios should a patient receive prophylactic antibiotics to prevent infective endocarditis?","If they have mitral valve prolapse (MVP) with regurgitation, a prosthetic heart valve and will be undergoing an invasive dental procedure.","If they have mitral valve prolapse (MVP) with regurgitation and will be having a regional head and neck exam including bitewing radiographs, but not periodontal probing.",If they have mitral valve prolapse (MVP) with regurgitation and will be undergoing any invasive dental procedure.,"If they have mitral valve prolapse (MVP) without regurgitation and will be having a regional head and neck exam including bitewing radiographs, but not periodontal probing.",,A,
Which of the following local anesthetic formulations would be most appropriate at Touro Dental Health for patients taking digitalis?,3% carbocaine,2% lidocaine with 1:50k epinephrine,2% lidocaine with 1:100k epinephrine,1% diphenhydramine,,A,
