title,GDA Quiz 3 (Summer 2020),gda,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is NOT an accessional tooth?,Permanent second molars,Permanent third molars,Permanent canines,None of the answer choice,,C,
Which of the following statements is NOT true regarding enamel?,Enamel is the hardest structure in the body.,Enamel rods are laid down by odontoblasts.,The function of enamel is to resists the forces of mastication.,Enamel is 96% inorganic Hydroxyapatite.,Enamel is permeable to liquids.,B,
Which layer of the tooth is primarily responsible for giving the tooth its crown color?,Enamel,Dentin,Pulp,Cementum,,B,
"Which type of dentin is formed in response to plural stimulation from attrition, abrasion, caries or restorative treatment?",Primary dentin,Secondary dentin,Tertiary dentin,Globular dentin,,C,
Which of the following statements about the pulp of the tooth is TRUE?,The pulp chamber stays the same size throughout life.,Accessory canals are often found as offshoots of the coronal pulp.,"The pulp is sensitive to temperature changes, electrical and chemical stimuli and pressure.",Pulp tissue is often less fibrotic after injury or trauma to a tooth.,,C,
The over-production of cementum results in which of the following?,Enamelomas,Concresence,Denticles,Sclerotic dentin,,B,
A tooth with gemination has two roots.,True,False,,,,B,
Larger than normal teeth as a result of a problem during the bud stage is known as:,Microdontia,Peg lateral,Macrodontia,Hypodontia,Hperdontia,C,
What is the most prominent cell type in the dental pulp?,Odontoblasts,Amelobasts,Cementoblasts,Fibroblasts,,D,
What is the normal eruption time for the mandibular central incisors?,3-4 months,6-8 months,10-12 months,14-16 months,,B,
