title,PCOD II Final Exam (Spring 2017),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following treatment possibilities is/are indications for porcelain veneers?,Modifying the shade of a tooth,Altering the length or width of a tooth,Closing anterior diastemas,a and c only,all of the above,E,
"Reducing the incisal edge of a maxillary anterior tooth (that will be restored with aporcelain veneer) increases the incisal translucency of the restoration. In this case, how muchshould the incisal edge of a maxillary anterior tooth be reduced?",0.5 mm,2.0 mm,3.5 mm,It doesn't really matter as long as the porcelain shade matches the tooth.,,B,
The lingual surface finish line on an anterior tooth that will be restored with a porcelain veneer is a:,chamfer,bevel,chamfer and a bevel,reverse bevel,none of the above,E,
"When preparing an anterior tooth to be restored with a porcelain veneer, it is desirable to have the margin finish line on:",a pre-existing composite restoration.,enamel only,dentin and enamel only,cementum and enamel only,where the margin finish line ends is unimportant,B,
The placement of provisional or temporary restorations over porcelain veneer preparations is an important step in the predictable placement of the veneers because they:,decrease sensitivity.,provide essential diagnostic information.,improve interim esthetics.,can be used to assess the esthetics of the final restoration.,all of the above.,E,
The shade of a cemented porcelain veneer is influenced by:,the porcelain shade itself,the shade of the underlying resin cement,the translucency of the porcelain,the color of the underlying tooth strucutre,all of the above,E,
Which of the following can be limitations or problems of porcelain veneer restorations:,marginal discoloration,debonding of the restoration,wear of any natural teeth when the veneers oppose natural teeth,b and c only,all the above,E,
"When preparing a tooth for a porcelain veneer, if the tooth is lingually inclined (inlingual version) the facial reduction of the preparations should be",the same as normal,less than normal,greater than normal,,,B,
Which of the following are true of porcelain onlay preparations?,The cavosurface margins are always beveled,Internal line angles should be sharp,The occlusal reduction of the working cusp should be 2.0 mm,The buccal and lingual walls of the proximal boxes should be parallel,all of the above,C,
The principle crystalline component of feldspathic porcelain after it is baked is:,tin oxide,leucite,titanium oxide,feldspar,glass,B,
Fatigue failure of an all-ceramic restoration can be due to:,accidentally biting down on a hard olive pit,exceeding the compressive strength of the ceramic when trying-in or cementing the restoration,normal levels of stress in function (chewing) over several years of time,all the above,none of the above,C,
