title,Intro to Clinical Dentistry Final Exam (Spring 2023),icd,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
All of the following procedures requires a start check except for-,MO composite restoration tooth number 19,An Impression for the fabrication of a Nightguard,Intake on a brand new patient,All of these procedures require a start check,,,C,
"When considering how often to you need to take bitewing radiographs on a patient,",It depends on your risk assessment of the patient,It should never exceed more than 2 years from which last bitewings were taken,Is required during recall appointments for patients over the age of 14,May not be necessary considering when the last panoramic radiograph was taken,None of the answer choices,,A,
Bitewing radiographs would be a proper diagnostic tool for the following reasons except:,to determine if interproximal caries is present,to assess periodontal bone height,to assess periapical bone health,all of the above,none of the above,,C,
"Regarding student pairs in TDH, both students should arrive early and are set up and ready to bring their patient in at exactly 8:00",True,False,,,,,A,
At TCDM specialty consults can be requested for the following specialties:,Endodontics,Oral Surgery,Periodontics,Orthodontics,All of the above,,E,
Questions to ask a patient presenting for an emergency include:,Is the pain constant or spontaneous?,Does the pain keep you awake at night?,Is it sensitive to hot or cold?,Is it sensitive to mastication?,All the answer choices,,E,
A patients clinical check-up recall is the same time frame as their periodontal recall,Always,Sometimes,Never,,,,B,
"Patient presents for a MO composite on tooth number 5. The patient was just seen yesterday for an orthodontic referral to assess if the patient is a candidate for general orthodontics The code for the orthodontic procedure has been set to complete in Axium but presents today as a blue code on the patient's chart because it has not yet been checked off by the faculty attending. Also, there is no corresponding note written in the chart Which of the following is true:",since the procedure that is a blue code is a non-invasive code it will be ok to proceed with the MO composite at this visit,since the procedure is from a different department and not related to restorative dentistry it is ok to proceed with the visit,It is necessary to track down the previous provider in the orthodontic clinic to have the documentation completed correctly before proceeding,Consult with the patient about what was done at the previous visit to determine if it is necessary to contact the orthodontic department before proceeding,,,C,
The intra oral examination includes all the following except:,Examination of the labial mucosa,Examination of the Panoramic Xray,Examination of the tongue,Evaluation of the floor of the mouth,Evaluation of the clinically visible oropharynx,,B,
The limit for critical mistakes when passing a formative exam is 3,True,False,,,,,B,
During An oral Pathology consult appointment as a student you should perform all of the following BEFORE calling the oral pathologist over for the exam I. Vitals II. Physical exam of the visible skin III. Update the Medical History IV. Update the Social History V. Develop a Differential diagnosis,"I, II and IV only","I, II, III and IV only","I, II, III and V only","I, II, III, IV, and V","II, III, and V only",,D,
During an oral pathology appointment if a biopsy is required the student should prepare the basic operative cassette.,True,False,,,,,B,
A patient presents for a DO composite on tooth number 15. Which of the following cannot be performed on a patient if you do not have a start check?,Review of medical history,Head and neck exam review,Discussing with patient the details about procedure that will be performed for the day,Review of general consents,Administer local anesthetic,All of these steps require a start check,E,
A patient presents for an MOD amalgam on tooth number 15. You are presenting to the faculty for a start check. Which of the following things are you NOT expected to present?,An updated medical history,An X-ray of tooth number 15,Updated vitals,The treatment plan code that was signed and consented to,All of these are expected,None of these are expected,E,
Perio probing is not considered an invasive procedure,True,False,,,,,B,
"A patient presents for a DO composite on tooth number 3. The patient was seen last week in oral surgery for an extraction of tooth number 2, and the note from the previous student provider has not been approved but was written in the chart. The resulting blue code from another provider will not prevent you from being able to work on the patient at this time.",True,False,,,,,B,
A patient presents for a PFM crown on tooth number 3. Which of the following steps do NOT require a faculty check before moving forward with your treatment?,After administering Anesthetic,After your Ideal Crown Prep,After fabricating temporary crown,After taking an impression,After cementing the temporary crown,All choices require a faculty check,F,
"Statement 1: Once those patients who are likely to have medical emergencies are recognized, the practitioner can prevent most problems from occurring by modifying the manner in which care is delivered Statement 2: The physician consultation is the cornerstone of management of medical emergencies.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,C,
The ABC's of life support stand for:,"Airway, Breathing, and Circulation.","Airway, Baseline, and Circulation","Awareness, Breathing, Carotid","Awareness, Baseline, Circulation",,,A,
"Neck extension, jaw thrust, and chin lift are all appropriate methods of managing a seizure.",True,False,,,,,B,
"Statement 1: At Touro Dental Health, as a primary provider, once you have acknowledged and recognized that an emergency is imminent or occurring, the next step to take is stay with your patient and have your assistant call the emergency response team (ERT) through the emergency line available on all clinic phones. Statement 2: If the patient is still conscious during an imminent or occurring emergency, it is acceptable to leave the patient to get the emergency cart.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,C,
Which of the following are contraindications for administering nitroglycerin to a patient with chest pain?,Systolic blood pressure less than 90mmHg,Heart rate above 80bpm,Heart rate below 60bpm,Diastolic blood pressure above 80,,,A,
Statement 1: Oxygen should not be administered to a patient who is hyperventilating. Statement 2: Tachypnea is the increased elimination of O2.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,C,
"Statement 1: If you suspect a patient has a partial foreign body obstruction during dental treatment and are unable to retrieve the object, a chest radiograph is warranted. Statement 2: A throat screen is only necessary during oral surgical procedures.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,C,
"A 4-year-old patient, who weighs 38 pounds, with a history of asthma is being seen by you for a re-call examination. The patient becomes distressed, begins wheezing, you notice accessory muscle usage and skin retractions. What is the appropriate medication to administer at this time?",Diphenhydramine,"Nebulizer with a spacer, carried by the parent",Aspirin,Nitroglycerin,,,B,
"A 4-year-old patient, who weighs 38 pounds, with a history of asthma is being seen by you for a re-call examination. The patient becomes distressed, begins wheezing, you notice accessory muscle usage and skin retractions. The administered emergency medication has no effect, and the mother tells you the last time this happened, their child was in bronchospasm and had to be transported to the emergency department. You immediately call 911. What is the appropriate medication to administer at this time while you await EMS response?",epinephrine 0.15 mg,epinephrine 0.30 mg,diphenhydramine 50mg,diphenhydramine 25mg,,,A,
"If surgical treatment is indicated, the patient has the option of no treatment.",True,False,,,,,A,
"When talking to a patient, describing the tooth to be extracted by the tooth number may confuse the patient.",True,False,,,,,A,
Which of the following is an issue that must be covered in the consent discussion?,Procedure,Risks.,Benefits,Alternatives,all answers should be covered in the consent discussion,,E,
Signs of Syncope include all the following except:,Dizziness,Ringing in ears,Hypotensive,Feeling cold,Tachycardia,,D,
The most important item in a dental office that may be used during an emergency is epinephrine.,True,False,,,,,B,
Statement 1: Dental anxiety can prevent patients from seeking dental care. Statement 2: Lack of financial means of affording dental care is an example of a social determinant of health.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,A,
"The term “special needs” refers to a broad group including those whose physical, medical, developmental or cognitive conditions require special consideration when receiving dental treatment.",True,False,,,,,A,
Statement 1: Oral risk factors are only identified through a clinical exam. Statement 2: Barriers to care can be oral risk factors.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,D,
"Statement 1: Non-compliance is a risk factor for dental disease. Statement 2: Dental phobia is a persistent and irrational fear of dentists or of dental treatment, resulting in the avoidance of dental care or marked distress or anxiety during treatment.",Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,A,
"Anxiety can exacerbate other medical conditions, such as seizure disorders or hypertension.",True,False,,,,,A,
Statement 1: Airway evaluation and ASA classification have no bearing on the selection of appropriate pharmacologic intervention with sedation. Statement 2: ASA classification was developed by the American Society of Anesthesiologists and is primarily a method of assessing a patient's pre-anesthesia medical comorbidities.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,"Statement 1 is true, and Statement 2 is false.","Statement 1 is false, and Statement 2 is true.",,,D,
"Statement 1: During the comprehensive exam, dental findings must be charted in the odontogram. Statement 2: All radiographs taken must have a radiographric interpretation.",Both statements are true.,Both statements are false.,"First statement is true, the second is false.","First statement is false, second statement is true.",,,A,
When applying adhesive to an impression tray: I. Its OK to dip the brush into the stock bottle if I use a new brush. II. One must first pour off adhesive into a cup or dappen dish III. One must apply the adhesive from the cup or dappen dish using a new brush.,"I, II, and III",I and III,II and III,I only,,,C,
"If an occurrence such as an accident, medical emergency or an occupational exposure should occur: I. An occurrence form must be completed. II. If you include the incident in your clinical note an occurrence form does not need to be completed, III. An occurrence form can be obtained from the Director of Clinical Operations, Dr. Lina. IV. An occurrence form can be obtained from the CPL.",I and III,II and III,I and IV,II and IV,"II, III, IV",,A,
"Decontamination is the physical or chemical process that renders an inanimate object, that may be contaminated with harmful microbial life, safe for further handling. The objective of decontamination is to protect medical devices from deformation.",Both statements are true.,Both statements are false.,"First statement is true, the second is false.","First statement is false, second statement is true.",,,C,
"The goal of proper dentist and dental assistant interactions is to: I. Allow for patient comfort. II. Allow for quality care. III. Work efficiently, allowing for increased time for treatment. IV. Maximize the stress and fatigue of the clinical team.",I and II,"I, II, and III",I and III,"I, II, III, and IV",,,A,
Statement 1: The transfer of dental materials from the assistant to the operator is done in the transfer zone. Statement 2: The transfer zone is behind the patient's head.,Both statements are true.,Both statements are false.,"First statement is true, the second is false.","First statement is false, second statement is true.",,,C,
Paint is the computer program do you use to edit photos before you upload them to XDR.,True,False,,,,,A,
Which articles of PPE (Personal Protective Equipment) are required to be worn in the clinic? I. Face shield II. Gloves III. N95 mask IV. Protective eye wear V. Gown,"I, II, IV, and V","I, II, III, V","II, III, IV, and V","I, II, III, IV",,,C,
"All of the following drugs are necessary in a dentist's basic emergency cart, except:",Epinephrine,Albuterol,Aspirin,Naloxone,Neosporin,,E,
"You are an associate dentist in a private practice, you have a patient scheduled for single crown delivery of tooth #15. You forget to place a throat screen to protect the airway and when trying in the crown, it falls into the patient's posterior pharynx. The patient sits up and begins violently coughing. The patient stops coughing and tells you they believe they swallowed the restoration. The patient is in no distress, is able to breath normally and has no complaints or discomfort upon swallowing but does not want to continue with completing today's scheduled treatment. What is the proper standard of care for this patient?",Temporize tooth #15 and send patient to the nearest emergency department for radiographic imaging of the chest and abdomen.,Temporize tooth #15 and send the patient home.,Begin the Heimlich maneuver,Begin Basic Life Support,,,A,
"Regarding taking clinical photos, changing the ""F"" stop to different settings allows for adjusting the amount of light needed for each photo.",True,False,,,,,A,
Select the option that produces the most deleterious effects for patients if they aspirate gastric contents.,The physical obstruction from the particulate matter in the gastric contents.,The high acidity of the gastric juices causing respiratory distress syndrome.,The increased risk that they will suffer from nausea and vomiting into the post-operative period.,None of the above,All of the above,,B,
Which of the following medication(s) increase the risk of your patient experiencing orthostatic hypotension after being in the supine or semi-supine position for a prolonged period of time?,Hydrochlorothiazide,Metoprolol,Narcotics,All of the above,None of the above,,D,
