title,Oral Radiology Midterm Exam (Fall 2020),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
An __________ is the subatomic particle with a negative charge.,Proton,Neutron,Positron,Electron,D,
"X-rays are created inside the x-ray machine when electrons travel from the _______ to the _______, where the tungsten target is located.",Cathode; anode,Anode; cathode,Focusing cup; transformer,Current selector; power supply,A,
The type of radiation we utilize in dentistry is:,Particulate radiation,Electromagnetic radiation,Infrared radiation,Alpha particle radiation,B,
"During X-ray generation, approximately how much of the energy is released in the form of heat?",Less than 20%,Between 20% and 50%,Between 50% and 90%,Greater than 90%,D,
Which of the following describes a type of interaction where an x-ray photon is absorbed and then re-released with the same energy at a new angle?,Coherent scatter,Photoelectric absorption,Compton scatter,Characteristic radiation,A,
The high voltage transformer is used to create a buildup of _______ at the cathode. These are then shot at the anode to produce _______.,X-rays; radiographs,X-rays; electrons,Electrons; x-rays,Electrons; radiographs,C,
Which of the following does NOT describe a type of interaction of electrons with the tungsten target?,Photoelectric absorption,Heat generation,Bremsstrahlung (breaking) radiation,Characteristic radiation,A,
"If the exposure time of the patient to x-rays is doubled, the amount of radiation received by the patient is:",Increased by a factor of 4,Decreased by a factor of 4,Increased by a factor of 2,Decreased by a factor of 2,C,
"As brightness increases, the bright shades of grey become ________ and the dark shades of grey become ________.",Brighter; darker,Darker; brighter,Brighter; brighter,Darker; darker,C,
Contrast resolution is:,The brightness after adding color to the radiograph,Capacity to distinguish different densities in the image,Capacity to distinguish fine detail,The file size of a digital radiograph in megabytes,B,
Filtration:,Removes x-rays from all energy levels equally,Preferentially removes high energy level x-rays,Enhances the number of x-rays emitted,Preferentially removes low energy level x-rays,D,
"To maximize image sharpness and minimize the amount of magnification, the distance between the object and image receptor should be:",As large as possible,As small as possible,,,B,
"If the x-ray source is aimed straight at the image receptor, and the object being imaged is at an angle (not parallel to the image receptor), you should expect:",Foreshortening,Elongation,Mirrored image,Upside-down image,A,
"With film, as the exposure time increase, the resulting radiograph:",Becomes brighter,Becomes darker,Becomes more noisy,Becomes more quiet,B,
"Which key component of film, sensitive to both x-rays and visible light, is responsible for storing the latent image?",Fixer solution,Lead foil,Silver halide,Developer solution,C,
Which of the following statements is TRUE regarding digital images?,Most digital images are processed or enhanced in some way before you even see the image.,It requires more radiation to work with digital systems than with film-based systems.,Dentists are gradually moving away from digital systems to film-based systems,Digital image processing requires expensive chemicals.,A,
