title,Intro to Clinical Dentistry Exam 3 (Spring 2020),icd,exam3
question,option_a,option_b,option_c,option_d,option_e,correct,image
What is the most important factor in the management of medical emergencies?,Prevention,Preparation,Emergency Planning,Emergency Medications and Equipment,,A,
Which of the following is (are) not true regarding vasovagal syncope:,It is the vagally mediated bradycardia that eventually leads to syncope,You will see an increase in blood pressure due to blood pooling to the periphery,It causes an increase in peripheral vascular resistance,None of these choices are true,All of these choices are true,D,
Patient’s with COPD have which of the following:,A low arterial CO2 and a high level of blood oxygen,A high arterial CO2 and a high level of blood oxygen,A low arterial CO2 and a low level of blood oxygen,COPD does not have an effect on arterial CO2,None of these are correct,E,
Placing a patient on a table with their head below their feet is called the______________ Position?,Trendelenberg,Reverse Trendelenberg,Supine,Prone,,A,
Information that must be included in the RX for medication must include:,Patient ID,Patient Insurance information,Patient Allergy History,“Patient ID” and “Patient Allergy History”,None of these choices,A,
The difference between prescribing Amoxicillin for a dental infection and prescribing Amoxicillin for Prophylaxis Include,Dosage,Length of administration,Frequency of use,only “Dosage” and “Length of administration”,All of these choices,E,
Accurate border molding is not necessary because it,has little effect on the stability of the denture,has little effect on the retention of the denture,has little effect on the support of the denture,has little effect on the esthetic of the denture,none of these choices are correct,E,
There are multiple ways to guide an implant drill using a surgical stent. At TCDM we will always use a _________ in a surgical stent to guide the surgeon,Pilot guide sleeve,Fully Guided sleeve,No sleeve,None of these choices,,B,
When fabricating a surgical stent for implants that are in both sides of the same arch it is preferable to:,fabricate two separate stents for a better fit,make it a single stent for added strength,add windows to add flexibility,add windows to strengthen the stent,,A,
An emergency kit is an important part of your emergency planning. It is also very important,for that kit to be kept current with unexpired drugs,to get training on the proper use of the kit,to get a kit that has every drug possible to treat all emergencies,“for that kit to be kept current with unexpired drugs” and “to get training on the proper use of the kit”,All these choices,D,
The one item that is most important for every dental office to have ready for an emergency is,Oxygen,adrenaline,Benadryl,Naloxone,,A,
"A patient who is very anxious starts to hyperventilate in your chair, which action is not initially indicated for this situation",administer a sedative,have patient breath into a paper bag,administer oxygen,sit patient in an semi upright position,,C,
A patient that exhibits a sudden state of altered consciousness may be experiencing,diabetic crisis,cerebral event,local anesthesia toxicity,All of these choices,None of these choices,D,
A proper custom tray for a removable denture must,extend to the mucco-buccal fold for proper coverage,must be 2mm short of the mucco-buccal fold,must be only 1 mm short of the mucco-buccal fold,None of these choices,,B,
The primary implant system used at Touro Dental Health is,Nobel Biocare,MIS,Straumann,Biocon,,B,
Implant planning using a CBCT and the trios software improves safety and predictability of treatment by,allowing you to adjust the implant for proper angulation and placement,showing the safety margin available for the chosen implant,Independently setting up where the implant shouid be placed,choices “allowing you to adjust the implant for proper angulation and placement” and “showing the safety margin available for the chosen implant”,All of the above,D,
Your patient is experiencing chest pain and has a history of taking nitroglycerin to relieve this pain. They have brought their nitroglycerin to their appointment.  Your patients current vital signs are BP: 140/100; HR: 90; SpO2: 96%.  Would you allow your patient to take one of their nitroglycerin tablets?,Yes,No,,,,A,
The abbreviation PRN on a RX stands for,take by mouth,as needed,every night,once a week,,B,
The dosage of amoxicillin for antibiotic prophylaxis,2000 mg in a single dose,500 mg 4 times a day,1000 mg in two doses,,,A,
The main reason a complete immediate denture is chosen as a treatment,is because of patient preference,is to delay treatment,is to reduce the financial costs,None of these choices,,A,
The advantage(s) of using greenstick impression compound to border mold a custom tray is that it,can be added to itself easily,has a high melting point,cannot be used to border mold a section at a time,is not pliable when warmed,,A,
Patient information and data that needs to be collected for implant planning include,approved Comprehensive treatment plan,Trios scans,CBCT,All except “approved Comprehensive treatment plan”,All of the choices,E,
NYS law requires electronic prescribing and the use of the I-stop system for opioid prescriptions.,true,false,,,,A,
Your patient who has a history of asthma starts to have respiratory difficulty. The first course of action should be to,call for the emergency response,administer oxygen,have the patient self administer their inhalation medication,administer Nitroglycerin,,B,
Another term for a treatment RPD,Flipper,Provisional,Interim,transitional,,B,
Post op instruction for the patient who just had a Immediate Complete Denture Inserted include,remove denture after wearing for 8 hours,you might see some minor bleeding here and there do not be concerned unless the bleeding increases and fails to stop then call us,you can eat anything you want,None of these choices,,B,
Post op visits for an immediate complete denture should be scheduled,1 day after insertion then 1 week later then 1 month later,1 day after insertion then 1 month later then 1 year later,1 week after insertion then 1 month later then 1 year later,1 month after insertion then 6 month later then 1 year later,,A,
