title,Oral Pathology Exam 2 (Spring 2019),oralpath,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
What is the most commonly diagnosed salivary gland tumor?,Pleomorphic adenoma,Oncocytoma,Warthin tumor,Mucoepidermoid carcinoma,Carcinoma ex-pleomorphic adenoma,,A,images/oralpath-exam2-spring-2019/fig1.jpeg
"See attached image. Intro: A female of 65-years presents for comprehensive dental care. HPI: Primary care provider instructed patient to see a dentist for routine care. MedHx: Papillary thyroid carcinoma managed by thyroidectomy and radioactive iodine ablation 17-years prior, subsequent hypothyroidism. Meds: Levothyroxine. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/78. HR: 82/min. Resp: 15/min. Task: Comprise a three-entity differential diagnosis: Correct terms: _______",MUCOCELE|FIBROMA|LIPOMA|SALIVARY GLAND NEOPLASIA|SCHWANNOMA|NEUROMA,MUCOCELE|FIBROMA|LIPOMA|SALIVARY GLAND NEOPLASIA|SCHWANNOMA|NEUROMA,MUCOCELE|FIBROMA|LIPOMA|SALIVARY GLAND NEOPLASIA|SCHWANNOMA|NEUROMA,,,,FILL,
"See attached image. Intro: A female of 65-years presents for comprehensive dental care. HPI: Primary care provider instructed patient to see a dentist for routine care. MedHx: Papillary thyroid carcinoma managed by thyroidectomy and radioactive iodine ablation 17-years prior, subsequent hypothyroidism. Meds: Levothyroxine. Allergies: Denies. SocHx: Denies. PhysEx: BP: 110/78. HR: 82/min. Resp: 15/min. Question: What is the most appropriate descriptive term for the abnormality on her lower lip? Correct Terms: _______",PAPULE|NODULE,,,,,,FILL,images/oralpath-exam2-spring-2019/fig3.jpeg
See attached image. Intro: A female of 42-years presents for partial denture fabrication. HPI: Abnormality identified during recent exam. Duration unknown. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. PhysEx: BP: 116/72. HR: 78/min. Resp: 16/min. Task: Comprise a three-entity differential diagnosis: Correct Terms: ______ 1 2,SALIVARY GLAND NEOPLASIA|LYMPHOMA,SALIVARY GLAND NEOPLASIA|LYMPHOMA,SALIVARY GLAND NEOPLASIA|LYMPHOMA,,,,FILL,
See attached image. Intro: A female of 42-years presents for partial denture fabrication. HPI: Abnormality identified during recent exam. Duration unknown. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies. PhysEx: BP: 116/72. HR: 78/min. Resp: 16/min. Question: What is the most appropriate descriptive term for the abnormality on her palate? Correct Term: _____,MASS,,,,,,FILL,
See attached image. What is the diagnosis?_____,PERIPHERAL GIANT CELL GRANULOMA,,,,,,FILL,
See attached image. What is the diagnosis?____,LIPOMA,,,,,,FILL,
"All of the following are features of rhabdomyosarcoma, EXCEPT one. Which one is the EXCEPTION?",Primarily occurs in the pediatric population,The head and neck is the most frequent site,Demonstrates skeletal muscle differentiation,Most common soft tissue sarcoma of childhood and adolescence,Always presents with pain,,E,
What is the most common site in the head and neck for angiosarcoma to occur?,Scalp,Tongue,Gingiva,Vermilion,External auditory meatus,,A,
Oral soft tissue sarcomas are a relatively common diagnosis encountered in dental practice.,True,False,,,,,B,
