title,DAO Quiz 4 (Summer 2017),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
The anterior tooth with the largest dimension mesiodistally is,maxillary lateral incisor,maxillary central incisor,mandibular canine,mandibular central incisor,B,
The anterior tooth with longest root is,Maxillary canine,Mandibular canine,Maxillary central incisor,Mandibular central,A,
The anterior tooth with the longest crown is,Mandibular canine,Maxillary canine,Mandibular lateral incisor,Mandibular central incisor,A,
The tooth with the deepest lingual fossa is,Maxillary lateral incisor,Maxillary central incisor,Mandibular central incisor,Mandibular lateral incisor,A,
The defining feature of a mandibular lateral incisor is,distolingual twist,mesiolingual twist,deep lingual fossa,lingual developmental groove,A,
The anterior tooth most likely to have two roots:,maxillary central incisor,mandibular canine,maxillary canine,maxillary lateral incisor,B,
Which of the following teeth has a variant in form known as being “peg-shaped”?,Maxillary lateral incisor,Mandibular central incisor,Maxillary central incisor,Mandibular canine,A,
The distal contact area of the maxillary canine is where on the crown?,centered in the middle 1/3,incisal third,junction of incisal and middle 1/3,,A,
Eruption of the maxillary canines begins at about what age?,6-7 years,9-10 years,11-12 years,14 years,C,
The mesial contact on the mandibular canine is:,incisal 1/3,middle 1/3,junction of middle and incisal 1/3,,A,
Maxillary canines most developed lobe is,middle lobe,lingual lobe,mesial lobe,distal lobe,A,
Viewing from the facial aspect the maxillary canine is what shape?,pentagon,rectangular,oval,elongated oval,A,
