title,Pathomedicine Exam 4 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which ingredient in local anesthetic preparations for dentistry are likely to precipitate a type I hypersensitivity?,Sulfite preservatives,Epinephrine,Mepivacaine,Lidocaine,Articaine,,,,A,
A patient with daily asthmatic symptoms and an FEV1 of 70% would most likely be categorized as having:,Intermittent asthma,Mild persistent asthma,Moderate persistent asthma,Severe persistent asthma,,,,,C,
"All of the following are clinical findings that may be suggestive of theophylline toxicity, EXCEPT one. Which one is the EXCEPTION?",Weight gain,Nausea,Vomiting,Cardiac arrhythmias,Thirst,Insomnia,,,A,
The term “pink puffer” is generally used to describe a patient with:,Chronic bronchitis,Asthma,Tuberculosis,Emphysema,Bronchiectasis,,,,D,
Which of the following represent possible clinical findings of a lung malignancy?,Esophageal obstruction,Superior vena cava syndrome,Hoarseness,Diaphragmatic paralysis,All of the above,,,,E,
A male patient of 43-years received the Bacillus Calmette-Guerin vaccine several years prior. It is unclear whether he has been exposed to mycobacterium tuberculosis or not. He is required by his new employer to have tuberculin skin testing with purified protein derivative. His skin test is read at 48-hours and shows an area of induration and erythema measuring 11.0 mm. This result may represent a:,True positive,False positive,True negative,False negative,A and B,B and C,,,E,
A patient develops lung abscess from aspiration without developing pneumonia. What is the most common location for this to occur?,Right lower lobe,Right middle lobe,Right upper lobe,Left upper lobe,Left lower lobe,,,,A,
"Clinical findings in acute bacterial pneumonias include all of the following, EXCEPT one. Which one is the EXCEPTION?",High fever,Shaking chills,Pleuritic chest pain,Productive cough,CBC demonstrating a right shift (mature WBCs),,,,E,
Histopathologic findings (microscopic review) in biopsied tissue from kidneys damaged by malignant hypertension would include:,A band-like infiltrate of lymphocytes,Hemorrhage and multinucleated giant cells,Hyperplasic arteriosclerosis,Aggregates of epithelioid histiocytes with a periphery of lymphocytes,Caseous necrosis,,,,C,
"All of the following are known causes of hydronephrosis, EXCEPT one. Which one is the EXCEPTION?",Calculi,Benign prostatic hyperplasia,Tumors (neoplasia),Inflammation,Bladder paralysis,Pregnancy,Administration of ibuprofen,,G,
Which organism is most commonly associated with magnesium ammonium phosphate (struvite) urolithiasis?,Proteus vulgaris,Mycoplasma pneumonia,Staphylococcus aureus,Epstein-Barr virus,Streptococcus pyogenes,,,,A,
A male of 4-years develops generalized edema with marked periorbital involvement. His plasma albumin level is 2.5 g/dL. He is administered prednisone and rapid improvement is observed. What is the most likely diagnosis?,Minimal change disease,Membranous nephropathy,Acute post-infectious (post-streptococcal) glomerulonephritis,IgA nephropathy,End-stage renal disease (ESRD),,,,A,
"All of the following represent secondary glomerular disease, EXCEPT one. Which one is the EXCEPTION?",Systemic lupus erythematosus,Hypertension,Diabetes mellitus (DM),Membranous nephropathy,,,,,D,
Which of the following are clinical findings associated with adult polycystic kidney disease?,Flank pain,Intermittent gross hematuria,Hypertension,Urinary tract infections,All the above,,,,E,
A central giant cell granuloma that is identified in a patient with end-stage renal disease (ESRD) would be classified as (a):,Miliary tuberculosis,Brown tumor,Pot's disease,Scrofula,Ghon complex,,,,B,
Which drug reverses the effects of heparin?,Protamine sulfate,Acyclovir,Erythropoietin,Fluconazole,Ibuprofen,,,,A,
You are working in the Department of Dental Medicine at a regional hospital. A patient with end-stage renal disease on hemodialysis has an odontogenic infection resulting from a gross carious lesion on tooth #30. Tooth #30 is non-restorable. Extraction of tooth #30 is treatment planned. Which of the following screening tests for mitigating the risk the of hemorrhage would be indicated for this patient prior to beginning the extraction?,Bleeding time,aPTT,INR,Platelet count (as part of the CBC),A and B,B and C,B and D,A and C,G,
Statement 1: Low albumin levels may enhance drug effects. Statement 2: Larger medication dose levels may be required for patients with fluid retention.,Both statements are true,Both statements are false,"The first statement is true, the second statement is false","The first statement is false, the second statement is true",,,,,A,
"All of the following drugs are nephrotoxic and should be avoided in patients with end-stage renal disease (ESRD), EXCEPT one. Which one is the EXCEPTION?",Acetaminophen,Acyclovir,Aminoglycosides,Aspirin,Tetracyclines,,,,A,
The organism most commonly responsible for infections at the site of access for hemodialysis is:,Candida albicans,Hepatitis B virus,Staphylococcus aureus,Cytomegalovirus,Streptococcus pyogenes,,,,C,
Which of the following would represent inappropriate medical management of stage 2 chronic kidney disease?,Low protein diet,Limit intake of sodium,Limit intake of fluid,Limit intake of potassium,Preparations for renal transplant,,,,E,
The best measurement of overall renal function is:,The glomerular filtration rate (GFR),The blood urea nitrogen (BUN),Creatinine clearance,Serum creatinine,Complete blood cell count,,,,A,
