title,DAO Quiz 3 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
For the upper canine:,The lingual height of contour is at the cingulum,The facial height of contour is in the cervical third,The cusp tip is facial to the center of the crown faciolingually,All of the above,,D,
From a facial view of the maxillary canine:,The mesial slope of the cusp is longer than the distal slope,The distal slope is longer than the mesial slope,The cusp is centered mesiodistally,,,B,
"From an incisal view of tooth #6, the cingulum is located?",In the center of the crown,Mesial to the center of the crown,Distal to the center of the crown,,,A,
How many elevations are there on the lingual surface of the maxillary canine?,1,2,3,4,5,E,
How soon after eruption of the maxillary canine is the root completed?,1 year,2 years,3 years,4 years,,C,
"In general, how do the eruption schedules of permanent mandibular and maxillary compare?",Mandibular teeth erupt earlier,Maxillary teeth erupt earlier,They erupt simultaneously,,,A,
When does the mandibular canine erupt?,7-8 years,8-9 years,9-10 years,,,C,
"When wear occurs on the upper and lower canines,",The cusp tip of both teeth move mesially,The cusp tip of both teeth move distally,The cusp tip of the upper moves mesially and the lower moves distally,The cusp tip of the upper moves distally and the lower moves mesially,,C,
The most common variation of the root form of a lower canine is,Mesial and distal root depressions,Distal root depression,Bifurcation of the root facial and lingual,Bifurcation of the root mesial and distal,,C,
"When comparing an upper and lower canine, the mandibular canine:",Longer than the maxillary canine (root and crown),The crown is shorter,"Has a taller crown than the upper, (inciso cervically)",,,C,
