title,Orthodontics Final Exam (Spring 2023),ortho,final
question,option_a,option_b,option_c,option_d,correct,image
Which best describes the Angle Classification?,Class 1,Class 2,Class 3,Class 2 sub Right,D,images/ortho-final-spring-2023/fig1.jpg
The overbite is best described as:,Openbite,Shallow,Moderate,Deep,C,images/ortho-final-spring-2023/fig2.jpg
"The overjet, at 3mm, is considered:",Normal,Moderate,Severe,Negative,A,images/ortho-final-spring-2023/fig3.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,C,images/ortho-final-spring-2023/fig4.jpg
E-line suggests that facial balance is considered:,Full for Caucasian,Balanced for Caucasian,Flat for Caucasian,E-line is not used for facial balance considerations,B,images/ortho-final-spring-2023/fig5.jpg
Which of the following best describes alignment of the teeth?,No crowding,Mild crowding,Severe crowding,Moderate Spacing,B,images/ortho-final-spring-2023/fig6.jpg
Which would NOT be a good protocol for retention in this case:,Upper and lower Hawley retainers,Upper and lower essix retainers,Upper and lower fixed wire retainers,Lower retention alone,D,images/ortho-final-spring-2023/fig7.jpg
The lower midline discrepancy in this case is most likely caused by?,Incisor Inclination,Differential spacing,Crossbite,Lower crowding,C,images/ortho-final-spring-2023/fig8.jpg
The treatment plan in this case will most likely start with:,Palate expansion,Braces and use of e-space,Braces and IPR,Reverse headgear,A,images/ortho-final-spring-2023/fig9.jpg
Crowding would NOT be treated with:,Expansion,Extraction of bicuspids,IPR,Use of leeway space,D,images/ortho-final-spring-2023/fig10.jpg
Refer to PDF for this case. Which BEST describes the Angle classification?,Class III,Class II subdivision right,Class I,Class II division 2,C,images/ortho-final-spring-2023/fig11.jpg
Refer to PDF for this case. The overjet at 3mm in this case is considered:,normal,Moderate,Severe,Negative,A,images/ortho-final-spring-2023/fig12.jpg
Refer to PDF for this case. The overbite is considered:,Open,Moderate,Shallow,Deep,B,images/ortho-final-spring-2023/fig13.jpg
Refer to PDF for this case. What best describes the transverse occlusion?,No crossbite,Right side posterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-final-spring-2023/fig14.jpg
Refer to PDF for this case. The upper left canine is:,Crowded and simply unerupted,missing,Crowded and impacted,Transposed,C,images/ortho-final-spring-2023/fig15.jpg
Refer to PDF for this case. Which of the following best describes lower arch alignment?,no crowding,moderate crowding,severe crowding,moderated spacing,A,images/ortho-final-spring-2023/fig16.jpg
Refer to PDF for this case. The crowding in the maxilla is considered:,No crowding,Mild,Moderate,Severe,D,images/ortho-final-spring-2023/fig17.jpg
Refer to PDF for this case. The best approach to deal with the crowding and achieve a balanced occlusion is by:,Extraction of four premolars,Extraction of three premolars and canine exposure,IPR,Extraction of upper premolars only and upper left canine exposure,D,images/ortho-final-spring-2023/fig18.jpg
Which best describes the Angle Classification?,Class 1,Class 2 subdivision right,Class 3,Class 2 Division 2,A,images/ortho-final-spring-2023/fig19.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-final-spring-2023/fig20.jpg
"The overjet, at 3 mm, is considered:",Normal,Moderate,Severe,Negative,A,images/ortho-final-spring-2023/fig21.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Right side posterior crossbite only,A,images/ortho-final-spring-2023/fig22.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Severe crowding,Moderate spacing,A,images/ortho-final-spring-2023/fig23.jpg
E-line measurement shows facial balance to be:,Normal for Caucasian,Full for Caucasian,Flat for Caucasian,Normal for African American,C,images/ortho-final-spring-2023/fig24.jpg
Facial balance in this case is most affected by which of the following:,History of bicuspid extraction,Incisor inclination,Crowding,Angle classification,A,images/ortho-final-spring-2023/fig25.jpg
Which best describes the Angle Classification?,Class 1,Class 2 subdivision right,Class 3,Class 2 Division 2,B,images/ortho-final-spring-2023/fig26.jpg
The overbite is considered:,Openbite,Shallow,Moderate,Very Deep,C,images/ortho-final-spring-2023/fig27.jpg
"The overjet, at 5 mm is considered:",Normal,Moderate,Severe,Negative,B,images/ortho-final-spring-2023/fig28.jpg
What best describes the transverse occlusion?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,A,images/ortho-final-spring-2023/fig29.jpg
Which of the following is responsible for the midline shift in this case?,Different classifications of occlusion in the same case,Missing teeth,Crowding,Differential spacing,A,images/ortho-final-spring-2023/fig30.jpg
Which of the following best describes alignment of the teeth?,No crowding,Moderate crowding,Has leeway space available,Moderate spacing,A,images/ortho-final-spring-2023/fig31.jpg
"During Stage 1 of orthodontic treatment, which of the following is accomplished:",Levelling of the Occlusal Plane,Space closure,Class 2 or Class 3 correction,Finishing details,A,
"During Stage 2 of orthodontic treatment, which of the following is accomplished:",Elimination of rotations,Levelling of the occlusal plane,Class 2 or Class 3 correction,Finishing details,C,
"During Stage 3 of orthodontic treatment, which of the following is accomplished:",Levelling of the Occlusal Plane,Space closure,Class 2 or Class 3 correction,Finishing details,D,
"Using the Palmer system, transposition of a maxillary canine would present as:","7,6,5,4,3,2,1","7,6,5,3,4,2,1","7,6,4,5,3,2,1","7,6,3,5,4,2,1",B,
Which of the following is NOT a good approach to maintain an implant site for a missing maxillary lateral incisor?,Maryland bridge,Fixed wires adjacent to the implant site,Zirconia bridge,Any removable appliance such as a flipper,D,
Which of the following is TRUE in a missing maxillary lateral incisor case?,Is a very rare occurence,Always presents with missing bicuspids,Requires careful implant site preparation at gingival margin and root apices,Should never be replaced by canine substitution,C,
Midline discrepancies can occur from:,Subdivision cases,Missing teeth,crowding,All of the above,D,
Which of the following does NOT typically result in a midline shift?,Differential spacing,Unilateral posterior crossbite,Bilateral posterior crossbite,Missing lower incisor,C,
Which is TRUE about a fixed lingual retainer?,Never needs to be contoured,Adhesive is placed into the contact areas,Is the same as a Hawley retainer,Is typically made of titanium or gold chain,D,
Which is TRUE of anterior crossbite:,Can cause lower incisors to move labially off the bone,Does not need to be treated early,Never involves multiple teeth,Is rarely seen in class 3 cases,A,
Which best describes the Angle Classification?,Class 1,Class 2 subdivision right,Class 3 on the right,Class 2 Division 2,C,images/ortho-final-spring-2023/fig42.jpg
The overbite is considered:,Normal,Shallow,Moderate,Very Deep,B,images/ortho-final-spring-2023/fig43.jpg
The overjet is considered:,Normal,Moderate,Severe,Negative,D,images/ortho-final-spring-2023/fig44.jpg
What best describes the transverse occlusion?,No crossbite,A few anterior teeth are in crossbite,Bilateral posterior crossbite without a midline shift,Right side posterior crossbite with midline shifted to the side of the crossbite,B,images/ortho-final-spring-2023/fig45.jpg
Which of the following is responsible for the midline shift in this case?,Different classifications of occlusion in the same case,Missing teeth,Crowding,Differential spacing,A,images/ortho-final-spring-2023/fig46.jpg
Which of the following best describes alignment of the teeth?,Mild crowding,Moderate crowding,Has leeway space available,Moderate spacing,A,images/ortho-final-spring-2023/fig47.jpg
Which of the following would NOT be a good treatment plan option in this case?,Orthognathic surgery,Proclination of lower incisors without surgery,Retroclination of lower incisors without surgery,Extraction of a lower bicuspid on the right,B,images/ortho-final-spring-2023/fig48.jpg
"In this case, “meet to eat” refers to:","Proclination of upper incisors, retroclination of lower incisors","Retroclination of upper incisors, Proclination of lower incisors",Retroclination of both upper and lower incisors,Proclination of both upper and lower incisors,A,images/ortho-final-spring-2023/fig49.jpg
The patient CAN bite edge to edge. One would describe him as having,True class 3,Pseudo class 3,Skeletal problem instead of a dental problem,No CO/CR shift forward,B,images/ortho-final-spring-2023/fig50.jpg
