title,Fixed Prosthodontics Quiz 8 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,correct,image
Imbibition refers to the loss of water after an alginate impression has been taken and not poured immediately:,True,False,,,B,
When an impression material is able to change it's viscosity during it's use this characteristic is referred to as:,Bivalent,Ambidextrous,Thixotropic,none of the above,C,
The mesiolingual incline of tooth # 11 occludes with the Distobuccal incline of tooth # 22:,True,False,,,A,
The following are flexible impression materials:,Compound,Plaster,ZOE,None of the above,D,
A bullet shaped pontic is considered hygienic and kind to the tissues:,True,False,,,A,
The maxillary buccal cusps and the mandibular lingual cusps are supporting cusps:,True,False,,,B,
"When measuring the contact angle of a liquid, the higher the better the wetting:",True,False,,,B,
The Curve of Wilson allows for the working cusps of the maxillary teeth to function with the lower occlusal scheme without interference:,True,False,,,A,
We measure __________ as “strain in compression”:,Flexibility,Viscosity,Tensile Strength,None of the above,A,
The distobuccal cusp of tooth #18 occludes with the central fossa of tooth # 15:,True,False,,,A,
