title,Orthodontics Midterm Exam (Spring 2021),ortho,midterm
question,option_a,option_b,option_c,option_d,correct,image
"In cephalometric analysis, The B in the SNB angle refers to:",B point on the maxilla,B point on the mandible,B point on the forehead,B point in the cranial base,B,
Which of the following best represents the value of extra-oral and intra-oral photos as part of orthodontic records?,Define starting occlusal relationship,Define facial balance,Allow evaluation of treatment progress,All of the answers,D,
Panoramic x-rays do not provide information on which of the following?,Direction of facial growth,Root position and length,Eruption during the mixed dentition,The presence of missing teeth,A,
What might one expect to see in a hyperdivergent individual?,Very deep bite,Anterior open bite,Short lower face,A line tangent to the mandibular plane lies below the base of the cranium,B,
A high angle grower is characterized by what directions of growth,"More downward, less forward","Less downward, more forward",Neither downward nor forward,Upward and backward,A,
What might one expect to see in a hypodivergent individual?,Short lower face height,long lower face height,Equal upper and lower face heights,A line tangent to the mandibular plane lies within the base of the cranium,A,
E-space refers to:,a line drawn from the nose to the chin,a way to determine facial balance,Space that becomes available when deciduous second molars exfoliate,Crowding in adults,C,
The main growth site in the mandible is:,Mandibular suture,Symphyseal suture,ramus suture,Condyle,D,
Which is NOT true of overbite?,Is a vertical measurement,Represents the vertical degree of overlap of the upper and lower incisors,Is commonly confused with overjet by the public,Is considered normal at 100 percent.,D,
What of the following is NOT true of overjet?,Esthetics often promote desire for overjet correction,Risk of anterior trauma increases with increased overjet,"Without incisal guidance, continued eruption of mandibular teeth can be destructive to upper anterior palatal tissue",Severe overjet is irrelevant to risk of trauma to upper anterior teeth,D,
Normal overjet is considered:,2.5-3 mm,4-5 mm,6-7 mm,7+ mm,A,
Deep overbite is considered:,0-10%,10-25%,30-60%,80-90%,D,
Which of the following is true about a crossbite?,Is always anterior only,Is always posterior only,Can present both anterior and posterior,Is always bilateral,C,
When considering proper incisor inclination or angulation:,Incisors should be flared significantly,Incisors should be retroclined significantly,Incisors should be leaning slightly forward,Retroclined incisors is always a treatment goal,C,
Completely blocked out canines would represent:,Severe crowding,No crowding,mild crowding,moderate crowding,A,
which of the following is TRUE about crowding:,Crowding is always treated by extraction,Facial balance plays a role in determining resolution of crowding,IPR is never an option to treat crowding,Leeway space has no effect on crowding,B,
Lip competence refers to:,Closure of the lips with muscle strain,Closure of the lips without muscle strain,Lip position and tongue posture,Ability to speak properly,B,
In a well balanced face:,Lower face height is roughly equal to upper face height,Lower face height is longer than upper face height,Lower face height is shorter than upper face height,Upper and lower face heights are not equal,A,
The E-line refers to :,A line drawn from nose to chin,Space that becomes available when deciduous second molars exfoliate,Crowding in adults,Lip Competence,A,
"In a typical class II patient, one may find, as compared to the norm:",Larger SNA,Smaller SNA,Larger SNB,Negative ANB,A,
Which of the following is not a possible class 2 skeletal pattern?,"Maxilla protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
A Class 2 subdivision right case will have?,"class 2 on the left, class 1 on the right","class 2 on the right, class 1 on the left",class 2 on both sides,"Class 2 on the right, class 3 on the left",B,
Which of the following is a typical class 3 skeletal pattern?,"Maxilla Protrusive, mandible retrusive","Maxilla protrusive, mandible in good position","Maxilla retrusive, mandible protrusive","Maxilla in good position, mandible retrusive",C,
"The concept of ""meet to eat"" suggests that:",There is a natural dental compensation for a skeletal discrepancy,Dental compensations occur only in class I cases,Class III cases will show proclination of lower incisors,Class II cases will show retroclination of lower incisors,A,
Which is true of pseudo Class 3?,patient cannot bite edge to edge,Patient can bite edge to edge,Is related to significant mandibular bone growth,Does not have a CO/CR shift,B,
"in a typical class III patient, one may find, as compared to the norm:",Larger SNB,Smaller SNB,Larger SNA,ANB value higher than the norm Case 1,A,
Which best describes the Angle Classification?,Class 2,Class 2 division 2,Class 2 subdivision right,Class 1,B,
Overjet in this case is considered normal because:,Upper incisors proclined,Upper central incisors retroclined,There is no anterior crossbite,Lower incisors retroclined,B,
Crowding in this case would be considered:,No crowding,Moderate crowding,Mid crowding,Severe crowding,C,
The overbite is considered:,Open,Shallow,Normal,Deep Case 2,D,
Which best describes the Angle Classification?,Class 2,Class 1,Class 3,Class 4,B,
The overbite is considered:,Openbite,Shallow,Moderate,Deep,C,
"Based on e-line, facial balance would best be described as:",Full for Caucasian,The e-line does not describe facial balance,Showing a class III facial type,Balanced for Caucasian,D,
The midline discrepancy in this case is most likely caused by?,Angle classification,Differential spacing,Upper midline diastema,Overbite Case 3,B,
Which best describes the Angle  Classification?,Class I,Class 2,Class 3,Pseudo class 3,D,
What best describes the transverse problem?,No crossbite,Anterior crossbite only,Anterior and posterior crossbites,Left side posterior crossbite only,C,
Camouflage treatment in this case would consist of:,Maxillary anterior retroclination,Mandibular anterior proclination,"Maxillary anterior proclination, mandibular anterior retroclination",Maxillary and mandibular anterior proclination,C,
Facial balance in this case would be considered:,Typical for class 3,Non-Typical for class 3,short lower face,Prognathic mandible,B,
