title,Pathomedicine Exam 3 (Fall 2019),patho,exam3
question,option_a,option_b,option_c,option_d,option_e,correct,image
"A biopsy report returns with the diagnosis MONORMOPHIC ADENOMA and a histologic description as follows: The biopsy shows an encapsulated lesion with bland, well-differentiated basophilic cells completely within the capsule without invasion of adjacent structures. Based on all of the information given about the lesion, it is:",Benign,Malignant,,,,A,
"All of the following are clinical features of folate deficiency anemia, EXCEPT one. Which one is the EXCEPTION?",Lassitude,Pallor,Decreased heart rate,Premature graying of hair,Mild jaundice,C,
"All of the following are immune-mediated diseases, EXCEPT one. Which one is the EXCEPTION?",Candidiasis,Erythema multiforme,Pemphigus vulgaris,Mucous membrane pemphigoid,Oral lichen planus,A,
"All of the following are examples of type II hypersensitivities, EXCEPT one. Which one is the EXCEPTION?",Rheumatoid arthritis,Rhesus factor incompatibility,Pernicious anemia,Acute rheumatic fever,Goodpasture syndrome,A,
"All of the following are correct statements regarding lupus erythematosus, EXCEPT one. Which one is the EXCEPTION?",Antibodies directed against DNA are produced,Renal failure may cause death,Treatment includes avoiding to UV light,Treatment includes utilization of immunosuppressive therapy,Induces a thrombocytosis,E,
Angular cheilitis is:,A type of lichen planus,Caused by Candida albicans,A subtype of impetigo,A neoplastic disease,A form of erythema multiforme,B,
Bence-Jones proteins are seen in:,Acute myeloid leukemia,Acute lymphoblastic leukemia,Burkitt lymphoma,Langerhans cell histiocytosis,Multiple myeloma,E,
Cancers that spread through the lymphatic system often end up in the lung or liver.,True,False,,,,B,
Dactylitis is associated with:,Iron deficiency anemia,Sickle cell anemia,Pernicious anemia,Folate deficiency anemia,Thalassemia,B,
Development of which of the following conditions may be triggered by an HSV infection?,Impetigo,Candidiasis,Mucous membrane pemphigoid,Pemphigus vulgaris,Erythema multiforme,E,
"Hemoglobin consists of two pairs of globin chains. In addition to the standard two alpha chains, which of the following globin chains are most common in healthy adult patients?",Two beta chains,Two delta chains,Two gamma chains,Two sickle chains,,A,
In which myeloid neoplasm is the BCR-ABL fusion gene identified?,Acute myeloid leukemia,Acute lymphoblastic leukemia,Chronic myelogenous leukemia,Polycythemia vera,Myelodysplastic syndrome,C,
In which of the following settings is a microcytic red blood cell most likely to be identified?,Iron deficiency anemia,Sickle cell disease,Pernicious anemia,Folate deficiency anemia,Aplastic anemia,A,
In which setting is a basophilia most likely to be observed:,Myeloproliferative process,Parasitic infection,Tuberculosis,Viral infection,Type I hypersensitivity,A,
"Mr. Smith is a new patient in your practice. He presents with a 0.4 x 0.4 cm “bump” on his lip. Mr. Smith is a good historian and tells you that the bump has been present for 4-months without change. The lesion is not fixed and is freely movable and asymptomatic. Mr. Smith has no cancer history and no risk factors. He is a non-smoker, non-drinker. You decide to wait 2-weeks and have Mr. Smith return for follow-up. Mr. Smith returns two-weeks later and the lesion is unchanged. What is the BEST course of action for Mr. Smith?",Do nothing,Prescribe antifungal treatment,Incisional biopsy,Excisional biopsy,,D,
Scarring is a common complication of impetigo.,True,False,,,,B,
Spider web-like reticulations are seen in:,Lichen planus,Candidiasis,Mucous membrane pemphigoid,Pemphigus vulgaris,Erythema multiforme,A,
Statement 1: B cells develop in the bone marrow. Statement 2: B cells mature in the thymus.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,C,
Systemic anaphylaxis due to a penicillin allergy is most likely due to a:,Type I hypersensitivity,Type II hypersensitivity,Type III hypersensitivity,Type IV hypersensitivity,,A,
Titers provide information on:,Plasma cell counts,Hemoglobin consent of the blood,Levels of Abs in the blood,T lymphocyte counts,B lymphocyte counts,C,
Trichiasis is most likely to be observed in:,Lichen planus,Candidiasis,Mucous membrane pemphigoid,Pemphigus vulgaris,Erythema multiforme,C,
Urticaria and angioedema are most commonly seen in:,Type I hypersensitivities,Type II hypersensitivities,Type III hypersensitivities,Type IV hypersensitivities,,A,
What is the most common cause of iron deficiency anemia in the US?,Poor iron intake,Excessive blood loss,Poor iron absorption,Pregnancy,Chronic inflammation,B,
Which anemia is associate with exposure to antimalarial drugs?,Myelophthisic anemia,G6PD deficiency,Pernicious anemia,Folate deficiency anemia,Iron deficiency anemia,B,
Which disease has the most severe prognosis?,Erythema multiforme,Toxic epidermal necrolysis,Stevens-Johnson syndrome,,,B,
Which disease is likely to include antibodies circulating against desmoglein 1 and desmoglein 3?,Rheumatoid arthritis,Erythema multiforme,Pemphigus vulgaris,Mucous membrane pemphigoid,Oral lichen planus,C,
"Which form of melanoma is the least common and occurs on palms, soles, and under nails?",Superficial spreading,Nodular,Lentigo maligna,Acral lentiginous,,D,
Which lymphoma is most common in the oral cavity?,Diffuse large B cell,Burkitt,Hodgkin,Acute lymphoblastic,Chronic lymphocytic,A,
Which of the following represents the most appropriate treatment for iron deficiency anemia?,Intramuscular injection of vitamin B12,Sickledex screening test,Oral iron supplementation,Oral folic acid supplementation,Bone marrow transplant,C,
Which of the following is required for methionine-assoicate enzymatic reactions?,Vitamin B12,Iron,Hemoglobin F,Folate,G6PD,A,
Which of the following parameters would indicate that a male patient with a history of sickle cell anemia is unfit for elective dental treatment?,Hb 13 g/dL,Normal heart rate,Appropriate energy levels,No shortness of breath,Oxygen saturation of 93% on pulse oximetry,E,
Which of the following represent a noninvasive breast cancer?,Ductal carcinoma,Lobular carcinoma,Squamous cell carcinoma,Mucoepidermoid carcinoma,Ductal carcinoma in-situ,E,
Which of the following represents a malignant neoplasm that is EBV-related?,Infectious mononucleosis,Nasopharyngeal carcinoma,Oral squamous cell carcinoma,Basal cell carcinoma,Melanoma,B,
Which of the following has the strongest association with HPV?,Melanoma,Papilloma,Cutaneous squamous cell carcinoma,Basal cell carcinoma,Melanocytic nevi,B,
Which of the following represents the most common soft tissue sarcoma of childhood and adolescence?,Osteosarcoma,Ewing sarcoma,Neuroblastoma,Retinoblastoma,Rhabdomyosarcoma,E,
Which of the following represents a normal neutrophil count?,80/microliter blood,800/microliter blood,"8,000/microliter blood","80,000/microliter blood","800,000/microliter blood",C,
Which of the following tumors can cause bilateral hemianopia (“tunnel vision”)?,Meningioma,Glioblastoma multiforme,Pituitary adenoma,Medulloblastoma,Ependymoma,C,
Which of the following is NOT true of a pheochromocytoma?,Causes an increase in systemic catecholamines,Associated with syndromes such as MEN,Arises from the adrenal gland,Has widespread metastatic potential,,D,
