title,Endodontics Review Final Exam (Summer 2021),endorev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"A patient received a deep MOD amalgam restoration 1 week ago. She is now experiencing intense, spontaneous pain, with exacerbation of symptoms occurring when she applies heat or cold or when she eats sweets. The treatment of choice is.",Replace the amalgam with a composite.,Replace the amalgam with a crown.,Root canal therapy.,Prescribe antibiotics and reevaluate in 2 Weeks.,,C,
An 11-year-old child usually has a maxillary central incisor with:,An immature apex.,A mature apex.,,,,B,
If a patient presents with a complicated crown fracture with small exposure the first step would be:,Direct pulp cap.,Root canal therapy,Partial pulpotomy,Establish a pulpal diagnosis.,,D,
"Radiographically, healing of a periapical radiolucency should be visualized in:",1 week,6 weeks,1 month,6 months,1year,D,
"A patient presents with a chief complaint of pain in the upper right quadrant. Cold test produces a response lingering for 1 minute on tooth #14. Tooth #14 is not sensitive to percussion or palpation, and there is no periapical lesion noted radiographically. What is the pulpal and periapical diagnosis?","Irreversible pulpitis, normal periapex","Irreversible pulpitis, symptomatic apical periodontitis","Reversible pulpitis, symptomatic apical periodontitis","Necrotic pulp, chronic apical abscess","Necrotic pulp, acute apical abscess",A,
"You would expect that as your patient aged, they would have an increased response to electric pulp testing",True.,False.,,,,B,
C-fibers are lightly myelinated and have a fast conduction velocity.,True.,False.,,,,B,
C-fibers are responsible for heat sensitivity.,True.,False.,,,,A,
A-delta fibers are located deeper in the pulp while C-fibers are found more peripherally.,True.,False.,,,,B,
Which irrigant is best for removing biofilms?,EDTA,Sodium hypochlorite,Chlorhexidine,Chloroform,,B,
Dens Evaginatus are most commonly found in:,Maxillary premolars and maxillary incisors,Maxillary incisors and mandibular premolars,Mandibular incisors and mandibular premolars.,Maxillary molars and maxillary incisors.,,B,
Apexification is usually carried out on vital immature teeth.,True,False.,,,,B,
Dens invaginatus is most commonly found in:,Maxillary central incisor,Maxillary lateral incisor,Mandibular premolar,Maxillary premolar,,B,
"When instrumenting and subsequently obturating a root canal, the length should be determined by the:",Anatomic apex,Apical foramen,Apical constriction,Radiographic apex.,,C,
The most common tooth in the mouth to have a c-shaped root canal figuration:,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st molar,Mandibular 1st premolar,,B,
The best way to guage apical size is:,Measure the size of the 1st file to bind at the apex,Using the apex locator,Determine the largest sized file that binds at the apex after coronal flaring.,A and B,,C,
Coronal Flaring allows for:,Better irrigation and disinfection,More accuracy in determining working length,More accuracy in determining apical size,All of the above,,D,
"While performing an apicectomy, traditional beveling of the apex:",Is the best way to do apical surgery,Consistently allows for complete resection of the root end,Is typically done with surgical ultrasonic tips,Does not allow for consistent resection of the root end,,D,
Bioceramics are used to:,Seal the apex during an apicoectomy procedure,Seal the root end during non-surgical endodontic treatment,Treat immature root ends,All of the above,,D,
"When treatment planning a retreatment procedure, the most important factor to consider:",The length of the root filling,Whether a prior apical surgery has been done,The periodontal status of the tooth,Extraction and implant placement.,,C,
