title,Periodontics II Quiz 1 (Spring 2020),perio2,quiz
question,option_a,option_b,option_c,option_d,correct,image
Grade 1 Gingival Enlargement is when:,The enlargement covers ½of the crown,The enlargement is confined to the interdental papilla,The enlargement covers ¾of the crown,The papilla and marginal gingiva are enlarged,B,
Which of the following is true regarding Chronic Inflammatory Enlargement?,It is always localized,It is not caused by Mouth Breathing,It is not caused by dental plaque,It usually progresses slowly,D,
A Gingival Abscess has the following characteristic:,It is never rapidly expanding,It is usually symptomatic,It can lead to a sinus tract,It does not affect adjacent teeth,B,
Which of the following is true regarding NUG (Necrotizing Ulcerative Gingivitis)?,There is invasion of connective tissue by spirochetes,Primary features include pseudomembrane formation,Secondary features include pain,All of the above are true,A,
Linear Gingival Erythema responds to plaque removal.,True,False,,,B,
Which of the following are features of Primary Herpetic Gingivostomatitis (PHGS)?,PHGS heals with scaring,Most oral lesions are the result of Herpes Simplex Type II,"PHGS presents with multiple vesicles, ulcerations, inflamed gingiva, cervical lymphadenopathy, and elevated temperature",All of the above,C,
Varicella-Zoster Virus (VZV):,Infection occurs mainly in adulthood,Is the cause of chickenpox,Causes large ulcers in the floor of the mouth,All of the above,B,
Which of the following can cause Occlusal Trauma?,Faulty restorations,Parafunctional habits,Lack of synchronization between tooth wear and passive eruption,All of the above,D,
What is true regarding Occlusal Trauma?,Secondary Occlusal Trauma is reversible,With Primary Occlusal Trauma the periodontium is not reduced,A tooth with 50% attachment loss can be suffering from Primary Occlusal Trauma,All of the above are true,B,
Acute Occlusal Trauma is more common than Chronic Occlusal Trauma,True,False,,,B,
