title,Clinical Oral Radiology Exam 2 (Fall 2021),coralrad,exam2
question,option_a,option_b,option_c,option_d,correct,image
"The radiodensity of healthy, clean maxillary sinuses is:",Hypodense / dark,HYPERdense / bright,The same radiodensity as soft tissue,Unknown,A,
The normal shape of the mandibular condylar head is:,Flattened,Triangular,Rounded,Pointy,C,
Which of the following is TRUE regarding a CT-Panoramic reconstruction / pseudopan / tru-pan?,It avoids the issue of beam-hardening artifacts.,It has a better spatial resolution than a traditional panoramic radiograph,It can be used to screen for caries,It provides a quick overview of the teeth and jaws,D,
Beam-hardening artifacts are seen in which imaging modalities?,CBCT only,CBCT and panoramic,"CBCT, panoramic, and intraoral radiographs",CBCT and intraoral radiographs,A,
Measurements taken in the coronal plane are always true buccal-lingual measurements,True,False,,,B,
"When evaluating a CBCT, each structure should be evaluated in each plane.",True,False,,,A,
Beam hardening artifacts MOST COMMONLY hinder interpretation of what condition?,Dental caries,Periapical cyst,Periodontal bone loss,Maxillary sinusitis,A,
You should be able to see the DISC of the temporomandibular joint in a CBCT.,True,False,,,B,
You should be able to see the dentinoenamel junction in a CBCT.,True,False,,,A,
You should be able to see the root canal space of a young healthy patient’s teeth in a CBCT.,True,False,,,A,
Which of the following is NOT an indication to take a CBCT?,Implant planning,6-month recall evaluation,Evaluation of wisdom tooth near mandibular canal,Evaluate bony lesion discovered on panoramic radiograph,B,
Which of the following terms best describes a list of suspected diagnoses for a particular entity?,impression,diagnosis,prognosis,differential diagnosis,D,
Which of the following terms best describes a single suspected diagnosis based solely on radiographic information?,impression,diagnosis,treatment plan,differential diagnosis,A,
A bony defect is present. Where is this defect located?,Right buccal mandible,Right lingual mandible,Left buccal mandible,Left lingual mandible,D,images/coralrad-exam2-fall-2021/fig14.jpeg
Which of the lines indicates the alveolar crest?,The line labeled “A”,The line labeled “B”,,,A,images/coralrad-exam2-fall-2021/fig15.jpeg
Which of the paranasal sinuses are visualized in this image?,Maxillary,Ethmoid,Sphenoid,Frontal,A,images/coralrad-exam2-fall-2021/fig16.jpeg
Which of the visualized paranasal sinuses is ABNORMAL?,Patient’s left,Patient’s right,,,A,images/coralrad-exam2-fall-2021/fig17.jpeg
Which of the following TMJ degenerative changes is MOST apparent in the image?,Flattening,Expansion,Erosion,Crepitus,A,images/coralrad-exam2-fall-2021/fig18.jpeg
Which of the following TMJ degenerative changes is MOST apparent in the image?,Flattening,Sclerosis,Erosion,Disc displacement,C,images/coralrad-exam2-fall-2021/fig19.jpeg
An entity isodense with (the same density as) soft tissue is noted on the floor of the maxillary sinuses. Note how it follows the walls of the sinus. Which of the following is the BEST impression?,Nasal polyps,Mucosal thickening,Sinonasal undifferentiated carcinoma (SNUC),Frothy mucus,B,images/coralrad-exam2-fall-2021/fig20.jpeg
Which of the paranasal sinuses is indicated by the YELLOW color?,Maxillary,Ethmoid,Sphenoid,Frontal,A,images/coralrad-exam2-fall-2021/fig21.jpeg
Which of the paranasal sinuses is indicated by the MAGENTA/PURPLE/PINK color?,Maxillary,Ethmoid,Sphenoid,Frontal,B,images/coralrad-exam2-fall-2021/fig22.jpeg
Which of the paranasal sinuses is indicated by the GREEN color?,Maxillary,Ethmoid,Sphenoid,Frontal These images are for the following questions:,C,images/coralrad-exam2-fall-2021/fig23.jpeg
Which tooth number is indicated by the red arrow?,#1,#16,#17,#32,B,
Is the tooth indicated by the red arrow impacted?,Yes,No,,,A,
How many roots (or root canals) does the tooth indicated by the red arrow have?,2,3,4,5,C,
Is any pathology noted in the visualized portions of the maxillary sinuses?,Yes,No These images are for the following questions:,,,B,images/coralrad-exam2-fall-2021/fig27.jpeg
Which of the following is the BEST impression for the maxillary sinuses?,Completely clear,Mucosal thickening,Mucous retention pseudocysts,Frothy mucus,B,
"Consider the HYPERdense entity in the maxillary bone, indicated by a red arrow. Based on its radiodensity (how HYPERdense it is), Which of the following is the LEAST REASONABLE to consider in your differential diagnosis?",Screw or other surgical hardware,Retained restorative material,Retained tooth root,Metal from previous trauma,C,
Which of the following best describes the periodontal bone surrounding the visualized maxillary tooth?,No bone loss,Mild bone loss,Severe bone loss,Cannot determine on a CBCT due to beam-hardening artifacts This image is for the following questions:,C,images/coralrad-exam2-fall-2021/fig30.jpeg
One tooth is indicated by the reference lines. Which jaw is this tooth in?,Maxilla,Mandible,,,A,
One tooth is indicated by the reference lines. Which side of the patient is this tooth located on?,Right,Left,,,B,
One tooth is indicated by the reference lines. Is this tooth impacted?,Yes,No,,,A,
