title,DAO Quiz 7 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which premolar has the longest crown inciso cervically?,#4,#5,#21,#20,B,
Which premolar has a mesiolingual groove?,#20,#21,#13,#12,B,
Which tooth has a mesial marginal ridge at a 45 degree angle to the occlusal plane?,#12,#4,#28,#29,C,
"One premolar has a short central groove, and supplemental grooves; it is?",#4,#5,#21,#20,A,
Which premolar usually has two roots?,#4,#5,#20,#21,B,
Which premolar has a mesial marginal ridge groove?,#12,#13,#29,#28,A,
"All premolars develop from 4 lobes, except _____ which may have 5 lobes.",#29,#28,#5,#4,A,
The maxillary first premolar erupts at about?,5 years of age,10 years of age,12 years of age,,B,
"There may be three cusps on #20; the order in size is, smallest to largest;","mesiolingual, distolingual, buccal","distolingual, mesiolingual, buccal","buccal, distolingual, mesiolingual",,B,
Which premolar can you see the whole occlusal surface form the lingual?,mandibular 2nd,mandibular 1st,maxillary 1st,maxillary 2nd.,B,
