title,Periodontics I Final Exam (Fall 2020),perio1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is not a “Pathway of Inflammation”?,Gingiva to Bone,Bone to PDL,PDL to Bone,All of the answer choices are a “Pathway of Inflammation”,,C,
An Infrabony Pocket is when the base of the pocket is apical to bone.,True,False,,,,A,
A patient presents with 3mm of gingival recession and a 7mm pocket.  How much attachment loss does this patient have?,4mm,3mm,7mm,10mm,,D,
What is true regarding Purulent Exudate?,Purulent Exudate is always seen in deep pockets,It does not indicate pocket depth,It indicates that a tooth is mobile,All of the answer choices are true,,B,
Tooth Mobility can be caused by which of the following?,Periodontal Surgery,Hormonal Changes,Occlusal Trauma,All of the answer choices are true,,D,
Electrolytes are considered an Enzymatic Component of Gingival Crevicular Fluid,True,False,,,,B,
According to Page and Schroeder (1976) in which Stage of Gingivitis is bleeding on probing first seen?,Stage I,Stage II,Stage III,Stage IV,,B,
According to Page and Schroeder (1976) in which Stage of Gingivitis is there Moderate Gingivitis?,Stage I,Stage II,Stage III,Stage IV,,C,
According to Page and Schroeder (1976) in which Stage of Gingivitis is there evidence of alveolar bone resorption?,Stage I,Stage II,Stage III,Stage IV,,D,
"When a patient is suffering from Periodontal Disease, the active phases of disease are followed by shorter periods of inactivity.",True,False,,,,B,
According to Dr. Max Listgarten Spirochetes can first be seen near the surface of subgingival plaque after how many weeks?,1 week,2 weeks,3 weeks,4 weeks,,C,
Which of the following are bacterial mechanisms of tissue/cell damage?,Activation of cytokine production,Secretion of toxins,Induction of apoptosis of hose cells,All of the answer choices,,D,
Gingivitis always precedes Periodontitis. This statement is:,True,False,,,,A,
Gingivitis always progresses to Periodontitis.  This statement is:,True,False,,,,B,
Gingivitis may remain stable for many years. This statement is:,True,False,,,,A,
According to Lang (1999) which of the following are major common features of “Aggressive Periodontitis”?,Familial Aggregation,Rapid attachment loss,Non-contributory Medical History,All of the answer choices,,D,
Disease association studies do not reveal whether the presence of specific bacteria causes or correlates with the presence of disease.  This is part of which Plaque Hypothesis?,Non-Specific Plaque Hypothesis,Specific Plaque Hypothesis,Ecologic Plaque Hypothesis,None of the answer choices,,B,
Which Theory of Periodontal Disease Progression is when localized sites show progressive loss of attachment over time while other sites show no loss?,Random Burst Theory,Asynchronous Multiple Burst,Continuous Paradigm,None of the answer choices,,C,
Which theory of Periodontal Disease Progression is when tissue destruction occurs at a definite period of time on one’s life and then goes into remission?,Random Burst Theory,Asynchronous Multiple Burst,Continuous Paradigm,None of the answer choices,,B,
According to Caffesse (1986) when probing depths are 4-6mm what percentage of the time are the roots clean after Scaling and Root Planing?,32%,43%,56%,83%,,B,
Which is true regarding pocket depth reduction following one visit of Scaling and Root Planing according to Proye (1982)?,There was a gain in attachment after two weeks,Recession was not noticed until after three weeks,The average attachment gain was 0.52mm,None of the answer choices,,C,
According to Ritz (1991) which method removed the least amount of root substance after 12 strokes?,Manual Curette,Sonic Scaler,Ultrasonic Scaler,Rotating diamond bur,,C,
What is true regarding cementum?,Cementum is thickest near the CEJ,Cervical cementum is too thick to be removed,Width of coronal cementum is 500 microns,None of the answer choices,,D,
What is the rationale for removing calculus?,Calculus makes plaque harder to removed,Calculus acts as an irritant against the sulcular lining,It decreases inflammation which makes it easier to incise and reflect the tissue during surgery,All of the answer choices,,D,
Which of the following are features of the Pocket Wall in Periodontal Disease?,There is decreased formation of rete pegs,Epithelium is highly infiltrated with PMN’s and Lymphocytes,There is a decrease in the amount of blood vessels,All of the answer choices are features of the pocket wall,,B,
For which of the following Electric Scaling Units is the vibration of the tip linear?,Piezoelectric Unit,Sonic Unit,Magnetostrictive Unit,“Cavitron” Unit,,A,
Which of the following Electric Scaling Units has the lowest heat production?,Piezoelectric Unit,Sonic Unit,Magnetostrictive Unit,“Cavitron” Unit,,B,
How does one evaluate the effectiveness of Scaling and Root Planing?,Evaluate tissue response,Check for root smoothness,Re-probe patient after 4-6 weeks,All of the answer choices,,D,
What are the benefits of “Power” Scaling?,Most hand pieces cannot be sterilized,There is increased tactile sensitivity,slender tips provide greater access,None of the answer choices,,C,
Which Miller Class of Mobility is when there is mobility of less than 1mm but no apical movement?,Class 0,Class I,Class II,Class III,Class IV,C,
A new tooth brush removes how much more plaque than a three-month-old toothbrush?,10%,20%,30%,40%,,C,
Chronic Periodontitis has which of the following features?,Amount of bone loss is not related to home care and plaque levels,Rate of progression in most cases is slow to moderate,Bone loss is not likely to occur in untreated sites,Subgingival calculus is usually absent,,B,
What factors are responsible for reduced pocket depths after Scaling and Root Planing?,Recession of the gingiva,Gain of attachment,Inability to probe due to close adaptation of the gingiva to the tooth,All of the answer choices,,D,
What is the average width of furcation openings?,3-4mm,1.5-2mm,0.5-1mm,2-3mm,,C,
According to Lindhe (1982) what is the average critical probing depth for loss of attachment when performing Osseous Surgery?,4.2mm,2.1mm,5.5mm,2.9mm,,C,
