title,Prosthodontic Review Final Exam (Summer 2019),prosthrev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"30, 33, and 40 degree denture teeth are all an example of which type of denture tooth:",Anatomic,Semi-anatomic,Non-anatomic,Monoplane,,A,
A cast circumferential clasp of a cast RPD affects a natural tooth by:,trapping plaque,increasing the risk for caries,abrading the tooth,all of the above,,D,
A cingulum rest seat preparation should have a mesiodistal length of:,2.0 to 3.0 mm,2.5- 3.0 mm,1.5 to 2.0 mm,none of the above,,B,
A maxillary cast RPD must be at least how many millimeters away from the gingival margin:,8 mm,6 mm,16 mm,12 mm,,B,
A patient presents for their maxillary and mandibular complete removable denture post-insertion visit stating they have a sore throat ever since they started wearing the denture you inserted. What areas of the dentures are most likely the cause of the complaint:,the maxillary denture posterior limit and the mandibular denture disto-lingual extension,the maxillary denture posterior limit and the mandibular denture mesio-lingual extension,the maxillary denture buccal flange and the mandibular denture disto-lingual extension,the maxillary denture buccal flange and the mandibular denture mesio-lingual extension,,A,
A resilient extra-coronal precision attachment such as an ERA has how much movement?,0.3 mm,0.4 mm,0.5 mm,no movement,,B,
A restorative space under 5 mm requires a screw-retained implant restoration as opposed to a cement retained. Which of the following describes why?,limited access to the screw access channel in the screw retained restoration,limited retention and resistance of the abutment due to its decreased height in the cement-retained restoration,limited interocclusal space for the restorative materials in the cement- retained restoration,limited strength of the restorative materials in the cement-retained restoration,,B,
A simple holding instrument capable of accepting a single static registration is classified as:,Class I articulator,Class II articulator,Class III articulator,Class IV articulator,,A,
All are true regarding post length except:,it should be 1/3 the length of the root,it should be at least the length of the crown,the apex of the post should be past the alveolar bone,short posts are more likely to result in root fracture,,A,
All of the following are aids in determining the occlusal plane except:,phonetics,oral commisures,smile line,vertical dimension of rest,,D,
All of the following are signs of a decreased vertical dimension of occlusion except:,angular chelitis,excessive freeway space,striking or clicking of the occlusal surfaces while speaking,loss of biting force,,C,
All of the following are rigid components of a cast RPD framework that contact the abutment teeth except:,the guide plate,the bracing arm,the retentive arm,major connector,,D,
All of the following are true of RPD major connectors except:,they are rigid,they provide cross arch stabilization,rotates during function,is free of movable tissues,,C,
All of the following are disadvantages of cement retained implant crowns except:,cement in sulcus,retrievability,adequate interocclusal space is needed,esthetics,,D,
At its deepest point the carved posterior palatal seal of the master cast is?,0.5 mm,1.5 mm,1.0 mm,2.0 mm,,C,
Combination syndrome is characterized by all of the following except:,supereruption of the maxillary tuberosities,premaxillary bone resorption,supereruption of the mandibular anterior dentition,epulis fissuratum in the maxilla,,D,
Features of a successful post and core design include:,adequate apical seal,Adequate post length,minimal canal enlargement,extension of the final restoration on sound tooth structure,all of the above,E,
Hanau's Quint is characterized by 5 factors. Which of the following is not a factor?,compensating curve,condylar inclination,cuspal inclination,residual resorption,,D,
Indirect retainers should be:,positioned 180 degrees to the primary fulcrum line,as far from the fulcrum line as possible,a lingual plate,a inclined plane,,B,
Lingualized occlusion is indicated for patients with the following:,esthetic demands eliminate potential use of monoplane teeth,severe resorption of ridges,difficulty finding the centric relation position,all of the above,,D,
Tetragonal zirconia is classified as which type of dental porcelain?,Class 1,Class 2,Class 3,Class 4,Class 5,E,
The ala-tragus line is also known as:,Frankfurts' horizontal plane,Camper's Plane,Curve of Spee,Curve of Wilson,,B,
The All-On-4 treatment involves:,two axially positioned implants anteriorly and two distally angled implants posteriorly,two axially positioned implants anteriorly and two mesially angled implants posteriorly,two mesially angled implants in the anterior and two axially positioned implants posteriorly,two distally angled implants in the anterior and two axially positioned implants posteriorly,,A,
The cast circumferential clasp assembly consists of:,the retentive arm,the reciprocal arm,the rest seat,all of the above,,D,
The first choice material for the fabrication of a cast post and core is:,Type III gold alloy,zirconia,Type IV gold alloy,high strength non-precious alloy,,C,
The following are types of major connectors except:,horseshoe,palatal strap,anteroposterior strap,guide plate,,D,
"The force to rotate an object around an axis, fulcrum or pivot is called:",bending moment,torque,axial force,lever arm,,B,
The hanau articulator that is used at TCDM is what type of articulator:,Type I,Type II,Type III,Type IV,,C,
The laboratory process to replace the entire denture base on an existing prosthesis is called:,rebase,reline,remake,recast,,A,
The maximum angle to which the posterior implants of an All-On-4 can be placed is:,30 degrees,35 degrees,40 degrees,45 degrees,,D,
The minimal occlusal reduction for adequate preparation for zirconia crowns is:,1.5 mm,2.00 mm,1.00 mm,1.75 mm,,A,
The minimum distance between adjacent implants is:,1.5 mm,3 mm,5 mm,none of the above,,B,
The occluso-gingival height of the abutment is not significant when choosing a rigid precision attachment.,True,False,,,,B,
The part of the denture base that extends from the cervical end of the denture teeth to the denture border is called:,the denture base,the denture flange,the intaglio surface,the cameo surface,,B,
The posterior limit of the maxillary occlusal rim wax should be angled to what degree?,30 degrees,45 degrees,15 degrees,0 degrees,,B,
The resistance in the movement of a denture away from the tissue foundation especially to lateral (horizontal) forces as opposed to vertical displacement is called?,denture retention,denture stability,denture suction,denture adhesion,,B,
The terminal 1/3 of the retentive arm of a RPD cast circumferential clasp should be:,above the height of contour,at the height of contour,below the height of contour,none of the above,,C,
The third patient visit in the fabrication of dentures includes all of the following except:,transferring of the facebow record,establishing the occlusal plane,establishing the vertical dimension of occlusion,fabrication of the record base and occlusal rim,,D,
What is the minimal amount of gutta percha to maintain an apical seal when placing a post:,3 mm,2 mm,5 mm,7 mm,,A,
When designing a full arch implant prosthesis such as an All-On-4 it is critical for esthetics that:,the transition line is above the smile line,the transition line is below the smile line,the transition line does not affect the esthetics,,,A,
When treatment planning for multiple units of implants which of the following is not true:,the canine and the molar sites are key abutment locations,there should be no three adjacent pontics in the design,cantilevers must be minimized,its best to unevenly distribute the implants,,D,
"When using a resilient attachment, the black housing attachment is used only for picking up the connection.",True,False,,,,A,
Which of the following methods are used in the removal of gutta percha during post preparation:,chemical,mechanical,thermal,all of the above,,D,
Which of the following is true when selecting denture teeth:,the more resorbed the ridge the lower the cusp height,the more resorbed the ridge the higher the cusp height,the less resorbed the ridge the lower the cusp height,ridge resorption plays no role in cusp height selection,,A,
Your denture patient presents for a post-insertion visit complaining of cheek biting on both the right and left sides ever since the new dentures were inserted. What is the probable cause of the cheek biting?,the denture teeth are positioned too lingual,the denture teeth are positioned too buccal,the denture teeth are too big,the denture teeth are too small,,B,
