title,DAO Quiz 8 (Summer 2016),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
The Cranial nerve most commonly associated with dental treatment is:,Facial Nerve,Glossopharyngeal Nerve,Abducens Nerve,None of the above,D,
The TMJ component that attaches close to the opening of the Inferior Alveolar Foramen is the:,Stylomandibular Ligament,Masseteric Ligament,Temporomandibular Ligamanent,None of the above,D,
Which of these is NOT one of the three branches of the Trigeminal Nerve?,Mandibular Branch,Opthalmic Branch,Maxillary Branch,Lingual Branch,D,
The Working Side and Balancing Side during jaw movements refers to:,Protrusion,Centric Occlusion,Lateral Excursion,Centric Relation,C,
The TMJ is a Bilateral Synovial Joint similar to the:,Knee Joint,Elbow Joint,Sternoclavicular Joint,None of the above,C,
The Facial Landmarks often used in the fabrication of a denture are:,Interpupillary Line,Ala-Tragus Line,Occlusal Plane,All of the above,D,
"When describing the function of the TMJ, the Hinge and Gliding motions are best defined by a:",Sternoclavicular Joint,Hip Joint,Ginglymoarthrodial Joint,Dentoalveolar Joint,C,
The angle (corner) where the upper lip and lower lip meet is called:,Vermillion Border,Labial Mucosa,Vestibule,Labial Commissure,D,
The Landmark that often causes Ankyloglossia (Tongue-Tie) is the:,Labial Frenum,Lingual Tonsils,Lingual Nerve,Lingual Frenum,D,
The muscle which is NOT involved in the closing of the mandible is the:,Masseter,Lateral Pterygoid,Temporalis,Medial Pterygoid,B,
