title,PCOD II Final Exam (Spring 2022),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Fillers in Omnichroma are,Identical in shape,Identical in color,Identical in size,A and C,All of the above,E,
"A Groom came in with a large Class IV, and he needed it repaired before his wedding tomorrow! You decided to grab Omnichroma and restore the tooth. The bride was upset with the way the restoration looked. What did you MOST LIKELY forget to do?",Place a blocker,Chose the wrong color,Did not cure long enough,Forgot to bevel,,A,
Which of the following causes an endocrine disruption?,bisGMA,UDMA,TEGDMA,AWD,,A,
"You were removing decay in Dr. Yankoskie's tooth. It was a very deep carious lesion. After removing the decay, you noticed a pink hue on the tooth. You decided to place ____ over the pink area and restore with _______ type of composite to make sure it was fully cured. Choose the best answer based on lecture.","Liner, Dual Cure","Nothing, Light cure","Base, Dual Cure","Flowable composite, AutoCure",,A,
What is NOT a benefit of preheated composite?,Gives better cavity adaptation,Better Marginal closure,Decreases Voids,None of the above,,C,
Why are Bulk Fill composites more translucent?,More coupling agent,Less Resin,More Filler,Less Filler,,D,
The following is NOT a specialty within dentistry,Prosthodontics,Esthetics,Orthodontics,Oral Surgery,All are considered specialties within the dental field,B,
"When evaluating the golden proportion of anterior teeth, we look at which teeth?","Central, laterals, canine and first premolar","Central, laterals and the mesial of the canine","Central, laterals and distal of the canine",Both centrals,,B,
Someone comes into your office for a bleaching. In evaluating their smile you notice brown staining. This is most likely due to:,Plaque build up,Smoke and tobacco,Too much fluoride,Antibiotics,,B,
"When closing a diastema, the following will set a patient's expectations, help them visualize the final outcome and help identify any issues with occlusion",A diagnostic wax up,A conversation with the patient explaining the procedure,An Instagram Reel,All of the above,,D,
Restoring a peg lateral on a 9 year old is best done by:,Crown,Veneer,Composite build up,All of the above,,C,
"When placing a strip crown to build up a peg lateral, it is important to drill a hole in the strip crown prior to filling it with composite. The reason for this is:",To make sure it fits the peg lateral perfectly,To allow excess to escape,To prevent air pockets,B and C,A and C,D,
What does it mean when we speak of the hue as it relates to color.,The color itself,The lightness of the color,The concentration of color,The ability to transmit color,,A,
Chroma is defined as,Saturation of color,Color itself,Ability to absorb color,The lightness of color,,A,
"If you ______ chroma, you _______ value","Decrease, increase","Increase, decrease","Decrease, decrease","Increase, increase",,B,
When picking a color for your patient the first thing you will choose is the:,Hue,Value,Chroma,,,B,
The light source you use can affect your ability to choose the proper color for your patient.,True,False,,,,A,
The phenomenon in which the same object will vary in appearance under different lighting conditions is called:,Reflection,Metamerism,Translucency,Saturation,,B,
The following are supporting cusps,MB #2,DL #14,ML #19,B #6,,B,
Which of the following maxillary teeth contacts only one other tooth on the opposing arch is the,#8,#16,#6,#32,,B,
The DB cusp of tooth #18 is in contact with,The central fossa of #2,The lingual groove of #2,The distal pit of #2,Marginal ridge between #2 and #1,None of the above,A,
"In an ideal intercuspal position, the mesiolingual cusp of a permanent mandibular molar opposes",The opposing central fossa,The lingual embrasure between their counterpart and one tooth distal to it,The distal marginal ridge of its counterpart,The lingual embrasure between their counterpart and the tooth mesial to it,,D,
"In mutually protected occlusion, there should be no contact of ______teeth in the lateral or protrusive movements",Anterior,Posterior,Shorter,Taller,,B,
When checking occlusion it is helpful to,Dry teeth,Use Vaseline on the articulating paper,Wet the teeth,A and B,B and C,D,
You have just built up a cusp on tooth #30. When you check for occlusion there is a strong target mark on the cusp tip of #30. You decide you will adjust this tooth by starting on,The cusp tip,The incline,The opposing tooth,You can begin adjusting wherever you would like,,A,
What is the consequence of neglecting to check our patient's occlusion?,TMD (temporomandibular joint disorder),Pain,Periodontal disease,All of the above,,D,
"If overbite is reduced, the posterior cusp height must be",Bigger,Smaller,The same,,,B,
You remove an old amalgam from a patient's tooth. The remaining tooth structure appears black. What is your next step?,Remove all the black since the black is obviously remaining decay,"Use an instrument to see if the black area is soft, firm or leathery",Take an xray to determine if it is decay or not,Place a liner over it- it will remineralize the tooth,,B,
