title,Oral Pathology Final Exam (Spring 2020),oralpath,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
"A 0.4 x 0.4 cm white, somewhat submucosal, nodule is identified on the right posterior lateral tongue. The histopathological features include a stratified squamous epithelial lining with lymphoid tissues in the cyst wall. What is the most likely diagnosis?",Branchial cleft cyst,Thyroglossal duct cyst,Oral lymphoepithelial cyst,Nasopalatine duct cyst,,C,
Epidermoid cysts of the skin are often mistakenly termed “sebaceous cysts”.,True,False,,,,A,
Ovarian teratomas can produce partially-formed jaws.,True,False,,,,A,
Inflammation of the follicle is the theorized origin (etiology) of epidermoid cysts of the skin.,True,False,,,,A,
In which population is the eruption cyst most likely to occur?,Pediatric,Young adult,Middle-aged adult,Elderly,,A,
The botryoid odontogenic cyst is considered a variant of the:,Odontogenic keratocyst,Glandular odontogenic cyst,Lateral periodontal cyst,Calcifying odontogenic cyst,,C,
Which entity is most likely to present as a mixed radiolucency-radiopacity?,Odontogenic keratocyst,Calcifying odontogenic cyst,Lateral periodontal cyst,Glandular odontogenic cyst,,B,
"All of the following are features of nevoid basal cell carcinoma syndrome, EXCEPT one. Which one is the EXCEPTION?",Basal cell carcinomas,Odontogenic keratocysts,Rib and vertebral anomalies,Glandular odontogenic cysts,,D,
What type of keratinization is identified in odontogenic keratocysts?,Absence of keratin,Orthokeratin,Parakeratin,Metakeratin,,C,
"If intra-gnathic pathology (cyst or tumor) demonstrates significant growth BETWEEN bony trabeculae, it is most likely to produce a(n):",Unilocular radiolucency,Multilocular radiolucency,,,,B,
Ameloblastomas are derived from:,Mesenchymal tissue,Epithelial tissue,,,,B,
Cemento-osseous dysplasia is considered a pre-malignant condition of bone.,True,False,,,,B,
"Which of the following, when identified in the posterior mandible, is always located inferior to the inferior alveolar canal?",Traumatic bone cyst,Anyerusmal bone cyst,Stafne defect,Central giant cell granuloma,Langerhans cell histiocytosis,C,
Multiple lesional foci of cemento-osseous dysplasia (COD) restricted to the anterior mandible is consistent with:,Focal COD,Periapical COD,Florid COD,,,B,
Statement 1: Lesions of COD become more fibrous with time. Statement 2: Lesions of COD become more radiolucent with time.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,B,
Which of the following is included in the MACHO acronym?,Ameloblastoma,Ameloblastic fibroma,Ameloblastic fibro-odontoma,Adenomatoid odontogenic tumor,Aneurysmal bone cyst,A,
Central ossifying fibromas are considered a true neoplasm.,True,False,,,,A,
"All of the following demonstrate the presence of multinucleated giant cells upon histopathological review, EXCEPT one.  Which one is the EXCEPTION?",Fibrous dysplasia,Central giant cell granulomas,Cherubism,Aneurysmal bone cysts,,A,
What is the name of the benign tumor comprised of compact bone?,Osteoma,Osteosarcoma,Stafne defect,Chondroma,Central ossifying fibroma,A,
"Which disease entity is most likely to produce radiographic findings including asymmetrical widening of the PDL, and/or a sunburst pattern and/or a Codman triangle?",Osteoma,Osteosarcoma,Stafne defect,Chondroma,Central ossifying fibroma,B,
"A maxillary central incisor with a unilocular, well-corticated periapical radiolucency measuring approximately 0.7 x 0.7 cm demonstrates equivocal responses to vitality testing (endo ice and electronic pulp testing).  It is treated with root canal therapy, a post, core and fullcoverage restoration.  Six months later resolution of the lesion in bone is not observed upon periapical radiographic examination.  There is no other tooth involved.  All of the following may account for this non-resolving periapical radiolucency, EXCEPT one.  Which one is the EXCEPTION?",It could be a periapical scar,It could be a periapical cyst did not resolve,It could be an odontogenic keratocyst,It could be a central giant cell granuloma,It could be a dentigerous cyst,E,
Which cyst is known to specifically tilt the roots of permanent mandibular 1st molars in the lingual direction?,Dentigerous cyst,Glandular odontogenic cyst,Odontogenic keratocyst,Calcifying odontogenic cyst,Buccal bifurcation cyst,E,
