title,Fixed Prosthodontics Final Exam (Fall 2022),fixedpros,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Indications for veneer restorations include all the following EXCEPT:,Change the shape of teeth,Restore teeth fractured off at CEJ,Close spaces between teeth,Change the shade of teeth,,,B,
The most common measure of dental casting weight is known as:,Grams,Teaspoon,Pennyweight,Milligrams,,,C,
Indications for indirect (lab processed) veneers vs. direct composite veneers include all the following EXCEPT:,Lab processed are more technique sensitive,Composite veneers require more artistic expertise,Lab processed take less chair time,Lab processed generally last longer,,,A,
"During “baking” or “firing” of feldspathic porcelain, the glass melts and the clay converts to leucite.",True,False,,,,,B,
"The coefficient of thermal expansion, when fabricating porcelain fused to metal crown,s is higher for which of the following?",Metal,Porcelain,,,,,A,
The dental casting alloy that has the highest percentage of gold is:,Type I,Type II,Type III,Type IV,,,A,
Which of the following must be thicker (limitations in how thin it can be) because of the way it is fabricated?,Feldspathic porcelain,Pressable ceramic,,,,,B,
The mediolateral curve that contacts the buccal and lingual cusp tips on each side of the arch is known as:,Curve of Spee,Curve of Wilson,Curve of Monson,None of the above,,,B,
"When speaking of dental alloys, the characteristic of “stiffness” is measured by the:",Percent Deformation,Compressive Strength,Modulus of Elasticity,None of the above,,,C,
"When pure lateral excursion occurs, the condyle on the Non-Working side only rotates:",True,False,,,,,B,
Provisional crowns are placed for all the following reasons except:,Esthetics,Prevents shifting of adjacent teeth,Prevents gingival overgrowth,Helps determine shade choice for the final crown,Prevents sensitivity (for vital teeth),,D,
"When using a digital scanner, the dental unit light must be focused on the teeth to be scanned.",True,False,,,,,B,
If a pre-treatment (a pre-preparation) scan is taken the post treatment (post preparation) scan can be:,Taken on the pre-preparation scan without any modification of the scan,Super-imposed on the pre-treatment scan,Requires opening a new case,Only after modification of the pre-treatment scanned utilizing the trimming tool,,,D,
The ideal scan strategy for the mandible is:,"Occlusal, lingual, and then facial","Lingual, occlusal, and facial","Facial, occlusal, and lingual","Occlusal, facial, and lingual",,,A,
"The bond value between enamel, dentin and a dental restoration are all equal:",True,False,,,,,B,
The ideal scan strategy for the maxilla is:,"Occlusal, palatal, and then facial","Palatal, occlusal, and facial","Facial, occlusal, and palatal","Occlusal, facial, and palatal",,,D,
The proper strategy for taking a digital bite is:,Begin at the maxillary molar move anteriorly to the cuspid drop down to the mandible and move posteriorly to the molar,Begin at the mandibular molar move anteriorly to the cuspid move up to the maxilla and move posteriorly to the molar,Begin at the maxillary cuspid move anteriorly to the contralateral cuspid drop down to the mandible and move cuspid to cuspid,Begin at the mandibular molar move anteriorly to the cuspid move up to the maxilla and move posteriorly to the molar,,,A,
Lateral excursion of the mandible is a purely rotational movement:,True,False,,,,,B,
The password for use of the Trios 3 Shape scanner at Touro is:,3ShapeDental2020,3shapedental2020,3ShapeDental2023,3Shapedental2020,,,A,
Incisal Guidance is modified by both the movement of the condyle on the articular eminence and the morphology of the occlusal cuspal angulation:,True,False,,,,,A,
A proper TCDM lab prescription should contain (check all that apply). A. Student name B. Clinic C. Supervising faculty D. Patient Axium number E. Instructions F. Tooth number(s) G. Material H. Shade,"A, B, C","B, C, D","A, B, C, D, E, F,","A, B, C, D, E, F, G, H",,,C,
"When using a digital scanner, light must hit a structure for the image to be captured:",True,False,,,,,B,
The difference between the vertical dimension of rest and occlusal vertical dimension (maximum intercuspation) is known as:,Indianapolis freeway,Los Angeles freeway,Interocclusal rest distance (Freeway Space),None of the above,,,C,
The maxillary palatal cusps and the mandibular lingual cusps are both supporting cusps:,True,False,,,,,B,
The minimal film thickness we require when a dental cement is applied is:,10 microns,25 microns,40 microns,None of the above,,,B,
Hinge axis movement (rotation) of the mandible occurs around a vertical axis:,True,False,,,,,B,
High Noble dental casting alloys must have Noble metal content:,25%,Less than 25%,Less than 55%,None of the above,,,D,
Which statement is true?,A 3d scanner takes an optical impression and converts that impression into a 3d representation.,A 2d scanner takes an optical impression and converts that impression into a 3d representation.,A 3d scanner takes an optical impression and converts that impression into a 2d representation.,A 3d scanner takes an analog impression and converts that impression into a 3d representation.,,,A,
Who is buried in Grant's tomb:,Abe Lincoln,John Lennon,James Madison,Ulysses S. Grant,,,D,
The postural position of the mandible when an individual is resting comfortably in an upright position with relaxed orofacial muscles is known as:,Rest Vertical Dimension of rest,Physiologic rest position,Vertical dimension of rest,All the above,None of the above,,D,
"When the mandible exhibits a Group function occlusal scheme, the working side discludes:",True,False,,,,,B,
The measurement taken between a point on the upper face and the chin in maximum intercuspation is known as:,Vertical dimension of rest,Vertical dimension of occlusion,Centric relation,None of the above,,,B,
"Provisional crowns are held in place on the prepared tooth, as per Dr. Block's lecture, with:",Temp Bond,Saliva,Flowable composite,Permanent cement,Vaseline,,A,
"When seating a permanent crown at the appointment for the crown insertion, the following aspect is important to evaluate:",Contacts,Margins,Occlusion,Adjacent marginal ridge height,All of the above,,E,
Which of the following tends to be more esthetic because layering and staining can be completed during fabrication?,Feldspathic porcelain,Pressable ceramic,,,,,A,
Retention is primarily a property of the cement used and has nothing to do with the preparation:,True,False,,,,,B,
What color is George Washington's white horse:,Blue,Yellow,White,None of the above,,,C,
"When moving into right or left lateral excursion, the side the mandible moves towards is known as the Non-Working side:",True,False,,,,,B,
The anterior/posterior curve of maxillary and mandibular occlusal surfaces is known as:,Curve of Wilson,Curve of Spee,Curve of Monson,None of the above,,,B,
"With regard to laminate veneers, at what stage is hydrofluoric acid used?",Layering of porcelain,Firing,Staining,Luting,,,D,
Which of the following is NOT necessary during a clinic session (on a real patient) when treating tooth #19 for a crown:,Writing and sending a lab prescription,Taking a bite registration,Creating a reduction matrix,Getting faculty approval for the preparation prior to impression,Determining shade of crown,All of the above are necessary,F,
"A cement that causes a chemical reaction to occur enhancing the adhesion of the cement to the tooth, crown or other restoration is known as:",Luting cement,Bonding cement,Crazy Glue,None of the above,,,B,
The central papilla between the maxillary central incisors coincides with the midline of the face 90-95% of the time.,True,False,,,,,B,
A luting agent's primary function is to “bond” the restoration to the natural tooth:,True,False,,,,,B,
"Resin cements offer many benefits including strength, low solubility and the potential for fluoride release.",True,False,,,,,B,
Which of the following is generally the correct sequence of events in a fixed dentistry workflow for a crown preparation:,"Provisionalize tooth, prepare tooth, anesthetize patient, make impression","Anesthetize patient, prepare tooth, make impression, provisionalize tooth","Make impression, anesthetize patient, prepare tooth, provisionalize tooth","Anesthetize patient, prepare tooth, provisionalize tooth, make impression",,,B,
"When inserting/cementing porcelain laminate veneers #6-11, it is highly recommended to start with either #6 or #11 and working toward the other side.",True,False,,,,,B,
"When preparing a maxillary canine for a porcelain laminate veneer in an ideal world, reduction should be between 0.3mm to 0.5mm in thickness.",True,False,,,,,A,
Light cured cements are less color stable than dual cure cements:,True,False,,,,,B,
"When seating a crown, the following is our recommended sequence:","Check interior surface for high spots, check margins with explorer, check proximal Contacts, check occlusion","Check proximal contacts, check interior surface for high spots, check margins, check occlusion","Check occlusion, check margins, check interior surface for high spots, check margins with an explorer",None of the above,,,B,
The thickness of remaining dentin following tooth preparation is inversely proportional to the pulpal response of the prepared tooth:,True,False,,,,,A,
We recommend the top of the head of the handpiece should be at a 45 degree angle to the occlusal surface:,True,False,,,,,B,
Excessive taper of a crown preparation increases retention and resistance to dislodgement:,True,False,,,,,B,
Ante's Law states that “The root surface area of the abutment teeth should be less than that of the teeth being replaced with pontics.”,True,False,,,,,B,
THE Dean of TCDM is;,Dr. Ed Farkas,Dr. Larry Farkas,Dr. Ronnie Myers,None of the above,,,C,
