title,DAO Quiz 8 (Summer 2017),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
"On a Cervical cross section of the maxillary first premolar, What is the shape of the outline form?",Oval,Triangular,Rectangular,Kidney,D,
A deep developmental depression exists on which of the following surfaces of the maxillary first premolar?,Buccal,Lingual,Mesial,Distal,C,
"Unlike the maxillary first premolar, the pattern of grooves on the occlusal surface of the maxillary second premolar is more irregular and gives the tooth a “wrinkled” appearance.",True,False,,,A,
"Just as with the maxillary first premolar, the maxillary second premolar has a developmental depression evident on its mesial surface.",True,False,,,B,
"Statement 1: The mesial slope of the buccal cusp ridge of the maxillary first premolar is usually shorter than the distal slope. Statement 2: This is the opposite of the maxillary second premolar, where the mesial slope of the buccal cusp ridge is usually longer than the distal slope.",Statement 1 and 2 are true as written.,Statement 1 is true while Statement 2 is false as written.,Statement 1 is false while Statement 2 is true as written.,Statement 1 and 2 are false as written.,D,
"If a maxillary premolar possesses two roots, which of the following explains their positioning?","One buccal, one lingual","One mesial, one distal",Usually fused,Maxillary premolars never possess two roots,A,
"On cross section near the area of the cervical line of the maxillary central incisor, the root resembles which of the following shapes?",Triangle,Oval,Circle,Rhombus,A,
Which of the following is not a muscle of mastication?,Lateral pterygoid,Masseter,Buccinator,Temporalis,C,
Which of the following permanent teeth will most likely begin eruption first (Universal system)?,4,5,6,15,B,
Which of the following permanent teeth tend to show evidence of calcification at birth?,Central incisors,Canines,First molar,Second molar,C,
Eruption of the maxillary canines begins at about what age?,6 to 7 years,9 to 10 years,11 to 12 years,13 years,C,
