title,Clinical Oral Radiology Exam 2 (Fall 2017),coralrad,exam2
question,option_a,option_b,option_c,option_d,correct,image
Which of the following best describes the maxillary sinuses?,Filled with air,Filled with soft-tissue density material,The maxillary sinuses are not visualized in this coronal slice,The inferior borders of the maxillary sinuses are poorly defined,B,images/coralrad-exam2-fall-2017/fig1.jpeg
Which if the following structures is NOT visualized in this slice?,Spine,Maxilla,Mental foramen,Incisive canal,C,images/coralrad-exam2-fall-2017/fig2.jpeg
Which of the following best describes the sphenoid sinuses?,Completely filled with air,Completely filled with soft-tissue density material,The sphenoid sinuses are not visualized in this sagittal slice,Mucosal thickening on the floor of the sinus,D,images/coralrad-exam2-fall-2017/fig3.jpeg
Which of the following best describes the internal structure of the majority of the right maxillary sinus?,Air-filled,Filled with bone,Filled with soft tissue and one or more teeth,Filled with amalgam,C,images/coralrad-exam2-fall-2017/fig4.jpeg
Which of the following best describes the borders of the right maxillary sinus?,Expanded,Within normal limits,,,A,images/coralrad-exam2-fall-2017/fig5.jpeg
"Based on the radiographic presentation, what is the majority of the contents of the right maxillary sinus most likely?",A lesion/tumor,Mucosal thickening,Regular mucous; the patient probably has a cold,Air,A,images/coralrad-exam2-fall-2017/fig6.jpeg
"A doctor has noted something in the #12/#13 region. Where is this finding located, specifically?",Between the teeth and towards the buccal,Between the teeth and towards the lingual,,,B,images/coralrad-exam2-fall-2017/fig7.jpeg
What is this finding most likely?,A fistula,A supernumerary tooth,A mucous retention pseudocyst,A periapical lesion,B,images/coralrad-exam2-fall-2017/fig8.jpeg
The three axial slices are demonstrating which jaw?,Maxilla,Mandible,,,A,images/coralrad-exam2-fall-2017/fig9.jpeg
The tooth-like structure noted in image c is in close proximity to which anatomical structure? Image c,Maxillary sinus,Nasopalatine canal,Mandibular canal,Mental foramen,B,images/coralrad-exam2-fall-2017/fig10.jpeg
What is the most likely identity of the tooth-like structure noted in image c? Image c,Impacted #6,Impacted #11,Impacted #27,An impacted supernumerary tooth,A,images/coralrad-exam2-fall-2017/fig11.jpeg
Which of the following best describes the mandibular wisdom tooth?,The wisdom tooth appears to have roots buccal and lingual to the mandibular canal.,The wisdom tooth is not near the mandibular canal.,The wisdom tooth appears to be fully erupted.,The wisdom tooth has gross dental caries.,A,images/coralrad-exam2-fall-2017/fig12.jpeg
Assume the patient is 50 years old. Which of the following best describes the mandibular wisdom tooth?,Impacted (something is preventing it from erupting),Unerupted (give it more time and it might erupt),Delayed eruption,The wisdom tooth has periodontal bone loss.,A,images/coralrad-exam2-fall-2017/fig13.jpeg
Which of the following best describes tooth #5?,Fractured obliquely (diagonally),Not fractured - just a diagonal artifact,,,A,images/coralrad-exam2-fall-2017/fig14.jpeg
Which of the following best describes tooth #5?,Periodontally within normal limits,Periodontal bone loss and/or widened PDL space,,,B,images/coralrad-exam2-fall-2017/fig15.jpeg
Which of the following best describes tooth #5?,Has root-canal treatment,Has a calcified canal,Its canal appears hypodense,,A,images/coralrad-exam2-fall-2017/fig16.jpeg
There is a lesion in the anterior mandible. Which of the following best describes the behavior of this lesion?,Expansile,Non-expansile,,,A,images/coralrad-exam2-fall-2017/fig17.jpeg
Which of the following best describes in the internal structure of this lesion?,Hyperdense,Hypodense,Mixed hyperdense/hypodense,,C,images/coralrad-exam2-fall-2017/fig18.jpeg
There is an object in the anterior maxilla that is not typically present. Which of these structures are you NOT concerned about the object communicating with?,Nasopalatine canal,Nose,Maxillary sinus,Floor of mouth,D,images/coralrad-exam2-fall-2017/fig19.jpeg
"Based on the location, internal structure, and overall radiographic presentation, what do you think this object most likely is?",Osteoma,Enamel pearl,Periapical hypodensity,Supernumerary tooth,D,images/coralrad-exam2-fall-2017/fig20.jpeg
Note the tooth indicated by the red arrow. Which of the following best describes the pathology associated with its tooth?,Periodontal bone loss only,Endodontic lesion only,Perio-endo lesion,Within normal limits,C,images/coralrad-exam2-fall-2017/fig21.jpeg
Which of the following most accurately describes the prognosis of this tooth?,Excellent,Fair,Questionable,Hopeless,D,images/coralrad-exam2-fall-2017/fig22.jpeg
Which term most accurately describes the “black area” indicated by the red arrow?,Intraosseous carcinoma,Beam-hardening artifacts,Peri-implantitis,Hypodense bone,B,images/coralrad-exam2-fall-2017/fig23.jpeg
