title,PCOD I Quiz 3 (Fall 2016),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
"During the dentin bonding procedure, the dentin should not be desiccated during drying because this can result in:",collapse of the collagen network,a weaker bond to the dentin,discoloration of the composite,a and b,all of the above,D,
The reason(s) for bonding a composite restoration to a cavity preparation is:,it increasing esthetics,it increases retention of the restoration,it seals the interface between the restoration and tooth structure,all of the above,none of the above,D,
The bonding mechanism of dental bonding agents is:,micro mechanical bonding to the dentin and enamel; micro mechanical bonding to the composite,chemical bonding to the dentin and enamel; micromechanical bonding to the composite,"chemical bonding to the dentin, enamel, and composite","chemical bonding to the enamel, micromechanical to the dentin; chemical bonding to the composite",none of the above,E,
The layer of dentin that has been etched and infiltrated with bonding agent is called:,the smear layer,the dentin-resin junction,the isomer layer,the resin rich layer,the hybrid layer,E,
The bond strength of a properly bonded composite restoration to a tooth (without adding any additional internal mechanical retention) is:,equivalent to the compressive strength of the tooth,about 1/3 of the compressive strength of the tooth,equivalent to the tensile strength of the tooth,about 1/3 of the tensile strength of the tooth,none of the above,D,
The superficial layer of dentin created by a carbide fissure bur when cutting a cavity preparation is called:,the smear layer,the dentin-rich layer,the isomer layer,the resin rich layer,the hybrid layer,A,
The formation of schlerotic dentin can result from:,precipitation of hydroxyapatite crystals into the dentin tubules from salivary origin,peritubular narrowing of the dentin tubules from odontoblastic origin,use of a high speed carbide fissure bur on dentin,a and b,all of the above,D,
Etching of dentin is performed using:,35% hydrofluoric acid for 15 seconds,10% hydrofluoric acid for 35 seconds,35% phosphoric acid for 15 seconds,10% phosphoric acid for 35 seconds,none of the above,C,
"When using bonding agents for composite restorations, the bond strength can be greatly diminished by:",improper etching of enamel and dentin,improper washing and drying of dentin and enamel,improper application and curing of the bonding agent,imperfect isolation throughout the procedure,all of the above,E,
"When performing the bonding procedure prior to placing a Class II composite restoration, saliva is present on the enamel and dentin surfaces in the proximal box. This can cause:",a gap between the restoration and the tooth structure,recurrent decay beneath the restoration,shrinkage of the composite away from the gingival floor,a and b,all of the above,E,
"In a Class II preparation, the reverse curve is placed on the ________ wall(s) of the proximal box:",lingual,buccal,gingival,a and b,all of the above,B,
"In a Class II box (or slot) preparation, the occlusal outline should extend no further than:",the opposite triangular fossa,the central pit,the lingual groove,the adjacent triangular fossa,none of the above,D,
The reason for placing a reverse curve in a Class II preparation is:,to produce a 90° angle with the external surface,to avoid creating unsupported enamel rods at the cavosurface margin,to avoid falling off the chair,a and b,all of the above,D,
Box (or slot) preparations are indicated when:,decay is present only on the proximal surface as seen radiographically,there is no radiographic or clinical evidence of occlusal decay,there are no existing restorations on the occlusal surface adjacent to the occlusal cavosurface margin of the preparation,a and c,all the above,E,
The placement of the composite restoration for a Class II preparation includes which of the following steps?,"The composite must be applied into the cavity preparation in layers, and each layer is cured for 20 seconds.",The first layer is less than 1 mm thick (on the gingival floor).,Each new increment of material should be added slanting toward the walls of the preparation in layers no greater than 2 mm thick.,a and c,all of the above,E,
