title,Pathomedicine Exam 4 (Fall 2017),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following is not a consistent feature of chronic bronchitis?,Increase in the mucous glands of the larger airways,Increase in goblet cells,Inflammatory infiltrate and edema,Eosinophils,Bronchiolar wall fibrosis,,,D,
Arterial blood gas measurements in a patient with chronic bronchitis would most likely demonstrate:,High PCO2 and Low PO2,Low PCO2 and High PO2,High PCO2 and High PO2,Low PCO2 and Low PO2,,,,A,
Which pattern of emphysema is most likely to occur in smokers?,Centriacinar,Panacinar,Distal Acinar,Irregular,,,,A,
Alpha-1-antitrypsin deficiency is most likely to result in:,Chronic bronchitis,Emphysema,Asthma,Pneumonia,Pneumoconiosis,,,B,
Which of the following are perforations between adjacent alveolar walls that permit passage of air and the spread of disease?,Alveolar macrophages,Type II pneumocytes,Pores of Kohn,Alpha-1-antitrypsin,,,,C,
Statement 1: In restrictive lung diseases the forced viral capacity (FVC) is normal or slightly decreased. Statement 2: In obstructive lung diseases the FVC is reduced.,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,,,B,
Chronic obstructive pulmonary diseases include:,Chronic bronchitis,Emphysema,Asthma,All of the above,A and B only,A and C only,B and C only,E,
Which cells produce the main cytokines that are responsible for the clinical fidnings in an asthma attack?,Neutrophils,Eosinophils,Macrophages,TH2 cells,B cells,,,D,
Aggregations of eosinophil protein crystaloids are termed:,Charcot-Leyden crystals,Curschmann bodies,Ghon complex,Simon focus,Scrofula,,,A,
"A patient with asthma who has symptoms more than once per week, but less than daily, has an FEV1 greater than or equal to 80% of the predicted value, and has rare visits to the hospital emergency department would be classified as having:",Intermittent asthma,Mild persistent asthma,Moderate persistent asthma,Severe persistent asthma,Status asthmaticus,,,B,
Which component of many dental local anesthetic preparations is most likely to be responsible for precipitating an asthma attack related to a type I hypersensitivity?,Lidocaine,Sulfite preservative,Epinephrine,Mepivicaine,Levonordefrin,,,B,
"Please refer to case 1. Based on the reported history and the available data, what is the most likely underlying diagnosis responsible for this patient's signs and symptoms?",Chronic bronchitis,Emphysema,Tuberculosis,Asthma,Pneumoconiosis,,,C,
Please refer to case 1. What would the histopathological findings be if a biopsy of the involved tissues were to be taken?,"Eosinophils, lymphocytes, and edema",Neutrophils and cellular debris,"Granulomas comprised of aggregations of epithelioid macrophages, lymphocytes and possible multinucleate giant cells",Islands and cords of large epithelial cells with high nuclear:cytoplasm ratio and bizarre mitoses,Woven bone with minimal calcification,,,C,
Please refer to case 1. What medication regimen would be most appropriate to treat the underlying diagnosis responsible for this patient's systemic signs and symptoms?,"Combination therapy of isoniazid, rifampin, ethambutol and pyrazinamide for two months followed by isoniazid and rifampin for an additional four months",A short acting beta-2-agonist daily and cortical steroid inhaler as needed,Theophylline 400 mg/day,Listerine rinse three times daily,Peridex 0.12% rinse three times daily,,,A,
Which of the following organisms is associated with the highest incidence of lung abscesses?,Streptococcus pneumoniae,Legionella pneumophila,Haemophilus influenzae,Staphylococcus aureus,Mycobacterium tuberculosis,,,D,
