title,Fixed Prosthodontics Quiz 10 (Fall 2018),fixedpros,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
It is generally accepted practice that you should splint an implant prosthesis to a natural tooth:,True,False,,,,B,
The loss of a tooth to periodontal disease is a contraindication for implant placement:,True,False,,,,B,
Which of the following is NOT a type of dental implant:,Subpereosteal,Transosseous,Subcortical,Endosseous,,C,
The person most closely associated with the development of the osseintegrated implant is:,Dr. Leonard Linkow,Dr. Larry Farkas,Dr. Per Branemark,None of the above,,C,
A subperiosteal implant is the most suitable type of implant for placement into a partially edentulous patient:,True,False,,,,B,
"The greatest aid to achieving an optimum clinical and esthetic result, in implant placement, is proper planning of the implant site:",True,False,,,,A,
"The Schillingburg text states that, “the generally accepted minimum horizontal and vertical space for implant placement” is:",15 mm,5 mm,10 mm,7mm,None of the above,D,
A cone beam (CBCT) image provides more accurate three dimensional preoperative evaluation of the maxilla and mandible compared to a panoramic image:,True,False,,,,A,
The external hex implant is the superior choice for single tooth implant placement:,True,False,,,,B,
The use of tobacco is associated with a decrease in implant failure:,True,False,,,,B,
