title,Oral Pathology Exam 1 (Spring 2018),oralpath,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The finding on the palate is bone-hard on palpation. The patient is asymptomatic. What is the diagnosis? (two words),TORUS PALATINUS|PALATAL TORUS,,,,,,FILL,images/oralpath-exam1-spring-2018/fig1.jpeg
The changes in the vestibules are bone-hard. The patient is asymptomatic. What is the diagnosis? (two words),BUCCAL EXOSTOSES|BUCCAL EXOSTOSIS,,,,,,FILL,
What is the diagnosis? (two words),HAIRY TONGUE,,,,,,FILL,
The lingual frenum is attached abnormally. What is the diagnosis? (one word),ANKYLOGLOSSIA,,,,,,FILL,
What is the diagnosis? (two words),FISSURED TONGUE|SCROTAL TONGUE,,,,,,FILL,
The white appearance on the buccal mucosa is absent when the buccal tissues are stretched. The patient is asymptomatic. What is the diagnosis? (one word),LEUKOEDEMA,,,,,,FILL,
The patient is asymptomatic. What is the diagnosis? (two words) 1 VARIX|,LINGUAL VARICOSITIES|SUBLINGUAL VARICOSITIES|LINGUAL VARIX|SUBLINGUAL,,,,,,FILL,
The patient is asymptomatic. What is the diagnosis? (two words),FORDYCE GRANULES,,,,,,FILL,
This patient has an abnormally small tongue. What is the appropriate term for this condition? (one word),MICROGLOSSIA,,,,,,FILL,
This finding cannot be characterized (clinically or pathologically) as any other disease. The appropriate clinical term is: (one word),LEUKOPLAKIA,,,,,,FILL,
The white plaque lesions seen in this patient have steadily increased in size/areas of involvement over time. All reactive etiologies have been ruled out. Biopsy of one of the white plaques showed hyperorthokeratosis with no dysplasia. What is the diagnosis? (three words),PROLIFERATIVE VERRUCOUS LEUKOPLAKIA,,,,,,FILL,
The patient in this image has an abnormal tongue. What is the appropriate term? (one word),MACROGLOSSIA,,,,,,FILL,
The patient in this image is a pipe smoker. What is the diagnosis? (two words),NICOTINE STOMATITIS|NICOTINIC STOMATITIS|NICOTINE PALATINUS|SMOKERS PALATE,,,,,,FILL,
The finding on this patient's right buccal mucosa is along the occlusal plane. Microscopic review demonstrated hyperkeratosis. What is the appropriate clinical term? (two words),LINEA ALBA,,,,,,FILL,
The patient in this image received radiation therapy. Subsequently the changes seen in the left mandible developed. The yellow-white material represents necrotic bone (bone sequestration). The patient has not taken any oral or intravenous medications associated bone necrosis. What is the diagnosis? (one word),OSTEORADIONECROSIS,,,,,,FILL,
Which of the following etiologic factors has the strongest association with the development of oral squmous cell carcinoma in the United States?,Tobacco smoking,Tobacco chewing,Betel quid,Alcohol abuse,Human papilloma virus 16,,A,
At which of the following locations is oral squamous cell carcinoma most likely to develop?,Anterior hard palate,Soft palate,Gingiva,Buccal mucosa,Posterior ventral/lateral tongue,,E,
All of the following are histopathologic features associated with oral squamous cell carcinoma and epithelial dysplasia EXCEPT:,Increased nuclear:cytoplasm ratio,Hyperchromatic nuclei,Monomorphous nulcei,Dyskeratosis,Abnormal mitotic figures,,C,
Statement 1: Epidemiologic studies suggest that consuming large quantities of fruits and vegetables is protective against the development of oral squamous cell carcinoma. Statement 2: Smokeless tobacco is an associated etiologic factor for the development of oral squamous cell carcinoma.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
At which location is a thermal burn most likely to occur?,Palate,Floor of mouth,Labial mucosa,Vermilion,,,A,
"Chemical burns may be caused by all of the following, EXCEPT:",Aspirin,Hydrogen peroxide,Water above 212o Farenheit,Isopropyl alcohol,Eugenol,,C,
What type of caries are typical in patients with dry mouth (xerostomia) resulting from antineoplastic therapy?,Class I,Class V,Class III,Class VI,,,B,
What is the most likely diagnosis of the pigmented lesion in the clinical image given the associated radiography?,Melanoma,Oral squamous cell carcinoma,Amalgam tattoo,Chemical burn,,,C,images/oralpath-exam1-spring-2018/fig23.jpeg
Smoker's melanosis in a cigarette smoker is most likely to occur on the:,Anterior facial gingiva,Labial commissures,Hard palate,Soft palate,,,A,
A macule is best described as:,Focal area of color change that is not elevated or depressed in relation to its surroundings,Describing a tumor or growth exhibiting numerous surface projections,"Superficial lesion, often arising secondary to rupture of a vesicle or bulla, that is characterized by partial or total loss of the surface epithelium","Narrow, slit-like ulceration or groove","Pathologic epithelium-lined cavity, often filled with liquid or semi-solid contents",,A,
The term verrucous is best defined as:,"Describing a tumor or growth exhibiting a rough, warty surface",Blister filled with purulent exudate,Lesion characterized by loss of the surface epithelium and frequently some of the underlying connective tissue. It often appears depressed or excavated.,Describing a tumor or growth exhibiting numerous surface projections,"Non-elevated area of hemorrhage, larger than a petechia",,A,
"Oral squamous cell carcinoma is diagnosed on the left tongue of a 45-year-old female.  The tumor measures 2.5 cm in greatest dimension.  The deep muscles of the tongue are NOT involved.  The tumor is resectable.  However, perineural invasion is identified.  There is a single ipsilateral cervical lymph node that is positive for metastasis measuring 2.9 cm in greatest diameter.  The PET-CT demonstrates no distant metastasis.  What is the stage of disease?",Stage I,Stage II,Stage III,Stage IV,,,C,
A 72-year-old male is diagnosed with oral squamous cell carcinoma of the floor of mouth.  The tumor is 1.5 cm in greatest dimension.  The tumor only involves the soft tissues of the floor of mouth.  The deep muscles of the tongue are NOT involved.  Perineural and vascular invasion are present.  The PET-CT is negative for metastasis to local lymph nodes and distant sites.  What is the stage of disease?,Stage I,Stage II,Stage III,Stage IV,,,A,
Which  of the following are changes that can occur in users of smokeless tobacco?,Staining of enamel,Development of white plaques,Gingival recession,Staining of enamel,All of the above,,E,
Metastasis is a rare event in patients with verrucous carcinoma.,True,False,,,,,A,
Verrucous carcinoma has a better prognosis than typical oral squamous cell carcinoma.,True,False,,,,,A,
Statement 1: Dysplasia is seen in 10-15% of cases of oral submucous fibrosis that are biopsied. Statement 2: Oral squamous cell carcinoma is seen in at least 6% of cases of oral submucous fibrosis that are biopsied.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
At which of the following sites is oral submucous fibrosis least likely to develop?,Hard palate,Soft palate,Buccal mucosa,Retromolar pad,,,A,
Which of the following is an etiologic factor in the development of oral submucous fibrosis?,Cigarette smoking,Alcohol abuse,Human papilloma virus 16,Chewing tobacco,All of the above,None of the above,F,
The squamous papilloma is considered high-risk for transformation into oral squamous cell carcinoma.,True,False,,,,,B,
The human papilloma virus subtypes identified in the squamous papilloma include:,6 and 8,"2, 4, 6 and 40",16 and 18,31 and 33,13 and 32,,A,
Which of the following is most likely to undergo malignant transformation?,Fungiform papilloma,Inverted papilloma,Cylindrical cell papilloma,Squamous papilloma,Verruca vulgaris,,B,
The human papilloma virus subtypes identified in the fungiform papilloma include:,6 and 11,16 and 18,"2, 4, 6 and 40",31 and 33,13 and 32,,A,
"All of the following would be reasonable considerations in the clinical differential diagnosis of the lesion seen in the clinical image, EXCEPT:",Sqaumous papilloma,Oral squamous cell carcinoma,Verruca vulgaris,Fungiform papilloma,,,D,images/oralpath-exam1-spring-2018/fig39.jpeg
Koilocytes are best described as:,Cells identified in the cylindrical cell papilloma with a high mitochondrial content,Cells commonly identified in oral squamous cell carcinoma,Keratinocytes that have been altered by the human papilloma virus,A normal component of masticatory mucosa,,,C,
Statement 1: Verruciform xanthoma is a benign epithelial proliferation that does not undergo malignant transformation. Statement 2: Verruciform xanthoma may be seen in association with epithelial dysplasia.,Both statements are true,Both statements are false,"Statement 1 is true, statement 2 is false","Statement 1 is false, statement 2 is true",,,A,
Which of the following matches the stage of oral squamous cell carcinoma with the correct percentage of survival at five-years?,Stage I 72% Stage II 58% Stage III 45% Stage IV 32%,Stage I 95% Stage II 72% Stage III 65% Stage IV 55%,Stage I 55% Stage II 45% Stage III 25% Stage IV 10%,Stage I 82% Stage II 78% Stage III 65% Stage IV 48%,,,A,
At which location is the development of oropharyngeal squamous cell carcinoma most common?,Tonsils,Base of tongue,Soft palate,Posterior pharyngeal wall,,,A,
Which subtype of human papilloma virus is most commonly implicated in the development of oropharyngeal squamous cell carcinoma?,16,18,31,33,,,A,
"Which of the following correctly shows disease in descending order of prognosis (best on the on top, worst on the bottom) in terms of five-year survival?",1. Oral squamous cell carcinoma 2. Oropharyngeal squamous cell carcinoma 3. Squamous cell carcinoma of the vermilion,1. Oropharyngeal squamous cell carcinoma 2. Oral squamous cell carcinoma 3. Squamous cell carcinoma of the vermilion,1. Squamous cell carcinoma of the vermilion 2. Oropharyngeal squamous cell carcinoma 3. Oral squamous cell carcinoma,1. Oropharyngeal squamous cell carcinoma 2. Squamous cell carcinoma of the vermilion 3. Oral squamous cell carcinoma,,,C,
A 52-year-old female presents to your office for evaluation of a red lesion that appeared on her gingiva three-weeks prior.  What is/are your next step(s)?,Biopsy (or referral to an oral and maxillofacial surgeon or oral and maxillofacial pathologist),Thorough medical history and patient interview,Have her return in two-weeks for re-evaluation,"Physical exam (vitals, extraoral exam, intraoral exam)",,,B,
A 52-year-old female who is a patient from your practice is diagnosed with stage I gingival squamous cell carcinoma.  It does NOT involve bone.  Perineural and perivascular invasion are NOT present.  What is her treatment by the head and neck oncology team likely to include?,Resection of the tumor (surgery consisting of wide excision with evaluation of margins),Radiation therapy,Chemotherapy,All of the above,,,A,
A 52-year-old female who is a patient from your practice is treated for stage I gingival squamous cell carcinoma.  Six-months after her therapy she presents to your office for a regular check-up. She has a 17-year-old daughter and she is concerned that she too may suffer from oral squamous cell carcinoma.  She heard about a vaccine called Gardasil 9 that is effective in preventing human papilloma virus (HPV) infection.  She was under the impression that her gingival squamous cell carcinoma may have been caused by HPV.  She wants to know if you think her daughter should get this vaccine to help prevent oral squamous cell carcinoma.  Which of the following represents the most accurate response to her question?,"Most cancers like yours are not caused by HPV.  However, Gardasil 9 is proven to prevent HPV-related squamous cell carcinomas in the oropharynx.",Your cancer was most likely caused by HPV 16.  Infection by this HPV subtype in the oral cavity is prevented by Gardasil 9 and will be extremely effective in preventing an oral cancer from developing in your daughter.,Most oral squamous cell carcinomas like the one you had are not caused by HPV.  Gardasil 9 is known to be effective in preventing squamous cell carcinomas in other areas of the body.  Whether it prevents oral squamous cell carcinoma or oropharyngeal squamous cell carcinoma is yet to be determined.,Most squamous cell carcinomas of the head and neck are caused by HPV.  Your daughter will definitely benefit from getting the Gardasil 9 vaccine.,,,C,
"According to the assigned paper from JADA, if a clinically evident, seemingly innocuous lesion (not suspected to be malignant) is identified, the next step is to:",Perform a biopsy,Use cytologic adjunct to triage patient and provide additional lesion assessment,Periodically follow up with patient to determine the need for further evaluation,No further action is necessary at this time,,,C,
"Intro: Sixty-two-year-old female presents with chief complaint: “I have a spot on my cheek.” HPI: The lesion was identified by her physician one-week prior at a regular check-up MedHx: HTN Type II diabetes mellitus (fasting blood glucose this morning was 120 mg/dL and most recent HbA1c was 6.6%) Meds: Hydrochlorothiazide Metformin Allergies: Denies SocHx: Denies ETOH Denies tobacco PhysEx: Vitals:  BP 118/74, HR 72 B/M, respirations 15/minute Regional H&N: EOE: No extra-oral nodules, asymmetry, or other grossly visible signs of pathology.  The examination is negative for clinically detectable cervical lymphadenopathy. IOE: Homogeneous leukoplakia on the left buccal mucosa adjacent to chipped #19 with jagged distobuccal cusp, measuring approximately 0.7 x 0.7 cm. All other mucosal surfaces including the tongue, upper and lower labial mucosae, gingiva, tongue, right buccal mucosa, bilateral maxillary and mandibular buccal vestibules, hard palate, soft palate, and clinically visible oropharynx appear healthy with no visible signs of atypical inflammation, infection, neoplasia, or other pathology. Dental Hard Tissue Exam: #1, 16, 17 and 32 are missing #19 chipped distobuccal cusp Remainder of dentition is intact and appears healthy Radiographic Exam: #19 has minimal recurrent decay and no pulpal involvement",Address chipped #19 (either smooth cusp or place a new restoration) and reevaluate in two-weeks for signs of resolution,Perform a biopsy,Call her physician's office for medical consultation to perform an incisional biopsy of the tissue,Schedule the patient for a biopsy in two-weeks and send her with medical consultation paperwork to be completed by her physician prior to the biopsy,,,A,
