title,Practice Management I Exam 2 (Spring 2019),pmgmt1,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
Entering a franchise agreement for Corporate Practice may require less upfront cost than the cost of starting a private practice.,True,False,,,,A,
The advantage of Corporate Practice is established preset protocols.,True,False,,,,A,
When are profits for a sole proprietor dentist in private practice generated?,as gross receipts are calculated,after all expenses and employee salaries are paid,once insurances payments are posted,as patients' payments are posted,none of the above,B,
Cash flow is a key issue that should be evaluated when starting a practice from scratch.,True,False,,,,A,
Advantages of being an associate include:,gaining additional clinical expertise from employer dentist,learning management and administrative skills from employer dentist,trial period to evaluate a practice before buying into or purchasing the practice,all of the above,none of the above,D,
Which one of the following is the most important factor in determining the value of the practice?,Gross revenue,Profitability,The number of staff members,Square footage of the office,,B,
In evaluating a practice an associate should rely solely on the valuation of the owner dentist.,True,False,,,,B,
Some types of practice scenarios are:,Sole proprietorship,Partnership,Incorporation,Limited Liability Company,All of the above,E,
The legal entity which can involve double taxation is:,Regular corporation,Subchapter-S Corporation,Partnership,Sole proprietorship,,B,
Advantages of a Subchapter-S corporation are:,“Double Taxation” potential is avoided,Corporate income is reported as individual income on one's tax return,Both a and b,None of the above,,D,
A legal entity which does not require filing articles of organization or incorporation is?,Sole proprietorship,Corporation,Limited Liability Company,All of the above,None of the above,A,
A new dentist should develop his/her professional goals prior to begin searching for an employment opportunity.,True,False,,,,A,
The abbreviation EOB stands for:,Evaluation of Business,Extension of Benefits,Enforcing Official Business,None of the above,,D,
The abbreviation COB stands for:,Continuation of Benefits,Continuation of Business,Coordination of Benefits,Coordination of Business,None of the above,C,
Federal tax laws require that sole proprietors:,Submit federal withholding taxes and social security tax payments annually.,Submit quarterly estimated tax payments,File quarterly social security and state 941 tax reports,All of the above,None of the above,B,
"in some states, a licensed dental hygienist that is under supervision of a dentist, may see patients even when the dentist is not on site.",True,False,,,,A,
Which of the following is not a primary duty of a Chairside Dental Assistant?,Assist Dentist in the operatory,Clean &service equipment,"Maintain and setup trays, instruments and materials",Sending statements &post insurance billing,None of the above,D,
Adding a dental hygienist should be based on:,Total number of patients in one week,Total number of clinic hours in one week,Total number of prophys in one week,All of the above,None of the above,C,
A dental practice with a staff of 10 - 12 or more employees with multiple dentists and/or hygienist would benefit by the services of which employee?,Insurance Billing Coordinator,Receptionist,Office Administrator,None of the above,All of the above,C,
What is the total amount that the dentist is entitled to receive if the patient decides to have a fixed bridge fabricated on tooth numbers 22 to 28?,$ 594.00,$ 990.00,"$ 7,200.00","$ 5,028.00",None of the above,D,images/pmgmt1-exam2-spring-2019/fig20.png
Why is the total plan benefit for the mandibular seven unit fixed bridge only $990.00?,Benefit maximum has been reached,Pre-existing condition,Patient is not covered for dental expenses,Insurance benefit covers removable partial dentures only,None of the above,D,images/pmgmt1-exam2-spring-2019/fig21.png
Why was the plan benefit for procedure code D6072 on tooth #5 paid at $339.00?,Procedure not covered by plan,Pre-existing condition,Plan does not cover crowns,Patient has reached the annual maximum,Plan deductible has not been reached,D,images/pmgmt1-exam2-spring-2019/fig22.jpeg
Which procedure code is not listed as a covered service?,D6072,D6057,D7140,All of the above,None of the above,B,images/pmgmt1-exam2-spring-2019/fig23.jpeg
The narrative that defines a CDT code is called?,Deductible,EOB,Descriptor,Terminology,None of the above,C,
Procedures that have the Dental Codes D0100 - D1999 are referred to as?,Operative Codes,Endodontic Codes,Surgical Codes,Implant Codes,None of the above,E,
