title,Oral & Maxillofacial Surgery Final Exam (Spring 2023),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements about complications related to impacted teeth is FALSE?,Post-operative complications are more common and recovery is more difficult with increased patient age.,Medically compromising conditions can result in impaired post-operative healing.,"As patients progress through adolescence to adulthood, increased root development may result in increased risk to vital structures with surgical treatment.","As patients progress through adolescence to adulthood, increased crown development and tooth movement may result in increased risk to adjacent teeth with and without surgical treatment.",Healing/recovery from a nerve injury is not affected by patient age.,,,E,
A patient presents with severe pericoronitis at the site of a horizontally impacted #32 with full root development. #1 is supererupted and is traumatizing the site. The OMFS wants to allow resolution of the infection prior to extraction. Which of the following actions are NOT acceptable treatments that may be helpful in gaining resolution of the pericoronitis?,Reducing the offending cusp(s) of #1 with a handpiece.,Extracting #1.,Irrigating the #32 site with chlorhexidine.,Irrigating the #32 site with hydrogen peroxide.,Prescribing systemic antibiotics.,ALL of the actions listed here are acceptable treatments that may be helpful in gaining resolution of the pericoronitis.,,F,
Which of the following statements regarding the classification of impacted teeth is FALSE?,The Pell and Gregory Classification System that assigns a numerical value to a tooth is based on the tooth's horizontal position relative to the anterior border of the mandibular ramus.,The Pell and Gregory Classification System that assigns an alphabetical value to a tooth is based on the tooth's vertical position relative to the adjacent second molar.,“Transverse impaction” describes a tooth that is positioned with its occlusal surface pointing to either the buccal or the lingual.,Difficulty of extraction increases with progression through both Pell and Gregory numerical and alphabetical classification systems.,Classifying a tooth based on its overlying tissue is helpful because these classifications correlate directly with the degree of difficulty of extracting that tooth.,,,E,
Which of the following statements regarding the influence of root morphology of impacted teeth on extraction difficulty and risk is FALSE?,Impacted teeth with roots that are 1/2 to fully formed are at an optimal stage for extraction.,Impacted teeth with fused conical roots are generally easier to extract compared to similarly positioned teeth with dilacerated roots.,Impacted teeth with roots whose curves follow the path of elevation are easier to extract than impacted teeth with roots whose curves oppose the path of elevation.,Impacted teeth whose root width is wider than the cervical width of the tooth are more difficult to extract compared to impacted teeth whose root width is narrower than the cervical width of the tooth.,Impacted teeth with wider PDL spaces are easier to extract than impacted teeth with narrower PDL spaces.,,,A,
Which of the following findings on a panoramic radiograph is NOT a prognostic indicator of inferior alveolar nerve injury following mandibular third molar extraction?,Interruption of superior cortical border of inferior alveolar nerve canal in area of third molar.,Deflection of inferior alveolar nerve canal in area of third molar.,Narrowing of inferior alveolar nerve canal in area of third molar.,Darkening of root of third molar where it crosses the inferior alveolar nerve canal.,Pericoronal radiolucency that is 2 cm or more in diameter and extends superiorly from the CEJ of a third molar whose root apices are superior to the inferior alveolar canal.,,,E,
The maxillary third molar frequently forms the distal wall of the maxillary sinus. Which of the following statements is FALSE?,Extraction of a tooth in this position has an increased risk of an oro-antral communication following its extraction.,Extraction of a tooth in this position is more difficult than extraction of a similarly shaped and angulated tooth that is not forming the distal wall of the maxillary sinus.,The surgeon's pre-operative informed consent discussion should emphasize the risks pertinent to this tooth.,A general practitioner who is a competent at performing extractions may consider referring this tooth to an OMFS.,Appropriate pre-operative radiographs will be helpful in assessing risks related to extraction of this tooth.,,,B,
"Consider the following statements: Statement 1: When removing impacted teeth, the surgeon should always remove the smallest amount of bone possible to accomplish the extraction. Statement 2: Increased bone removal during the extraction of impacted teeth can weaken the jaw.",I and II are both TRUE.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,I and II are both FALSE.,,,,C,
"When designing and creating a flap for the extraction of an impacted mandibular third molar, the surgeon should keep in mind all that all of the following are TRUE, EXCEPT:",It takes longer to suture when a vertical release is used.,An envelope flap generally heals better than a flap with a vertical release.,An envelope flap will not allow as much access to the apical portion of the surgical site as a flap with a properly created vertical release.,A larger flap will directly result in more swelling than a smaller flap.,"If a vertical release is used, it should begin at the mesial line angle of the second molar and be angled posteriorly and inferiorly.",,,E,
Which of the following statements is FALSE?,A handpiece is rarely needed for bone removal for extraction of an impacted maxillary third molar.,"When sectioning an impacted mandibular third molar for removal, the handpiece should be used to cut completely through the crown from buccal to lingual.",The angulation of the tooth should be considered when determining how an impacted tooth should be sectioned for removal.,The curvature of the roots should be considered when determining how an impacted tooth should be sectioned for removal.,Impacted maxillary third molars rarely need to be sectioned for extraction.,,,B,
"In general, which of the following statements regarding the extraction of impacted mandibular third molars is TRUE?",Vertical impactions are the easiest to extract.,Mesioangular impactions are the easiest to extract.,Horizontal impactions are the easiest to extract.,Distoangular impactions are the easiest to extract.,You cannot make generalizations about how the position of an impacted mandibular third molar will influence the difficulty of its extraction.,,,B,
Which of the following statements regarding coronectomy of mandibular third molars is TRUE?,Inferior alveolar nerve injury cannot occur if a coronectomy is performed.,"If all guidelines are adhered to when performing a coronectomy, the remaining root stump will not move or require future removal.",Periapical infection of a tooth in close proximity to the inferior alveolar nerve is an indication for coronectomy rather than extraction.,"When CBCT shows that a mandibular third molar is in close proximity to the inferior alveolar and/or lingual nerves, coronectomy may be indicated to avoid injuring these nerves.","When performing a coronectomy, the remaining root fragment should be at least 4 mm from bone margins in all directions.",,,E,
Which of the following statements regarding exposure of impacted maxillary canines is TRUE?,"When exposing an impacted maxillary canine to allow passive eruption, the tooth should be approached from the palate.","When exposing an impacted maxillary canine so that the orthodontist can actively effect eruption of that tooth, the tooth should be approached from the palate.","When exposing an impacted maxillary canine to allow passive eruption, the tooth should be approached from the labial.","When exposing an impacted maxillary canine so that the orthodontist can actively effect eruption of that tooth, the tooth should be approached from the labial.","When exposing an impacted maxillary canine to allow passive eruption or to enable the orthodontist to actively effect eruption of that tooth, surgical approach will depend on the position of the tooth.",,,E,
"Potential negative sequela to the permanent dentition following trauma to primary teeth include all of the following, EXCEPT:",White or yellow/brown discoloration or hypoplasia of the crown,Odontoma like formations,Effects on the root including dilaceration and partial or incomplete formation,Eruption disturbance,Sequestration of permanent tooth germs,Mucocoele formation,,F,
If a primary tooth is intruded due to trauma,It can be observed as it may spontaneously re-erupt.,It can be extracted if it has been significantly displaced.,It may cause problems for the corresponding succedaneous tooth.,It should be accessed for pulpal therapy and orthodontically brought into the dental arch.,The patient should be assessed for other facial or head injuries.,,,D,
A patient presents with an avulsed tooth in the anterior maxilla. Several years ago they avulsed a tooth in the anterior mandible. Which of the following questions is NOT pertinent when determining the treatment and prognosis for this latest avulsed tooth?,Is it a permanent or primary tooth?,Does the tooth have an open or closed apex?,What is the pre-existing periodontal condition of the tooth and surrounding dentition?,How long has the tooth been out of its socket?,How has the tooth been handled since the avulsion?,How did the previously avulsed tooth respond to treatment?,,F,
A tooth cannot develop pulpal necrosis after trauma without fracture and pulpal exposure.,True,False,,,,,,B,
A permanent tooth sustains a horizontal root fracture. The coronal segment is repositioned and splinted. Which of the following statements is TRUE?,Root canal treatment of the coronal tooth segment to the fracture line should be performed as soon as possible.,Root canal treatment of the coronal and apical tooth segments should be performed as soon as possible.,"The tooth should be monitored and if pulp necrosis or irreversible pulpitis develops, root canal treatment of the coronal tooth segment to the fracture line should be performed.","The tooth should be monitored and if pulp necrosis or irreversible pulpitis develops, root canal treatment of the coronal and apical segments should be performed.",Root canal will not be necessary if the repositioning and stabilization were completed within one hour of the injury.,,,C,
A patient presents after a blow to their chin causing their upper and lower teeth to hit each other. It is important for the examining dentist to direct extra attention to the __________ teeth.,Anterior,Posterior,Maxillary,Mandibular,Attention does not need to be given to any of the teeth as they were not traumatized directly.,,,B,
Which of the following groups of definitions is CORRECT?,Hyperkeratosis - overgrowth of cornified layer of epithelium Hyperplasia - an increased number of normal cells Hypertrophy - an increase in the size of cells,Hyperkeratosis - overgrowth of cornified layer of epithelium Hyperplasia - an increase in the size of cells Hypertrophy - an increased number of normal cells,Hyperkeratosis - an increased number of normal cells Hyperplasia - overgrowth of cornified layer of epithelium Hypertrophy - an increase in the size of cells,Hyperkeratosis - an increase in the size of cells Hyperplasia - overgrowth of cornified layer of epithelium Hypertrophy - an increased number of normal cells,,,,A,
Which of the following information would NOT be considered in determining a differential diagnosis?,Patient age,Systemic diseases the patient may have,Findings on visual examination of lesion,Findings on palpation of lesion,ALL of this information should be considered in determining a differential diagnosis.,,,E,
Which of the following statements about reconstruction following treatment of jaw lesions is FALSE?,Delayed reconstruction should be considered if both intraoral and extraoral defects exist at the time of surgery.,"If reconstruction is delayed, there is no advantage to maintaining the mandibular segments in proper anatomical position.",Disadvantages of immediate reconstruction include risk of recurrence and loss of graft due to infection.,"If the alveolar crest and soft tissue is not involved and excision of the lesion can wait, teeth can be extracted 6 - 8 weeks prior to extraoral lesion excision and reconstruction to avoid having both intraoral and extraoral defects at the same time.","Multiple methods can be used to maintain the mandibular segments in proper anatomical position including MMF (maxillomandibular fixation), external fixation, internal fixation, and splints.",,,B,
Which of the following statements regarding biopsy techniques is INCORRECT?,A general dentist can perform a biopsy.,The surgeon should avoid injecting local anesthesia directly into the lesion.,Suctioning has the potential to cause more bleeding.,"When performing an excisional biopsy, a perimeter of normal tissue should be excised in all direction; generally 2 - 3 mm with an additional 2 - 3 mm if malignancy is suspected.","Incisions should be made perpendicular to nerves, blood vessels, and lines of muscular tension whenever possible.",,,E,
Which of the following statements regarding the treatment of solid hard tissue lesions is TRUE?,Marsupialization should be used for benign solid tissue lesions only.,Precautionary aspiration prior to surgical entry of a radiolucent lesion is not necessary if the patient does not have a coagulopathy or is not anticoagulated.,"If a lesion resists removal, 1 mm of adjacent bone can be removed.","Hard tissue lesions can be approached via either a split thickness or full thickness flap, depending on the specifics of the lesion and the surgeon's preference.",A handpiece should not be used to gain access to a hard tissue lesion as it may damage the tissue being removed.,,,C,
Which of the following factors should be considered when determining the management of jaw tumors?,Aggressiveness of the tumor.,Anatomic location of the tumor.,Size and rate of growth of the tumor.,Whether or not reconstruction is anticipated.,The patient's medical condition.,ALL of these factors should be considered when determining the management of jaw tumors.,,F,
Which of the following statements about soft tissue injuries is FALSE?,Skin that was abraded or cut should be protected from sun exposure for an extended healing period.,The depth of a soft tissue injury will affect the rate of healing but the length of a soft tissue injury will not affect the rate of healing.,Mucosa takes 4 - 7 days to heal.,Skin takes 5 - 10 days to heal.,Puncture wounds may become infected due to the introduction of bacteria to deep tissues through a small opening.,,,B,
Which of the following statements about the management of displaced teeth or roots is TRUE?,"If a root fragment is visible in the sinus just above the apex of the socket, judicious bone removal should be performed to allow retrieval of the fragment.",The mesiobuccal root of the maxillary first molar is the root that is most commonly displaced into the maxillary antrum.,"If a maxillary third molar is displaced into the infratemporal sinus and it is not easily retrievable, it should be left in place and removed in the future after fibrosis occurs.","If a root of a mandibular third molar is displaced into the floor of the mouth, a lingual split thickness flap should be developed to gain access to retrieve it.",CBCT examination is not useful in assessing the risk of displacing a root of a mandibular third molar into the floor of the mouth.,,,C,
Which of the following actions should be taken if a tooth or other object disappears into the pharynx?,The patient's head should be turned toward the surgeon with their mouth positioned downward to allow the object to move away from the pharynx.,The patient's head should be turned toward the surgeon with their mouth positioned upward to allow visualization of the object so that it may be removed.,"If the object cannot be accounted for, the Heimlich maneuver should be performed in case the object has entered the lung.","If the object cannot be accounted for, the surgeon should reach into the pharynx as far as they can to see if they can feel and retrieve the object.","If the object cannot be accounted for, bronchoscopy should be performed immediately in case the object has entered the lung.",,,A,
