title,PCOD II Final Exam (Spring 2019),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
"A 15 year old boy with cerebal palsy, living in a group home, came in with the following caries: 20-DO, 19-MO and 18-O. This patient would ideally be a good candidate for:",One appointment of quadrant dentistry,Three individual appointments- one for each tooth.,Four appointments in case all the work can not get done in 3 appointments,This can not be treated by a general dentist since it is a medically complex patient,,A,
A cervical lesion should be restored if it is:,Carious,Very sensitive,Causing gingival inflammation,All of the above,,D,
"A composite restoration is wider than the diameter of the light tip of the curing light. In this situation, the restoration is cured by:",Moving the tip over the surface for the required time,Placing the tip stepwise over each area and exposing each area for the required time,Positioning the tip far enough from the surface to illuminate the entire surface,Centering the tip on the surface and curing the entire restoration from this,,B,
A glass ionomer base is used for which of the following purposes?,Thermal insulator under amalgam restorations,Increases retention of composite restorations,Stimulates reparative dentin under metallic restorations,All of the above,None of the above,A,
A patient presents with pain. Clinical examination reveals a fractured amalgam restoration at the isthmus. This was most probably caused by.,Poor quality of amalgam,Poor condensation of the amalgam,Poor retention form of the cavity preparation,Poor resistance form of the cavity preparation,Failure to remove all decay prior to placement of the amalgam.,D,
A person weighs 150 pounds and has well equilibrated occlusion. How much stress can he/she exert on the posterior teeth ?,"12,000 - 24,000 PSI","12,000 - 24,000 MPa",125 - 150 lb,125 - 150 kg,,A,
A posterior restoration has been placed and equilibrated into perfect occlusion. The amount of stress exerted on the restoration by an opposing tooth cusp depends on:,the strength of the masseter muscle,the occlusal contact area of the opposing cusp on the restoration only,the total occlusal contact area of all the teeth in the patient's arch,a and b,a and c,E,
"A shade of a restoration appears to match the shade of the surrounding teeth when illuminated by the dental examination light, but does not match when illuminated with sunlight. This is referred to as:",color disparison,incandescence,metamerism,hue shift,none of the above,C,
Acid etching of enamel increases retention and adaptation of resin restorations by: A: Increasing surface area B: Conditioning the surface for better wetting C: Creating surface irregularities for better mechanical locking,A and B,A and C,B and C,All of the above,,D,
"After the dentist has completed an etching procedure on a Class III composite restoration, the preparation becomes contaminated with saliva. In response, the dentist should do which of the following?","Blow away the saliva with air, then proceed.","Rinse away the saliva with water, dry the preparation, and then proceed.","Wipe away the saliva with a cotton pellet, rinse the preparation with water, dry it with air, and then proceed.","Rinse away the saliva with water, dry the preparation with air, and then repeat the etching procedure.",,D,
Beveling the enamel margin of a composite resin preparation is accomplished in order to: A: Improve esthetics B: Improve wettability of the surface during bonding C: Smooth the enamel and cavosurface margins D: Expose the ends of the enamel rods for acid attack,A and C,A and D,B and C,B and D,C and D,B,
Calcium hydroxide is used as a liner under a composite restoration to:,act as an antimicrobial agent,protect the pulp against chemical irritation,stimulate secondary dentin,all of the above,none of the above,D,
Ceramic materials are non-metals typically composed of ___________:,metallic carbides,metallic oxides,non-metallic carbides,non-metallic oxides,none of the above,B,
Compressive strength measurements are useful when comparing:,wear resistance of restorations against natural tooth structure,stiffness of restorative materials in function,bond strength of restorative materials to tooth structure,restorative materials resistance to crushing forces,none of the above,D,
Doing the gold standard of dental care is always the best care and proper thing to do for your patient.,True,False,,,,B,
"During the bonding procedure, the “hybrid layer” refers to:",the zone of bonding agent penetrating the smear layer in dentin,the zone of bonding agent penetrating the collagen in dentin,the zone of bonding agent penetrating the etched enamel,the zone of bonding agent bonding to the composite,none of the above,B,
External stain of a composite restoration due to heavy smoking is an example of:,absorption,imbibition,cessation,wetting,none of the above,A,
Factors that can influence a person's perception of color of an object include:,the color of adjacent objects,color adaptation,psychological associations,a and c,all of the above,E,
Fluorescence can contribute to the overall perception of a shade when a tooth/restoration is illuminated with:,sunlight,UV “black” light,Incandescenlight,A and B,All of the above,D,
"Hue, value and chroma are three attributes of color according to:",the CIE-Lab System,the Munsell System,the Vita Lumin System,none of the above,,B,
In order to remove excess mercury from an amalgam restoration you must:,mix in the amalgamator for the proper time and speed,condense with high pressure,overbuild by at least 1 mm,all of the above,none of the above,D,
Many factors affect tooth/cavity preparation. Which of the following would be the LEAST important factor?,Extent of the defect,Size of the tooth,Fracture lines,Extent of old material,,B,
Neuological changes in humans are not detected below urine levels of mercury of _______.,2.5 mg/L,4.0 mg/L,50 mg/L,500 mg/L,4000 mg/L,D,
Properly trimmed wooden wedge will do each of the following EXCEPT one. Which one is the EXCEPTION?,Protect gingival tissue.,Provide space for the matrix band.,Prevent overcontouring of the contact area.,Reduce moisture leakage into the cavity preparation,,C,
Restoring the proper proximal contact results in all of the following except one. Which one is the exception?,Reduction and elimination of food impaction at the interdental papilla,Provides appropriate space for the interdental papilla,Provides increased retention form for the restoration,Maintenance of the proper occlusal relationship,,C,
Some reasons to use temporary filling materials include: A: Arrest decay in patients with rampant caries B: When there is pulpal sensitivity requiring determination of pulpal vitality C: Insufficient time to complete final restoration,A and B,B and C,A and C,All of the above,,B,
The amount of elastic deformation of a three-unit bridge under an occlusal load:,depends on the modulus of elasticity of the material,depends on the ultimate tensile strength of the material,depends on the toughness of the of the material,depends on the elongation of the material,all of the above,A,
The axio-pulpal line of a MOF preparation on tooth #3,Must be rounded on the mesial portion only.,Must be rounded on the facial portion only.,Must be rounded the full length of the axio-pulpal line angle.,Does not need to be rounded at all.,,C,
The clinical performance of a restorative material depends on:,its chemical and physical properties,its composition and microstructure,the manner in which it is placed by the dentist,a and b only,all of the above,E,
The generally accepted maximum thickness of a composite increment that allows for proper cure is _____.,1 to 2 mm,2 to 4 mm,4-6 mm,There is no maximum thickness restriction,,A,
The material of choice for restoring a patient's cervical lesion is:,Amalgam,Composite resins,Glass ionomer,Indirect resin inlay,,C,
The most important attribute to match in determining the shade of a tooth is:,Hue,Value,Chroma,All the above,,B,
The most important part of the placement procedure to insure good contacts for a Class II amalgam restoration is to:,condense with high pressure,place a wedge,use amalgam within one minute after mixing,place the matrix band at least 1 mm higher than the adjacent marginal ridge,"condense the amalgam in the proximal box up to the gingival floor, then loosen the band ¼turn before proceeding",E,
The primary reason that a light cured composite restoration should not be built up in layers greater than 2 mm in thickness is:,the wear resistance will decrease if built up in thicker layers,the composite may shrink excessively if it is built up in thick layers,the composite may not cure thoroughly in thicker layers,the composite will be more difficulty to polish,all of the above,C,
The restoration in the above example has a high spot. The amount of stress exerted on the restoration by an opposing tooth cusp depends on:,the strength of the masseter muscle,the occlusal contact area of the opposing cusp on the restoration only,the total occlusal contact area of all the teeth in the patient's arch,a and b,a and c,D,
The restoration on tooth #19 has an overhang on the distal aspect. The dentist MOST likely failed to do which of the following?,To use a matrix,To place a wedge properly,To prepare a flat gingival floor,To use appropriate condensation force,,B,
The tensile strength of the bond between a composite and enamel is:,equal to the tensile strength of the enamel,around 3 times the tensile strength of the enamel,around 1/3 of the tensile strength of the enamel,around 1/10 of the tensile strength of the enamel,none of the above,C,
The use of rubber dam is best indicated for,Adhesive procedures,Quadrant dentistry,Teeth with challenging preparations,Difficult patients,All of the above,E,
This tooth is prepared as a Class II preparation:,You will document it as an MO.,You will document it as a M.,You will document it as a DO.,You will document it as a D.,,A,images/pcod2-final-spring-2019/fig39.jpeg
"To ensure better thermal and protective insulation of the pulp during a capping procedure, calcium hydroxide should be:",Applied in thickness of 3.0mm,Placed in the entire cavity preparation,Covered with a stronger base,Proceeded by application of a cavity varnish,Preceeded by an application of zinc oxide cement,C,
"To remain stable, a rubber dam clamp must contact the anchor tooth gingival to the height of contour. Which of the other criterion must the clamp satisfy?",All four points must be sharp,All four points must contact the tooth.,The bow must be directed to the distal side of the tooth.,,,B,
What is the purpose of a wax up?,To assess the final restoration,To ensure patient satisfaction,To verify occlusal scheme,Two of the above,All of the above,E,
"When dissimilar metals come in contact in the oral environment, the patient may experience a “shock”. This is referred to as:",an exothermal shock,an endodontic shock,an intraoral shock,a galvanic shock,a transcendental shock,D,
"When preforming a procedure requiring selection of a shade, ideally the selection should be made prior to placement of a rubber dam. However, if a grey- colored dam is utilized, then shade selection may be made subsequent to placement of a rubber dam.","The first statement is true, the second is false","The first statement is false, the second is true",Both statements are true,Both statements are false,,A,
