title,Ethics Final Exam (Summer 2020),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"Most adults have solid, well-founded ethical beliefs that can be changed only by new evidence or reasoned arguments.",TRUE,FALSE,,,,,,B,
"Most of us tend to be overly confident in our own morality, which can lead us to make ethical decisions without being sufficiently reflective.",TRUE,FALSE,,,,,,A,
"When people answer ethical questions spontaneously, they tend to be more deontological (rule-based) in their responses (""Thou Shalt Not Kill""). With more reflection, they tend to take a more utilitarian (consequences-based) approach (taking one life to save many).",TRUE,FALSE,,,,,,A,
Physicians and dentists are required to conduct informed consent discussions with patients prior to performing medical procedures so that patients may make informed decisions about their care. This is most consistent with which one of the following ethical principles?,Autonomy,Beneficence,Non-Maleficence,Justice,Veracity,,,A,
Several concepts and associated values-based statements are listed below. Which of these was not included in the ADEA Statement on Professionalism in Dental Education as a concept that defines professionalism in dental education?,"Competence - Acquiring and maintaining the high level of special knowledge, technical ability, and professional behavior necessary for the provision of clinical care to patients and for effective functioning in the dental education environment.",Fairness - Demonstrating consistency and even-handedness in dealings with others.,"Integrity - Being honest and demonstrating congruence between one’s values, words, and actions.",Responsibility - Being accountable for one’s actions and recognizing and acting upon the special obligations to others that one assumes in joining a profession.,Respect - Honoring the worth of others.,"Service-mindedness - Acting for the benefit of the patients and the public we serve, and approaching those served with compassion.",Profitability - Acquiring and maintaining the high level of special knowledge and technical ability necessary to earn the income a professional deserves.,G,
The argument can be made that social distancing may be seen as both a public health measure and an economic strategy to stop the long-term effects of the spread of COVID-19.,TRUE,FALSE,,,,,,A,
Consider the following two statements: I. The level of financial gain to the dentist must never be a consideration in any of the dentist’s professional recommendations to patients regarding treatment options. II. A dentist may offer a patient several treatment options at different price levels so that the patient can choose what works for them. All treatment options given must be acceptable treatments.,I is TRUE and II is FALSE.,I is FALSE and II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,C,
Which of the following statements about Paternalism is FALSE?,Paternalism is literally to act as a father (or parent).,Paternalism is consistent with the ethical principle of patient autonomy.,"If a dentist decides to withhold information from a competent patient in order to unduly influence the patient, this is consistent with paternalism.",,,,,B,
Which of the following is NOT a valid reason for a dentist to refrain from providing treatment?,The dentist does not have the expertise or capability to provide competent treatment or to meet patient expectations.,"The dentist’s professional ability is impaired from injury, illness, or disability.",The dentist’s professional ability is impaired from substance use.,The patient demands treatment that is clearly contrary to the patient’s best interests.,The patient is HIV+ and the dentist is afraid of the risk of becoming infected.,,,E,
Members of marginalized minority and immigrant communities are at increased risk of contracting COVID-19 and often do worse with the disease. Which of the following factors does NOT contribute to this increased risk?,Members of these communities often live in poverty.,Members of these communities often have two or more coexisting medical conditions.,Members of these communities often reside in conditions that impede social distancing.,Members of these communities often are employed in frontline jobs that cannot be done remotely.,All of these factors put members of these communities at increased risk.,,,E,
Which of the following statements is FALSE?,Arguments are being made that police violence and racism should be considered public health issues.,Racial biases have affected our responses to past and present public health issues in the United States.,The racially biased response to cocaine use in the United States in the 1970’s was a driver of the racial disparities in incarceration that persist today.,Arguments are being made that mass shootings and gun violence should be considered public health issues.,Structural racism in the United States has not played any role in public health issues.,,,E,
Which of the following is NOT an example of cheating/unethical practice by dental students?,Delaying treatment for a condition that may progress until the student is ready to do their competency examination for that procedure.,Hoarding materials a student may need in their locker to make sure that they are available when the student needs to use them.,"Doing a procedure the student is required to perform to a patient who does not need the procedure without informing the patient, since the procedure does not harm the patient.",Delaying treatment for a condition that may progress until the student is able to use it for their licensing examination.,All of these statements describe cheating/unethical practice by dental students.,,,E,
Which of the following actions are dental faculty members NOT ethically obligated to perform?,Sponsor students financially to participate in dental mission trips.,Stay current with their knowledge.,Be aware of and model ethical principles.,Maintain confidentiality of a student’s disclosures.,"Provide criteria-based, constructive, and honest evaluations of student performance.",,,A,
Which of the following statements is FALSE?,Precise faculty calibration will help to minimize subjective grading when evaluating student performance in the simulation laboratory.,Use of carefully constructed rubrics will help to minimize subjective grading when evaluating student performance during patient care in the dental clinic.,A combination of faculty calibration and use of carefully constructed rubrics will be successful in totally eliminating subjective grading when evaluating student performance.,None of these statements is FALSE.,,,,C,
Which of the following statements regarding the American Dental Association Principles of Ethics and Code of Professional Conduct is TRUE?,Ethical principles are unchanging so the American Dental Association Principles of Ethics and Code of Professional Conduct does not require updating.,All dentists are legally required to abide by the American Dental Association Principles of Ethics and Code of Professional Conduct and can be prosecuted in court for any non-compliance.,The American Dental Association Principles of Ethics and Code of Professional Conduct discusses obligations arising from an implied contract between the dental profession and society.,The American Dental Association Principles of Ethics and Code of Professional Conduct does not have any implications for dental students as they are not yet dentists.,The American Dental Association Principles of Ethics and Code of Professional Conduct applies only to a dentist when involved with the patients in his/her practice and does not cover any issues that do not apply to these specific patients.,,,C,
"Legally and ethically, the autonomy of the dentist supersedes the autonomy of the patient.",TRUE,FALSE,,,,,,B,
"The principle of patient autonomy, as described in the American Dental Association Principles of Ethics and Code of Professional Conduct, covers all the following situations, EXCEPT:",The patient’s right to request and obtain their medical/dental records.,The dentist’s obligation to maintain patient confidentiality.,Patient involvement in decisions regarding their treatment.,"The patient’s right to obtain narcotic painkillers if they request them after a procedure, even if the dentist does not feel they are medically necessary.",The right of a minor patient to prevent their healthcare provider from disclosing information to their parents in certain circumstances.,,,D,
"The ethical principle of non-maleficence, as described in the American Dental Association Principles of Ethics and Code of Professional Conduct, obligates the dental provider to do all the following, EXCEPT:",Keep their knowledge and skills current.,Refer a patient to another provider when they are unable to provide the patient with the necessary care at the appropriate level of competence.,Properly utilize and supervise auxiliary personnel involved in patient care.,"Adhere to current and appropriate patient care guidelines regarding COVID-19, even though this code was written prior to COVID-19.",All these statements describe obligations of dentist related to the ethical principle of nonmaleficence.,,,E,
