title,PCOD II Quiz 2 (Spring 2017),pcod2,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
External stain on a tooth due to heavy smoking can be due to:,abrasion,refraction,corrosion,galvanism,adsorption,E,
Which of the following is an example of “passivation”?,Silver oxide corrosion layer on amalgam restorations,Low thermal conductivity in non-metals,Sedation of a toothache with eugenol,Chrome oxide surface layer on RPD alloys,Recovery to initial dimension after release of stress,D,
Which of the following restorative materials has a compressive strength approximately equal to the compressive strength of tooth enamel?,amalgam,composite,glass ionomer,cast gold,IRM,A,
The elastic modulus is a measurement of:,the stress to force ratio of a material in the elastic range of the stress-strain curve,the slope of the stress-strain curve above the proportional limit,the percent elongation of the material,the slope of the stress-strain curve below proportional limit,toughness of the material,D,
The amount of force exerted on a restoration by an opposing tooth cusp depends on:,the occlusal contact area of the opposing cusp on the restoration,the strength of the masseter muscle,the size of the cusp,the strength of the restoration,the resiliency of the restoration,B,
Tensile strength measurements are useful when evaluating:,wear resistance of restorations against natural tooth structure,stiffness of restorative materials in function,bond strength of restorative materials to tooth structure,resistance of restorative materials to occlusal crushing forces,tension of the masseter muscle,C,
What clinical property does “percent elongation” relate to?,the burnishability of the margins of a gold crown,the length of a three-unit bridge,the toughness of a three-unit bridge,the clinical longevity of a restorative material expressed in percent,the percent of clinical failures of a restorative material,C,
How much muscular force can an average adult exert on their posterior teeth?,125 - 150 MPa,125 - 150 kgs.,125 - 150 PSI,125 - 150 lbs.,125 - 150 grams,D,
The clinical performance of a restorative material depends on:,its chemical and physical properties,its composition and microstructure,the manner in which it is placed by the dentist,a and b only,all of the above,E,
"When a material is being considered for the restoration of a large occlusal area of a second molar, a major consideration should be its:",tensile strength,shear strength,compressive strength,percent elongation,flexural strength,C,
The tensile strength of the bond between a composite restoration and tooth enamel is:,equal to the tensile strength of the enamel,around 3 times the tensile strength of the enamel,around 1/3 of the tensile strength of the enamel,around 1/10 of the tensile strength of the enamel,around 10 times the tensile strength of the enamel,C,
Which of the following physical and chemical properties can affect abrasive wear of a restoration?,hardness,thermal expansion,passivation,compressive strength,elastic modulus,A,
A glass ionomer hardens primarily by what mechanism?,acid-base reaction,polymerization reaction,gelation,hydrogen bonding,evaporation,A,
In which of the following clinical situations would a conventional glass ionomer be the material of choice as a restorative material?,Root surface Class V restorations.,Restoration of deciduous teeth in a pediatric patient with rampant caries.,Restoration of large occlusal caries in an adult.,a and b,all of the above,D,
Which of the following has the most amount of fluoride release?,resin modified glass ionomer,glass ionomer,compomer,flowable composite,hybrid composite,B,
