title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2022),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements about diagnoses is TRUE?,A surgeon should always know the definitive diagnosis prior to performing any surgical procedure.,"If a surgeon has no clue as to what a patient's diagnosis is, they should still perform a surgical procedure.","If a surgeon does not know the definitive diagnosis prior to performing a surgical procedure, they should develop a differential diagnosis including potential diagnoses.",The same treatment should always be performed for the same diagnosis.,A good surgeon can look at a pathologic lesion in a patient's mouth and know exactly what it is.,,,C,
"All of the following are reasons that a dentist may obtain an inaccurate history, EXCEPT:",The patient has low health literacy.,The patient may be able to realize secondary gain by withholding or providing inaccurate information.,The patient is withholding information that they may be embarrassed by because they feel the dentist does not need to know that information.,The patient is a poor historian.,The patient and dentist are not fluent in the same language.,All of the above statements are reasons that a dentist may obtain an inaccurate history.,,F,
Consider the following two patients. F. 56 year-old female who had a hysterectomy 2 years ago and is hypothyroid following thyroidectomy for thyroid cancer. M. 56 year-old male who ran marathons up until 8 months ago when he had 2 stents placed when he had a heart attack. What ASA classification would you assign to each patient:,F = ASA II and M = ASA III.,F = ASA III and M = ASA IV.,F = ASA III and M = ASA III.,F = ASA IV and M = ASA IV.,F = ASA III and M = ASA II.,F = ASA II and M = ASA IV.,,A,
Which of the following statements about disturbances in hemostasis is FALSE?,"If a patient has a significant bleeding episode following a surgical procedure, the surgeon did not necessarily make an error in judgement or technique.",NSAIDS may cause coagulation problems following a surgical procedure but acetaminophen will not.,"Once a patient has been diagnosed with a hemophilia or quantitative platelet disorder, their bleeding risk remains constant, unless some corrective treatment is provided.",DDAVP and corticosteroids can both be effective in elevating blood levels of a patient's coagulation factors and platelets.,"Medical personnel should always be suspicious that patients with prosthetic heart valves, atrial fibrillation, DVT's (deep vein thromboses), and PE's (pulmonary emboli), and patients following coronary artery stenting are anti-coagulated and thus have an increased bleeding risk.",,,C,
Which of the following statements is TRUE?,A patient on a target specific anticoagulant should have blood tests prior to a planned extraction to check if their INR is 2.5 or below and the extraction can be done.,A patient on a target specific anticoagulant should have blood tests prior to a planned extraction to check if their INR is 4.0 or below and the extraction can be done.,"Although INR monitoring is mandatory for patients on target specific anticoagulants so that their medication dose can be adjusted as needed, this monitoring is often done at less frequent intervals than for patients on warfarin.","The target INR for all patients is the same, even if they are being anticoagulated for different conditions.",NONE of these statements is TRUE.,,,E,
Which of the following statements about “bridging” is TRUE?,This technique is useful for minimizing the risk to a patient on warfarin if their anticoagulation needs to be interrupted for a procedure.,This technique involves stopping the patient's anticoagulation for 10 days both before and after the procedure.,This technique is useful for patients with a low clotting risk who will be undergoing a low bleeding risk procedure.,"During bridging, a patient should never be on two anticoagulants at the same time.",An advantage of this technique is that no blood tests need to be performed.,,,A,
Which of the following statements about vaso-vagal syncope is FALSE?,Dental providers should be knowledgeable about the prevention of vaso-vagal syncope as this occurrence makes up approximately 50% of all medical emergencies that occur in the dental office.,"When vaso-vagal syncope occurs, blood pressure decreases and heart rate increases.",Pre-operative hydration can be helpful in preventing vaso-vagal syncope.,Supplemental oxygen delivery can be helpful in preventing vaso-vagal syncope.,Physiological and psychologic factors can both contribute to the occurrence of vaso-vagal syncope.,,,B,
Which of the following conditions does NOT put patients at increased risk of infection?,Hyperthyroidism.,Alcohol abuse.,End stage renal disease.,Hematologic malignancies.,Chemotherapy.,,,A,
Which of the following statements about diabetic patients is FALSE?,"Compared to non-diabetic patients, both well-controlled and poorly-controlled diabetics have an increased risk of infection.","Compared to non-diabetic patients, infections are more difficult to control in both well-controlled and poorly-controlled diabetics.",Insulin doses should be adjusted based on pre-op intake for diabetics undergoing oral surgical procedures.,Insulin doses should be adjusted based on anticipated post-op intake for diabetics undergoing oral surgical procedures.,Mild-moderate hyperglycemia is preferred over hypoglycemia in diabetics in the peri-operative period.,,,A,
Which of the following statements about antibiotic prophylaxis is FALSE?,Bacteremia resulting from surgical manipulation during oral surgery can cause bacterial seeding of a damaged native or prosthetic valve resulting in subacute bacterial endocarditis.,"If a patient already on antibiotics requires antibiotic prophylaxis prior to an oral surgical procedure, an antibiotic from another class should be used to reduce the risk from resistant organisms.",Prophylactic antibiotics are generally not recommended prior to oral surgical treatment to prevent prosthetic joint infection.,Patients with immunocompromising medical conditions or joint replacement complications may require prophylactic antibiotics prior to oral surgical treatment to prevent prosthetic joint infection.,None of these statements is FALSE.,,,E,
Which of the following statements about adrenally suppressed patients is FALSE?,Complex prolonged surgery may cause adrenal crisis in adrenally suppressed patients.,Adrenally suppressed patients undergoing most dental procedures do not require supplemental steroids.,"If a surgical procedure requires steroid supplementation for a patient on steroids at the time of surgery, additional doses of steroids should be given on the day before surgery, the day of surgery, and the day following surgery.","If a patient was on 10 mg or more of hydrocortisone for 1 week or more within the previous year and they are undergoing a procedure that would require steroid supplementation, steroids should be given in increasing doses for 2 weeks beginning the day before the surgery.","If adrenal crisis develops in an adrenally suppressed patient, symptoms may include hypotension, increased pulse, syncope, nausea, and fever.",,,D,
Which of the following is NOT a sign of a cerebrovascular accident?,"Loss of balance, headache, or dizziness.",Blurred vision.,One side of the face is drooping.,Arm or leg weakness.,Speech difficulty.,Shortness of breath.,,F,
Which of the following statements about treating infected teeth is FALSE?,"If a dentoalveolar abscess arises from pulpal involvement of a tooth, the surgeon must wait for complete resolution of the infection prior to extracting the tooth.",The most rapid resolution of an acute dentoalveolar infection caused by pulpal involvement of a tooth will be achieved by extraction of that tooth.,Trismus from an infected tooth may complicate extraction of the tooth.,Tooth related infection may make it more difficult to achieve adequate local anesthesia for extraction.,Extraction of an impacted third molar in the presence of severe pericoronitis is accompanied by an increased incidence of complications.,,,A,
Consider the following radiographs showing primary teeth requiring extraction. Which accompanying statement is FALSE?,The mandibular left primary second molar seen in this radiograph may be difficult to extract because it is submerged and potentially ankylosed.,"The mandibular right primary second molar seen in this periapical radiograph may be difficult to extract because it has been root canal treated, has a large restoration, and has not had any resorption of its roots.",The mandibular left primary first and second molars seen in this periapical radiograph should be easy to extract because the roots appear to be significantly resorbed.,The mandibular right primary second molar seen in this periapical radiograph may be difficult to extract because the mesial root is thin and has not had any resorption of its length.,"The mandibular right primary second molar seen in this periapical radiograph may be difficult to extract because it has widespread roots and if extraction necessitates sectioning of the tooth, the succedaneous premolar tooth bud is at risk of being damaged.",,,C,images/omfs-midterm-spring-2022/fig14.jpeg
Consider the periapical radiographs below and the statements that follow: EXTERNAL RESORPTION INTERNAL RESORPTION Statement I: Extraction of the tooth undergoing external resorption may be difficult as the tooth may be prone to fracture. Statement II: Extraction of the tooth undergoing internal resorption may be difficult as the tooth may be prone to fracture. Which of the following statements is CORRECT?,Only I is TRUE.,Only II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,C,images/omfs-midterm-spring-2022/fig15.jpeg
You are extracting a mandibular second premolar. You have achieved adequate mobility of the tooth with a straight elevator. You are now using a 151 forceps but cannot complete the extraction because the beaks keep sliding around on the tooth. Which of the following statements is INCORRECT?,"You are using a forceps designed for maxillary teeth and should switch to a 150 forceps which, unlike the 151 forceps, is designed for extracting mandibular teeth.",An Ash forceps may be more effective as the beaks may grasp the tooth more effectively.,Adjusting the beaks of the forceps so that they are seated as apically as possible may be helpful.,Adjusting the beaks of the forceps so that they are better seated along the long axis of the tooth may be helpful.,All of these strategies may be helpful.,,,A,
Consider the following statements: I. Tooth and/or bone fragments or debris left at the surgical site may result in post-operative infection. II. Surgical handpieces blow air into the surgical field to clear the field of tooth and/ or bone fragments and debris that result from drilling into teeth or bone. Which of the following statements is CORRECT?,Only I is TRUE.,Only II is TRUE.,I and II are both TRUE.,I and II are both FALSE.,,,,A,
Which of the following statements describing the use of a scalpel to make an incision is FALSE?,"When making an incision with a scalpel, mobile tissues should be stabilized.","The mucosa, submucosal tissues, and periosteum should each be incised in a separate cutting motion.",A “pen grasp” should be used to maintain maximum control.,A “15 blade” is most commonly used for oral surgical procedures.,None of these statements are FALSE.,,,B,
Which of the following instruments CANNOT be used for bone removal?,Surgical handpiece and bur.,Rongeur.,Chisel.,Bone file.,All of these instruments can be used for bone removal.,,,E,
