title,Cariology Final Exam (Spring 2022),cario,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Your patient suffers from xerostomia and you recommend a remineralizing toothpaste. Which of the following is the best one to prescribe since it is only activated by an acidic challenge?,ACP,CPP-ACP,CSP,TCP,,,,B,
Dental products need what percentage of Xylitol to have therapeutic effects?,10%,20%,25%,50%,,,,A,
The main mechanism of action of Carbonic Anhydrase in saliva is to:,Make a bacteriostatic agent coupled with Hydrogen Peroxide,Break down Carbonic Acid into Carbon Dioxide and Water,Break down Carbonic Acid into Lysozyme and Water,Combine bicarbonate with hydrogen to form Carbonic Acid,,,,B,
Carbonated Apatite does not demineralize until the pH drops below:,6.5,4.5,3.5,5.5,,,,D,
CPP-ACPF is not recommended for which group(s) of people?,For patients with xerostomia and low salivary flow,During Pregnancy and for Children under age 6,For patients with white spot lesions or discoloration,It is safe for all types of patients and all ages,,,,B,
Which of the following remineralizing agents causes cell lysis due to an influx of sodium and calcium?,Novamin,Recaldent,ACP,TCP,,,,A,
Which statement best describes Triclosan?,Triclosan interferes with lipid synthesis and is bactericidal at low concentrations.,Triclosan inhibits glucan synthesis and is bacteriostatic at low concentrations.,Triclosan interferes with lipid synthesis and is bacteriostatic at low concentrations.,Triclosan inhibits glucan synthesis and is bactericidal at low concentrations.,,,,C,
Which of the following statements is true?,Oscillating powered toothbrushes are superior to Side-To-Side powered toothbrushes.,Oscillating powered toothbrushes are inferior to Side-To-Side powered toothbrushes.,Neither oscillating nor side-to-side toothbrushes show evidence of superiority.,,,,,C,
The bottled waters that were studied as part of a research article showed:,The fluoride concentration in most of the bottled waters was sufficient for caries prevention.,The fluoride concentration in most of the bottled waters was insufficient for caries prevention.,They were superior in preventing caries compared to community fluoridated water.,,,,,B,
The initial adhesion phase of oral biofilm development consists of:,A reversible adhesion made up of planktonic gram-positive bacteria.,An irreversible adhesion made up of planktonic gram-positive bacteria.,A reversible adhesion made up of sessile gram-negative bacteria.,An irreversible adhesion made up of sessile gram-negative bacteria.,,,,A,
"The appearance when bacteria adhere to previously attached cells in plaque biofilm, forming complex aggregations is known as:",Cucumber / Filament Fiber,Corn-Cob / Bristle Brush,Carrot / Cord Combo,,,,,B,
Quorum Sensing is part of which biofilm component?,Bacteria Micro-Colonies,Exopolysaccharide Structure,Primitive Communication System,Fluid Nutrient Channel,,,,C,
"When there is an excess supply of glucose/sucrose, Mutans Streptococcus produce:",Acetic Acid,Lactic Acid,Formic Acid,Carbonic Acid,Both A and C,,,B,
"Non-Active, non-cavitated white spot lesions have the following trait(s):",Appear shiny under air,Are dull and chalky in appearance,Should be immediately restored with a restoration,Usually are symptomatic,,,,A,
The pH at which saliva cease to be saturated with calcium and phosphate is termed the:,Crucial pH,Critical pH,Vital pH,Key pH,,,,B,
Which combination of agents will cause the most teeth staining?,"Cetylpyridinium Chloride, Chlorhexidine, Stannous Fluoride","Cetylpyridinium Chloride, Chlorhexidine, Sodium Monofluorophosphate","Cetrimide, Chlorhexidine, Stannous Fluoride","Cetrimide, Cetylpyridinium Chloride, Sodium Monofluorophosphate",,,,A,
Which of the following remineralizing agents has a substantivity of 7 days and RDA value of 104?,ACP,CPP-ACP,CSP,TCP,,,,C,
Pit and Fissure caries have which characteristics?,Least common carious lesion,Inverted V-Shape,Predominantly S. Sanguis,V-Shape,B and C,C and D,,E,
The surface zone in the enamel carious lesion:,Is the innermost zone (closest to DEJ) and appears structure-less,Is the outermost zone (furthest from DEJ) and appears unaffected,Is the largest of the zones,Is the area of greatest demineralization,,,,B,
Infected Dentin is:,Unable to be remineralized,Closer to the pulp than infected dentin,Teeming with bacteria,Has very little or no bacteria,Collagen cross linking is destroyed,"B, D, E","A, C, E",G,
Root caries are defined as:,U-Shaped lesion,Unable to be remineralized,Initial demineralization follows Sharpey's fibers,Main bacteria is Actinomyces viscosus,Main bacteria is Microbacterium terrae,"A, C, D","A, B, E",F,
Which of the following statements are true? Statement 1: Pit and Fissure caries have an Inverted V-Shape appearance radiographically. Statement 2: Smooth surface caries have a V-Shape appearance radiographically,Only statement 1,Only statement 2,Both statements,Neither statement,,,,C,
"Your patient has a ICDAS 5, RC 6, Extensive, Active Lesion. This can also be classified as a ______?",D1 Lesion,D3 Lesion,E1 Lesion,E0 Lesion,,,,B,
"Your patient has a ICDAS 5, RC 6, Extensive, Active Lesion. In addition, he also has a high caries risk. What treatment modality would you recommend?","SDF, Icon, Chlorhexidine for 30 days straight, do not restore lesion at this time.","Restore with a bioactive material, MI Paste Plus, Chlorhexidine for 7 days once per month, 3-4-month recare visits","Restore with an inert material, recare visits in 1 year",,,,,B,
Fluoride can enter the bacterial cell by binding with:,Hydrogen,Calcium,Phosphate,Magnesium,,,,A,
The inner affected dentin of a carious lesion is comprised of which zones:,"Turbid, Transparent, and Normal","Infected, Transparent, and Normal","Subtransparent, Transparent, and Normal","Infected, Turbid and Transparent",,,,C,
The radiographic appearance of a carious lesion that is in the outer third of dentin is characterized as a:,E1 Lesion,E2 Lesion,D3 Lesion,D1 Lesion,D2 Lesion,,,D,
The remineralization agent Recaldent should be avoided in patients with:,A silver allergy,A peanut allergy,A milk allergy,A lactose intolerance,,,,C,
What agent should be avoided in patients allergic to bee stings?,Propolis,Chlorhexidine,TCP,Fluoride,CSP,,,A,
Which of the following statements are true? Statement 1: CPP-ACPF penetrates about 19 microns (0.019mm) into healthy enamel Statement 2: ICON penetrates about 30 microns (0.03mm) into tooth structure. Statement 3: Silver combined with fluoride penetrates about 19 microns (0.019mm) into healthy enamel,Statement 1 only,Statement 2 only,Statements 1 and 2,All 3 statements,Statement 1 and Statement 3,,,C,
Silica is predominantly found as which component of toothpaste?,Abrasive,Binder,Humectant,Preservative,Surfactant,,,A,
