title,Intro to Clinical Dentistry Exam 3 (Spring 2018),icd,exam3
question,option_a,option_b,option_c,option_d,option_e,correct,image
All the following are correct in regard to positive percussion except:,Asymptomatic Periapical radiolucency.,Periodontal ligament inflammation.,High Occlusion.,Periodontal abscess,,A,
Pt presents to your office due to severe pain on LL with swelling. Patient's past medical history is significant for Pulmonary Embolism and is currently taking Coumadin. How should you proceed with this patient?,Discontinue exam immediately.,Request medical consult/Call physician.,clear the patient for treatment.,Find exact dosage of Coumadin and most recent INR.,,B,
"With irreversible pulpitis, your exam will show:",Periapical radiolucency.,Brief respond to endo ice.,No respond to endo ice.,Heightened respond to endo ice and lingering pain upon stimulus removal.,,D,
"Pt presents with pain and points to upper right side. All the teeth on UR responded normal to percussion, palpation and endo ice. Radiographic finding on UR was unremarkable. How should you proceed next?",Discharge patient since you weren't able to reproduce the symptoms on UR.,Prescription for antibiotic and pain medication should be given.,"Evaluate LR, Patient might be experiencing referred pain.",Continue repeating the exam.,,C,
What is pericoronitis?,Attachment loss of the gingiva,Inflammation of the gingival tissue surrounding the crown of a tooth.,Gingival manifestation of systemic condition.,Gingival overgrowth from medication side effect.,,B,
"Pt presents with pain on LL for the past week. However, patient is currently asymptomatic due to pain medication which he took about 2 hours ago. What should you do?",Send the patient home and ask him to return when he is symptomatic.,Perform detailed exam on LL and take radiograph on that area.,Begin removing restoration on the tooth that patient points to.,Disregard patient's chief complain and continue with other existing treatment plan.,,B,
Which of the following isn't an emergency situation?,Swelling.,Temporomandibular joint dislocation.,Broken Denture.,Bleeding upon brushing.,,D,
Which one of the following is the sign and symptom of reversible pulpitis?,Periapical radiolucency,Gross decay into pulp.,Positive response to palpation.,Brief discomfort to cold and air.,,D,
What is the most important factor in the management of medical emergencies?,Prevention,Preparation,Emergency Planning,Emergency Medications and Equipment,,A,
Which of the following medication(s) is used as a treatment for seizures?,Diazepam,Midazolam,Morphine,Oxygen,A and B,E,
Which of the following would be considered a differential diagnosis for acute onset chest pain?,Angina Pectoris,Dyspepsia,Hyperventilation,Gastric Ulcers,All of the above,E,
"All of the following are utilized in the management of hyperventilation, EXCEPT:",Provide the patient with oxygen,Have the patient breath in and out of a small bag,Provide reassurance,Consider administering a sedative,,A,
What position is the patient in?,Trendelenberg,Reverse Trendelenberg,Supine,Prone,,A,images/icd-exam3-spring-2018/fig13.jpeg
What is the most important item that should be available in all dental offices?,Oxygen,Suction,AMBU Bag,Handpiece,,A,
Atropine falls into which drug category?,Sympathomimetic,Vagolytic,Antihistamine,Analgesic,,B,
