title,Endodontics Final Exam (Spring 2023),endo,final
question,option_a,option_b,option_c,option_d,correct,image
Endodontic disease can create a periodontal defect which should resolve after successful endodontic treatment is performed.,True,False,,,A,
CBCT scans are better able to detect fractures while 2 dimensional radiographs are better at detecting periapical radiolucency's.,True,False,,,B,
"When instrumenting the mesial root of a mandibular molar, the least appropriate taper to use is:",02,04,06,08,D,
A yellow hand file is what size?,15,20,25,30,B,
A root fracture in the dentin can cause a periodontal pocket to form.,True,False,,,A,
An apico can be performed on a non-endo treated tooth when:,The canal appears to be completely calcified.,The patient is medically compromised.,When there isn't sufficient time to do non-surgical root canal treatment.,Never,A,
Teeth with recurrent decay and a failing root canal are usually the best candidates for apicoectomy:,True,False,,,B,
"Generally, if there is an obstruction in the canal which makes non-surgical root canal treatment difficult, apicoectomy can be an alternative option.",True,False,,,A,
"Regarding root canal anatomy, the law of symmetry applies to all teeth except which?",Maxillary premolar,Mandibular molar,Maxillary molar,Maxillary central incisor,C,
"When accessing a lower molar, it is prudent to always drill until you feel a drop into the pulp chamber.",True,False,,,B,
The maxillary canine almost always has 1 canal.,True,False,,,A,
Mandibular incisors almost always have 1 canal.,True,False,,,B,
The mesial root of a mandibular molar almost always has how many canals?,1,2,3,4,B,
There are some lower molars which can have 3 roots.,True,False,,,A,
When performing root canal treatment on which tooth would one have to be extra careful (more than the others) not to over-instrument or overfill at the apex?,Mandibular incisor,Mandibular 1st molar,Mandibular 2nd molar,Mandibular 1st premolar,C,
Dens Evaginatus are most associated with which teeth?,Mandibular premolars and maxillary incisors,Mandibular premolars and mandibular incisors,Maxillary premolars and maxillary incisors,Mandibular molars and maxillary incisors,A,
Dens Invaginatus are most associated with which teeth?,Maxillary central incisors,Maxillary lateral incisors,Mandibular premolars,Maxillary premolars,B,
Dens invaginatus and evaginatus have anatomical anomalies which make them more prone to becoming necrotic and requiring endodontic intervention.,True,False,,,A,
The diagnosis of a tooth with pulp polyp is usually pulp necrosis.,True,False,,,B,
External cervical root resorption is usually caused by an inflamed pulp.,True,False,,,B,
One would expect the pulp of a tooth with internal root resorption to be healthy.,True,False,,,B,
One of the possible treatments for external apical inflammatory root resorption is root canal therapy.,True,False,,,A,
"A 12-year-old presents with pain associated with tooth #30 tests, which tests non vital and has a periapical radiolucency associated with the mesial root. The treatment of choice is vital pulp therapy.",True,False,,,B,
The material of choice for vital pulp therapy is gutta percha.,True,False,,,B,
An 8-year-old presents with a crown fracture of tooth #8 which exposes a vital pulp with a pinpoint exposure. The patient is asymptomatic. The root is still forming. The treatment of choice is:,Apexification,Apexogenesis,Root canal therapy,Extraction,B,
Calcium hydroxide has many roles and is used in many ways. Which is not one of their uses?,Inter-visit medicament,Apexification,Obturation,Pulp capping,C,
"Affected dentin is usually moist, mushy, and easily removed by a spoon excavator.",True,False,,,B,
All infected and affected dentin is removed during an indirect pulp capping procedure.,True,False,,,B,
"Pulpotomy is when the pulp is removed from the entire canal, not just the pulp chamber.",True,False,,,B,
What is the primary irrigant used throughout root canal therapy?,Sodium hypochlorite,EDTA,Calcium hydroxide,Chloroform,A,
