title,GDA Final Exam (Summer 2017),gda,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Statement 1: A diploid cell has 2n or 46 total chromosomes. Statement 2: A gamete is a diploid cell.,Statement 1 is True. Statment 2 is True.,Statement 1 is False. Statement 2 is False.,Statement 1 is True. Statement 2 is False.,Statement 2 is False. Statement 2 is True.,,,C,
The plane of reference identified in the figure by the DASHED LINE is the median plane.,True,False,,,,,B,images/gda-final-summer-2017/fig2.jpeg
Statement 1: The endoderm gives rise to the linings of the respiratory tract. Statement 2: The ectoderm gives rise to the skeletal muscle and central nervous system (CNS).,Statement 1 is True. Statement 2 is True.,Statement 1 is False. Statement  is False.,Statement 1 is True. Statement 2 is False.,Statement 1 is False. Statement 2 is True.,,,C,
One adult derivative of the third aortic arch is the common carotid artery.,True,False,,,,,A,
Which of the following is the adult analogue of the sixth aortic arch?,Ductus arteriosus,Maxillary arteries,Right Subclavian,"Nothing, the arch involutes",,,A,
Which of of the following statements is not true regarding Pharyngeal Arch 1?,Pharyngeal Arch 1 is innervated by the trigeminal nerve.,Meckel's cartilage is derived from Pharyngeal Arch 1.,The muscles of facial expression are derived from Pharyngeal Arch 1.,Pharyngeal Arch 1 splits into the maxillary and mandibular prominences.,None of the above.,,C,
Which two pharyngeal arches have parts of the hyoid as their adult derivative?,Arch 2 and Arch 3,Arch 3 and Arch 4,Arch 2 and Arch 4,Arch 4 and Arch 6,,,A,
Both the glossopharyngeal and hypoglossal nerves are involved in the sense of taste.,True,False,,,,,B,
"Fill in the blanks: The function of the _______ nerve is sight, while the function of the ________ nerve is downward and inward eye movement.",Optic; Oculomotor,Optic; Trochlear,Optic; Trigeminal,Abducens; Optic,,,B,
Which of the following pharyngeal pouches have an adult derivative of the the thymus?,Pouch 1,Pouch 2,Pouch 3,Pouch 4,,,C,
Which of the following is not true regarding the thyroid gland.,The thyroid gland is not derived from the pharyngeal apparatus.,The thyroid forms from mesoderm from the floor of the pharynx.,Pharyngeal Puch 4 gives rise to the C-cells of the thyroid.,The thyroid and the and the tongue are connected during embryonic development by the thyroglossal duct.,,,B,
A child with a cleft described as Veau Classification Group II has clefting of the hard and soft palate only.,True,False,,,,,A,
"During adolescence, it is the head the increases most rapidly in size.",True,False,,,,,B,
Statement 1: The growth spurt in girls peaks at about 9cm per year at age 14. Statement 2: The onset of puberty is caused by the release of pituitary gonadotropins released from the thymus.,Statement 1 is True. Statement 2 is True.,Statement 1 is True. Statement 2 is False.,Statement 1 is False. Statement 2 is False.,Statement 1 is False. Statement 2 is True.,,,C,
Which of the following is not consistent with growth and changes to the face that occur during adolescence?,Increased brow prominence,Increased chin prominence,Face becomes more convex,Increased prominence of the nose,,,C,
Sinuses that are not symmetric are usually a sign of pathology.,True,False,,,,,B,
The child shown in the photo can be classified as a bilateral incomplete cleft.,True,False,,,,,B,images/gda-final-summer-2017/fig17.jpeg
Name the part of the mandible shown in red in the figure provided.,Condyle,Coronoid proces,Ramus,Angle,,,B,images/gda-final-summer-2017/fig18.jpeg
An individual with a squarer face will have a gonial angle of more than 130 degrees.,True,False,,,,,B,
Statement 1: An individual with maxillary prognathism has a maxilla that protrudes forward of the normal limits of the face. Statement 2: In an individual with bimaxillary retrognathism both the maxilla and the mandible are anterior to the normal limits of the face.,Statement 1 is True. Statement 2 is True.,Statement 1 is False. Statement 2 is False.,Statement 1 is True. Statement 2 is False.,Statement 1 is False. Statement 2 is True.,,,C,
Adolescents tend to face more traumatic injury to teeth than other age groups because they participate in more athletic activities and are more likely to have intraoral and perioral piercings.,True,False,,,,,A,
"When planning treatment for the geriatric patient, which of the following factors should not be considered?",Existing restorations,Pharmacologic treatment,Financial ability of the patient,Transportation to the appointments,None of the above,,E,
Abrasion of teeth comes from tooth to tooth wear when a patient has a grinding or clenching habit.,True,False,,,,,B,
A patient presents to your office with a 40 year history of sucking on lemons daily. The wear to his teeth would be classified as which of the following?,Attrition,Abrasion,Abfraction,Erosion,,,D,
Which of the following is a change in the teeth that you would expect to find in geriatric patients?,Greater responsiveness to pulp testing,Decreased suseptibility for root caries,Darker and more yellow appearance of teeth,Thinner cementum,,,C,
"Gustatory function (taste) in geriatric patient becomes impaired, while olfaction (smell) stays intact.",True,False,,,,,B,
Which of the following is not a consequence of an atrophic mandible?,Increased risk of jaw fracture,Difficulty with denture wear,Mandibular canal and mental foramen move closer to the border of the mandible,None of the above,,,D,
The patient shown in the figure is suffering from denture stomatitis.,True,False,,,,,B,images/gda-final-summer-2017/fig28.jpeg
Identify the structure that is circled in the provided dental histology slide.,Bud of the permanent tooth,Dental lamina,Inner enamel epithelium,Dental papilla,,,A,images/gda-final-summer-2017/fig29.jpeg
During what stage in tooth development does the predentin begin to calcify into dentin?,Cap stage,Bud stage,Bell stage,,,,C,
Maxillary teeth generally erupt before mandibular teeth and girl's teeth generally erupt before boy's teeth.,True,False,,,,,B,
Choose the incorrect statement regarding eruption patterns.,Eruption of the deciduous teeth generally occurs between 6 and 24 months.,Nutritional deficiences may cause delay in tooth eruption.,"In a normal set of dentition, there are 20 primary teeth and 32 permanent teeth.",Passive eruption occurs until occurs until contact is made with an opposing tooth.,,,D,
Which of the following cells is responsible for formation of enamel?,Ameoloblasts,Cementoblasts,Odontoblasts,Hertwig's root sheath,,,A,
The usual order of primary tooth eruption is: central incisors followed by…,"first molars, lateral incisors, second molars, canines.","lateral incisors, first molars, second molars, canines.","lateral incisors, first molars, canines, second molars.","lateral incisors, canines, second molars, first molars.",,,C,
Radiographs of a patient with __________________ show short roots and bulbous crowns with small or entirely absent pulp chambers.,Amelogenesis Imperfecta,Dentinogenesis Imperfecta,Taurodontism,Enamel Dysplasia,,,B,
Which of the following teeth are considered accessional teeth:,first and second premolars,first and second primary molars,"first, second, and third permanent molars",second and third permanent molars,,,C,
Another name for “mixed dentition” is ‧ ‧ ‧ ‧ ‧ ‧ ‧ ‧ ‧ _____________________ dentition.,“adolescent“,“heterogeneous”,“homogeneous”,“transitional”,,,D,
The dentition of a normally developed 7 year old child usually consists of:,8 primary and 8 permanent teeth.,10 primary and 10 permanent teeth.,18 primary and 6 permanent teeth.,20 primary teeth.,permanent teeth only.,,C,
Enamel hypocalcification presents as:,a deficiency in tooth number.,a series of pits or a linear depression.,an intrinsic stain.,chalky-white spots.,,,D,
The mandibular primary canine is usually exfoliated between the ages of?,8-9 years,9-10 years,10-11 years,11-12 years,12-13 years,,B,
"Of the following teeth, which would most likely be congenitally missing?",max canine,mand canine,max central incisor,mand central incisor,max lateral incisor,mand lateral incisor,E,
"According to Shield's classification system, bi-temporal bossing and blue sclera is associated with which type of Dentinogenesis Imperfecta?",I,II,III,,,,A,
Which of the following statements is true concerning discoloration of teeth due to tetracycline therapy?,Tetracyclines cannot be transferred thorough the placenta.,The period for tetracycline induced discoloration in the permanent teeth (not including the 3rd molars) is up until the 12th year of a child's life.,Tetracycline staining of primary teeth is intrinsic whereas tetracycline staining of permanent teeth is extrinsic.,Tetracycline staining is a result of the drug chelating with calcium during the calcification stage of odontogenesis.,,,D,
"If a primary tooth is congenitally missing, there is approximately a 25% chance that the permanent successor will be absent as well.",True,False,,,,,B,
Dens Invaginatus is due to a disturbance of which phase of odontogenesis?,Initiation,Morphodifferentiation,Calcification,Histodifferentiation,Proliferation,,B,
A mandibular primate space is usually found in the primary dentition between:,central incisors,central and lateral incisors,lateral incisor and canine,canine and first molar,first and second molars,,D,
A maxillary primate space is usually found in the primary dentition between:,central incisors,central and lateral incisors,lateral incisor and canine,canine and first molar,first and second molars,,C,
"With respect to their permanent successors, the sum of the mesial-distal diameters of the 1st and 2nd primary molars is generally:",less,greater,the same,not related,,,B,
"At birth, the mandibular gum pad is always ‧ ‧ ‧ ‧ ‧ ________________ the maxillary gum pad:",wider than,distal to,taller than,mesial to,,,B,
