title,Preclinical Pediatric Dentistry Exam 2 (Spring 2021),pedo,exam2
question,option_a,option_b,option_c,option_d,correct,image
"Typically, one would expect to see ____ pulp horns in tooth I and ______ pulp horns in tooth S.",2;2,2;3,3;3,3;2,D,
"If a patient has intermittent pain caused by cold in a primary tooth, that tooth is a candidate for:",Pulpotomy,Pulpectomy,Apexification,Apexogenesis,A,
All of the following are true about a protective liner used for indirect pulp capping except:,Covers exposed dentin tubules,Promotes pulp tissue healing,Should only be placed after all caries are removed,Has been shown to have a higher success rate than pulpotomy in long term studies,C,
Formocresol,Is bacteriostatic,Causes tissue fixation at the coronal level,Should be kept in the pulp chamber for 3 minutes,Is no longer recommended by the AAPD,B,
"According to the AAPD, which of the following materials is a treatment of choice for primary teeth requiring pulp therapy that need to be retained for over 24 months?",MTA,LSTR,Ferric Sulfate,Electrosurgery,A,
"Gutta Percha should be used during primary tooth pulpectomy. During primary tooth pulpectomy, canals should be debrided and then disinfected with irrigants such as NaOCl.",Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true,D,
When restoring a primary molar with the Hall technique the following is true:,Remove all decay prior to cementing the stainless steel crown,Remove all decay prior to placing resin modified glass ionomer,Place SDF prior to placing resin modified glass ionomer,Place stainless steel crown cemented with glass ionomer cement without removing decay,D,
In which of the following patients would we attempt Lesion Sterilization/ Tissue Repair (LSTR)?,An 8-year patient with reversible pulpitis in tooth K,An 11-year-old patient with reversible pulpitis in tooth K,An 11-year-old patient with irreversible pulpitis in tooth K,An 8-year-old patient with irreversible pulpitis in tooth K,C,
For which patient is a Cvek pulpotomy indicated?,"A 10-year-old who fell while ice skating, fractured his maxillary incisor and has a pulp exposure","A 4-year-old who fell while ice skating, fractured his maxillary incisor and has a pulp exposure",A 10-year-old with a carious lesion to the pulp on his maxillary central incisor,A 4-year-old with a carious lesion to the pulp on his maxillary central incisor,A,
Hyperemia after the removal of the coronal pulp in a primary tooth is:,An indication that the pulp is necrotic,An indication that inflammation is present in the tissue beyond the coronal portion of the pulp,An indication that the tooth needs to be restored with a stainless steel crown,An indication that one must use MTA in the chamber,B,
"Based on the following X-ray, what treatment is indicated for tooth L:",Pulpotomy and stainless steel crown,No treatment needed,Pulpotomy and occlusal resin,Extraction,D,images/pedo-exam2-spring-2021/fig11.jpeg
"Based on the following X-ray, what treatment is indicated for tooth K:",Pulpotomy and stainless steel crown,No treatment needed,Pulpotomy and occlusal resin,Extraction,A,images/pedo-exam2-spring-2021/fig12.jpeg
A 5-year-old patient who presents to your office with a facial cellulitis causing the eye to close due to swelling of the lower eyelid:,Likely has a buccal space cellulitis and should be given (oral) PO antibiotics and an ice pop,Likely has a buccal space cellulitis and should be given IV antibiotics and have the tooth extracted,Likely has a canine space cellulitis and should be given IV antibiotics and have the tooth extracted,Likely has a canine space infection and should be given (oral) PO antibiotics and an ice pop,C,
A patient who presents to your office with ulcers on the uvula and soft palate likely has:,Primary herpetic gingivostomatitis,Herpangina,Candidiasis,Recurrent herpes,B,
The following is a picture of:,Koplik spots,Acute primary herpetic gingivostomatitis,Candidiasis,Herpangina,B,images/pedo-exam2-spring-2021/fig15.jpeg
"Upon physical exam of a 9-year-old child, you see a palatal hemorrhage. What could be the reason for this and what should be done?",Herpangina; pain relief and supportive therapy,Ludwig’s Angina; manage the airway and IV antibiotics,Oral- genital contact; report to the authorities,Trauma post a mandibular block; pain relief and an ice pop,C,
For which patient would you prescribe clobetasol propionate gel?,A 15-year-old with recurrent aphthous ulcers,An 18-year-old with recurrent herpes,A 12-year-old with angular chelitis,A 9-year-old with a mucocele,A,
All of the following are possible etiologies of candidiasis except:,Antibiotic therapy,Radiation,Oral appliances,Lysine deficiency,D,
"All of the following are true of Koplik spots, except:",Are located on the buccal mucosa,Present 24-48 hours after the rash appears on the body,Are small white spots,Are associated with measles,B,
The following is a picture of:,Hyperplastic pulpitis,Cvek pulpitis,A dentoalveolar abscess,A mucocele,A,images/pedo-exam2-spring-2021/fig20.jpeg
A Preventive Resin Restoration (PRR) can be used for incipient Class I or Class II restorations. A PRR generally requires local anesthesia.,Both statements are true,Both statements are false,The first statement is true and the second statement is false,The first statement is false and the second statement is true,B,
Patients who may benefit from SDF include all of the following except:,Those with multiple cavitated lesions that might not all be treated in one visit,Those presenting with behavioral or medical management challenges,Those with high caries risk who have non-cavitated lesions in anterior or posterior teeth,Those without access to or with difficulty accessing dental care,C,
