title,Intro to Implants Exam 1 (Spring 2023),implants,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
The orientation of fibers surrounding a tooth are perpendicular. How do the fibers orient around an implant?,Perpendicular,Parallel,Randomly,Circular,,B,
What connects the crown to an implant?,Post,The abutment,The Screw,Implants are not restored with crowns,,B,
Why do maxillary implant retained overdentures have a higher failure rate the mandibular implant retained overdentures?,The failure rate is equal for both maxillary and mandibular,The failure rate for mandibular is higher,The failure rate for maxillary overdentures is higher because of poorer bone quality,,,C,
The two types of types of implant connections?,Internal hex and external hex,Endosteal and zygomatic,Zygomatic and blade,Transmandibular and endosteal,,A,
By what mechanism did implant companies increase the implant surface area?,They polished the surface,They roughened the surface,They are still trying to figure it out,,,B,
What type of tissue would you like to see surrounding an implant after it has fully integrated in bone?,Mucosa,Keratinized epithelial tissue,Granulation tissue,Non-keratinized epithelium,,B,
The standard of care for placing implants?,Peri-apical radiograph,Panorex,Lateral ceph,Cone beam CT scan,,D,
What is the number one requirement for growing bone?,Blood,Graft material,Good home care,Patient compliance,,A,
"When the contact point of two teeth to bone is ≤5mm, the interdental papilla will be present?",98%,56%,27%,10%,,A,
According to P.I. Branmark (the god father of modern implant dentistry) Osseointegration is:,"The direct structural and functional connection between organized, living bone and the surface of a load-bearing implant without intervening soft tissue between the implant and bone.",The connection of an implant with bone with a soft tissue interface between the implant and the bone.,The direct connection of an implant with soft tissue.,,,A,
When placing an implant in the mandibular premolar region you would like to maintain a minimum ____mm from the mental foreman?,1-2mm,3-4mm,5-6mm,7-8mm,,C,
Where is the most common location for the mental foramen?,First molar,Second premolar,Canine,Incisors,,B,
"In the classification of sagittal root position, Kan showed using a CBCT that Maxillary anterior teeth were found in a class I (where the root is positioned against the labial plate) relationship what percentage of the time?",12,35,81,100,,C,
Which sagittal root position is considered a contraindication to immediate implant placement?,Class I,Class II,Class III,Class IV,,D,
What is the minimum thickness of soft tissue (around an implant) at the crest which will influence marginal bone stability?,1mm,2.0mm,4.5mm,6mm,,B,
A single tooth implant restoration consists of three parts? Please place them in the correct sequence:,"Crown, implant, abutment","Implant, crown, abutment","Implant, abutment, crown",,,C,
What is the minimum intra-arch space required for a screw retained implant crown,5mm,8mm,10mm,12mm,,A,
Which type of bone is good for primary stability and still has a good blood supply?,Type I,Type II,Type III,Type IV,,B,
All of the below are criteria for two stage implant placement except?,Good primary stability,Patient is wearing a removable prosthesis,Patient has a no keratinized tissue,Patient is concerned about aesthetics,,A,
Absolute contraindications to implant surgery include all of the following except:,Uncontrolled systemic disease,Acutely or terminally ill patients,Soft tissue disease or damage at the implant site,Controlled diabetes,,D,
What is the minimum amount of space you need to leave between two implants placed next to each other?,1mm,2mm,3mm,4mm,,C,
How much space do you need to leave between an implant and an adjacent tooth?,0.5-1mm,1.5-2.0mm,2.5-3.0mm,3.0-3.5mm,,B,
"If you wanted to place two 4mm implants between two teeth, how much space would you ideally need?",10mm,13mm,14mm,18mm,,C,
What is the minimum intra-arch space required to a cement retained crown,5mm,8mm,10mm,12mm,,B,
One of the main differences between implants and natural teeth is?,They can both support a crown,Natural teeth can move and adapt to forces with-out pathologic bone loss,They both have the capacity to adapt to forces,Both of them have a periodontal ligament surrounding them,,B,
All of the following are reasons why should you never connect a natural tooth to an implant except?,It will create an excessively loaded cantilever,It can create stress on the implant abutment junction,It can cause cement failure,It is the best way restore a patient who doesn't want to pay for two implants,,D,
Primary purpose of a surgical guide is all of the following except?,Helping identify and place an implant into the embrasure space,Locating the implant within the tooth contours,Aligning the implant with the long axis of the proposed restoration,Helps place implant at correct depth,,A,
"According to the Amler, et al article (1969), you would expect to see bone starting to form around day?",5,10,20,30,,C,
"While bleeding upon probing is a sign of inflammation around a natural tooth, bleeding upon probing around a dental implant signifies?",Inflammation,Failure,Bone loss,None of the above,,D,
"When an implant is placed 2-3 months after the extraction, it is called?",An immediate implant placement,An immediate-delayed implant placement,A delayed implant placement,,,B,
"Implant placement requires using copious amounts of irrigation, at what temperature do the bone cells start to die?",25 degrees Celsius,33 degrees Celsius,47 degrees Celsius,58 degrees Celsius,,C,
Place the three phases of wound healing in the correct order:,"Cellular activation, clot formation, cellular response","Cellular response cellular activation, clot formation","Clot formation, cellular response, cellular activation","Clot formation, cellular activation, cellular response",,D,
The locator implant attachment system is designed for use with all of the following except?,Overdenture,Partial denture,Crown,,,C,
The benefit of using a palateless prosthesis include all of the following except?,Better taste,Less sensation,Better comfort,No posterior seal,,B,
"According to the original Branemark study, what percentage of prosthesis failed?",20,15,10,5,0,E,
1.5 times the A-P spread refers to?,Number of implants in a hybrid prosthesis,Number of implants in an overdenture,Angle of distal implants,Maximum distance of cantilever,,D,
According to the Chrcanovic article most implants are lost in,Equally distributed number of patients,Randomly,Most concentrated in a few patients,,,C,
"According to Tarnow article, if the contact point to crest of bone is 7mm, the expected papillae presents",100,56,27,10,,C,
The biotypes discussed in class are?,"Thin and flat, thick and scalloped","Thick and flat, thin and flat","Thin and scalloped, thick and flat","Scalloped and flat, thick and scalloped",,C,
Which drill in the sequence of preparing the osteotomy produced the most heat?,Final drill,Initial drill,Intermediate drill,,,B,
