title,Removable Prosthodontics Final Exam (Fall 2018),rempros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
We should never place a distal occlusal rest adjacent to a free end edentulous area,True,False,,,,A,
The land area refers to what?,The flat area surrounding the captured intaglio surface and vestibules of the master cast,The area where the hard palate meets the soft palate,Where the opposing posterior teeth line up with the residual ridge,None of the above,,A,
The thickness of the disto-buccal flange of the maxillary denture is dependent upon,The passage of the condyle during translation,The passage of the coronoid process during opening and closing,The height of the incisive papilla,The anatomy of the posterior denture teeth selected,All of the above,B,
"When fabricating a custom tray, the wax shim is placed to",Be removed after border molding,"After its removal, to provide uniform thickness of impression material",To allow a more mucostatic type of impression to be fabricated,To stabilize the denture during border molding,All of the above,E,
The retromolar pad is a critical landmark to be covered and captured in both complete and distal extension removable partial dentures of the maxilla,True,False,,,,B,
When this arch resorbs it decreases in radius,Maxilla,Mandible,Both,Neither,,A,
"When selecting posterior teeth cusp height for a complete denture patient, which of the following is a possible consideration? (Select all that apply)",Residual ridge height,Cost of the teeth,Dexterity of the patient,Previous denture experience (prior denture teeth used),Sex of the patient,D,
Occlusal rims provide which of the following? (Select all that apply),The plane of occlusion,Vertical dimension of occlusion,Physiologic rest position,Midline,Lip support,E,
The maxillary posterior teeth should be set directly over the residual ridge,True,False,,,,B,
The primary bearing areas of a mandibular complete denture include which of the following? (Select all that are correct),The genial tubercles,The mylohyoid ridge,The retromolar pads,The tuberosities,The buccal shelf,E,
"When considering shade selection of a tooth, “Hue” refers to :",The economic line of denture teeth,The brilliance or contrast of a color,The translucency of the tooth mould,The color family the shade belongs to,,D,
When performing a hard reline of a denture,You should trim the borders slightly to allow for border moulding of the material,Make sure there are no bony undercuts that should be revised first as this will cause sore spots,The tissues should be healed and stable,"Know the material you are using, as some are exothermic in reaction, and can burn the patient",All of the above apply,E,
A denture rebase is done,When an immediate denture becomes loose after the healing is complete,When you wish to preserve the existing denture teeth arrangement in a denture but provide a totally new denture base for a better fitting prosthesis,Chairside as to not to inconvenience the patient,When you want to do a hard reline instead of a soft reline,,B,
"Soft reline materials can be both done chairside and laboratory processed into the denture, and they are always permanent relines for the patient",Both parts of the sentence are true,Both parts of the sentence are false,"The first part is true, the second is false",The first part is false but the second is true,,C,
A tissue conditioner reline works by,Maintaining its form under pressure to condition the tissues to conform to its ideal contours,Is the final reline material placed after healing to make sure the tissues are under equal pressure,Aids in the initial healing of tissues after surgery,Is very durable with a replacement expectation of a few months,,C,
The intaglio surface of a denture must be modified as the patient heals to provide stability and comfort to the healing patient,True,False,,,,A,
Post op visits for immediate dentures are usually not required,True,False,,,,B,
When a patient's anterior teeth are extracted for the placement of an immediate denture,The denture should be placed within 24 hours of surgery,The patient should expect that after 48 hours their esthetics will return to normal,An alveoplasty will typically be done to smooth the ridge then the denture is placed at the time of surgery,Those extracted anterior teeth are trimmed and processed into the immediate denture to maximize esthetics,,C,
Wax try ins for Immediate dentures,Are not necessary as the bite will be ground on at delivery,Are not necessary as wax try ins are for esthetics only,Are used to verify VDO and occlusal scheme,Should only be done for upper dentures,,C,
Immediate dentures should be fabricated directly off of casts created from alginate impressions in stock trays,True,False,,,,B,
Extraction of posterior teeth before creation of an immediate denture,Is contraindicated as you then remove your occlusal references,Allows for a more stable prosthesis by having a partially healed ridge for the denture to sit on,Creates more likelihood for rapid resorption and an unstable denture,None of the above,,B,
Model surgery and creation of a surgical guide for an immediate denture allow for,Creation of an improved path of insertion,Removal of bony undercuts,Make sure there is enough room for the restoration,All of the above,,D,
Pretreatment planning of alveoplasty is not a critical step of immediate denture fabrication,True,False,,,,B,
