title,DAO Quiz 9 (Summer 2017),dao,quiz
question,option_a,option_b,option_c,option_d,correct,image
"Which primary molar typically has an oblique ridge, a transverse ridge, and a distolingual groove?",maxillary 1st molar,maxillary 2nd molar,manidibular 1st molar,mandibular 2nd molar,B,
The primary mandibular lateral incisor is somewhat larger in all dimensions than the primary mandibular central incisor except:,mesiodistally,incisocevically,labiolinqually,,C,
The anatomy of the primary mandibular first molar resembles that of the:,permanent maxillary second molar,permanent mandibular first molar,mandibular first premolar,none of the above,D,
The longest and sharpest cusp of the primary maxillary first molar is the:,mesiolingual cusp,distolingual cusp,mesiobuccal cusp,distobuccal cusp,A,
Pulp chambers of primary teeth are proportionately larger than those of permanent teeth.,True,False,,,A,
"When a patient moves the mandible into left lateral movement, which of the following happens?",the left condyle moves downward and foward,the right condyle moves downward and forward,both condyles move downward and foward,,B,
Which of the following cusps are not considered supporting cusps?,Buccal cusps of maxillary molars,Lingual cusps of maxillary molars,Buccal cusps of mandibular premolars,Buccal cusps of mandibular molars,A,
The definition of Centric Relation is When:,the teeth are in MI,The teeth are in balanced occlusion,The condyles are in the most superior and anterior position in the glenoid fossa,,C,
A Facebow transfer record,helps us relate the maxilla to the condyles,lets us record centric relatioin,mounts the mandibular cast in MI,,A,
"In a Class I Occlusion, the molar relationship of",The distobuccal cusp of the first maxillary molar will be lined up with the distobuccal groove of the mandibular first molar,The mesiobuccal cusp of the maxillary first molar will line up with the mesiobuccal groove of the mandibular first molar,The mesiobuccal cusp oif the maxillary first molar will line up with the embrassure between the mandibular first molar and second premolar,,B,
