title,Prosthodontic Review Final Exam (Summer 2022),prosthrev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
The purpose of placing gingival retraction is to displace the tissue:,Apically,Coronally,Laterally,None of the above,,C,
During a crown try-in visit which of the following should be evaluated first before evaluating the others?,Marginal fit,Occlusion,Radiograph,Interproximal contacts,,D,
All of the following are examples of gingival displacement types except:,Mechanical,Chemical,Surgical,Adhesive,,D,
Gingival retraction cord should be placed in a wet field.,True,False,,,,B,
Which of the following is the most esthetic ceramic material?,Lithium disilicate,Zirconia,Feldspathic porcelain,Leucite,,C,
Which of the following is the weakest ceramic material?,Feldspathic porcelain,Leucite,Lithium disilicate,Aluminum,,A,
Lithium disilicate has the following indications except:,Short span FPD's,Veneers,anterior crowns,Long span FPDs,Posterior crowns,D,
Which of the following is not suited for a monolithic full coverage restoration?,Zirconia,Lithium disilicate,Feldspathic porcelain,Leucite,,C,
Which of the following cements is recommended for ceramic veneers?,Resin modified glass ionomer,Self-cure resin,Dual cure resin,Light cure resin,,D,
A total etch adhesive system is a:,1 step system,2 step system,3 step system,4 step system,,C,
Which of the following must be etched with hydrofluoric acid prior to cementation?,Lithium disilicate crowns,Metal ceramic crowns,Zirconia crowns,None of the above,,A,
A luting agent is a viscous cement-like material that fills a gap between two surfaces to prevent dislodgement.,True,False,,,,A,
A high noble metal consists of,At least 40% Au (Gold) and >60% noble metal,At least 20% Au (Gold) and >60% noble metal,At least 60% Au (Gold) and >40% noble metal,At least 20% Au (Gold) and >40% noble metal,,A,
Which of the following is a disadvantage of predominantly base metals?,Cost,Stiffness,Lighter,Harder,,D,
The amount of tooth structure that is removed to establish the desired clearance is:,The reduction,The clearance,The preparation,All of the above,,A,
Which type of porcelain is used to fabricate a metal ceramic crown?,Lithium disilicate,Leucite,Feldspathic porcelain,Alumina porcelain,,C,
A type of tooth structure loss of chemical etiology is?,Abfraction,Erosion,Attrition,Abrasion,,B,
Early stages of erosion of the occlusal surfaces of posterior teeth is characterized by?,Concavities,Smooth,Cupping and cratering,None of the above,,A,
Mesial drifting of teeth is seen in advanced stages of?,Erosion,Abrasion,Attrition,All of the above,None of the above,C,
An inadequate or unstable posterior occlusion may result in anterior wear which is greater than the posterior wear.,True,False,,,,A,
An arcon articulator has condylar elements on the upper member with the condylar pathways on the opposite member.,True,False,,,,B,
Which of the following accepts a facebow transfer?,Non adjustable articulator,Semi-adjustable articualtor,Fully adjustable articulator,A and c,B and c,E,
The angle formed between the sagittal plane and the average path of the advancing condyle as viewed in the horizontal plane during lateral mandibular movements.,Bennet angle,Lateriotrusion,Bennet movement,None of the above,All of the above,A,
The Denar Mark 310 and Hanau Wide Vue articulators are examples of a:,Fully adjustable articulator,Simple articulator,Semi-adjustable articulator,Non-adjustable articulator,,C,
What are some ways to minimize the overload on a dental implant?,Minimize the lever arm,Axially Load the implant,Spread the load MD and BL,All of the above,None of the above,D,
The difference between a closed and open tray impression technique is that the open tray technique involves:,Taking a radiograph,Making sure the impression coping is fully seating,Unscrewing the impression coping prior to removing the impression tray,Syringing impression material around the coping prior to seating the tray,,C,
"For every 10° increase in cusp inclination, an average increase in torque production is seen by?",10 %,20 %,30 %,40 %,,C,
A root canal treated anterior tooth with an intact clinical crown and favorable occlusal forces should be restored with:,A cast post and core and then crown,A prefabricated post and core and then crown,A core build up and then crown,A composite restoration in the access hole,,D,
A complete coverage restoration is recommended on posterior endodontically treated teeth.,True,False,,,,A,
An effective ferrule requires coronal tooth structure of at least:,1 mm,2 mm,3 mm,4 mm,,B,
"When preparing a post space for an endodontically treated tooth, what is the minimum of amount of gutta percha that is required to maintain an apical seal?",3 mm,4 mm,5 mm,6 mm,,C,
Short posts are less likely to result in root fractures.,True,False,,,,B,
Length of the endodontically treated root canal should be achieved with a:,Parapost drill,Slow speed carbide bur,Gates glidden bur,All of the above,None of the above,C,
Tapered posts have been shown to have a higher failure rate than parallel posts.,True,False,,,,A,
A cast post and core is indicated when the amount of tooth structure remaining is?,Less that 25%,Less than 50%,Less than 60%,Less than 75%,,A,
All of the following are advantages of cement retained implant crowns except:,No discrepancies in fit of the casting by action of cement,More esthetic,More fractural strength (no screw holes),Retrievability,,D,
Cement retained implant crowns require a minimum height of:,4 mm,5 mm,6 mm,7 mm,,C,
The photo below demonstrates which type of implant?,Internal hex,External hex,Soft tissue platform,None of the above,,B,images/prosthrev-final-summer-2022/fig38.jpeg
Force = torque x distance,True,False,,,,B,
Platform switching is when the abutment is wider than the implant fixture connection.,True,False,,,,B,
